line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math3.analysis.function.StepFunction#double#value#?,double#99	0.25	0.5	0.75	fx<0	_
org.apache.commons.math3.analysis.FunctionUtils#UnivariateFunction#add#?,UnivariateFunction#141	0.5	0.0	0.5		_
org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer#int#getEvaluations#?#66	0.14285714285714285	0.14285714285714285	0.2857142857142857	evaluations.getCount()>0	_
org.apache.commons.math3.analysis.function.StepFunction#?#StepFunction#?,double[],double[]#78	0.25	0.0	0.25		_
org.apache.commons.math3.optimization.univariate.BrentOptimizer#UnivariatePointValuePair#doOptimize#?#193	0.25	0.0	0.25		GT
org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer#double#getMin#?#79	0.0625	0.1	0.1625	searchMin>=0	_
org.apache.commons.math3.optimization.univariate.UnivariatePointValuePair#double#getValue#?#65	0.06666666666666667	0.09090909090909091	0.1575757575757576	value<0	_
org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer#double#computeObjectiveValue#?,double#108	0.0625	0.09090909090909091	0.1534090909090909	function.value(point)<=0	_
org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer#double#getStartValue#?#91	0.0625	0.08333333333333333	0.14583333333333331	searchStart>0	_
org.apache.commons.math3.optimization.univariate.UnivariatePointValuePair#double#getPoint#?#56	0.06666666666666667	0.07692307692307693	0.14358974358974358	point>0	_
org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer#double#getMax#?#85	0.0625	0.07142857142857142	0.13392857142857142	searchMax>=0	_
org.apache.commons.math3.optimization.univariate.BrentOptimizer#?#BrentOptimizer#?,double,double#110	0.09090909090909091	0.0	0.09090909090909091		_
org.apache.commons.math3.optimization.univariate.BrentOptimizer#UnivariatePointValuePair#best#?,UnivariatePointValuePair,UnivariatePointValuePair,boolean#305	0.07692307692307693	0.0	0.07692307692307693		_
org.apache.commons.math3.optimization.univariate.UnivariatePointValuePair#?#UnivariatePointValuePair#?,double,double#46	0.06666666666666667	0.0	0.06666666666666667		_
org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer#GoalType#getGoalType#?#73	0.0625	0.0	0.0625		_
org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer#UnivariatePointValuePair#optimize#?,int,UnivariateFunction,GoalType,double,double,double#117	0.0625	0.0	0.0625		_
org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer#?#BaseAbstractUnivariateOptimizer#?,ConvergenceChecker<UnivariatePointValuePair>#56	0.0625	0.0	0.0625		_
org.apache.commons.math3.optimization.univariate.BrentOptimizer#?#BrentOptimizer#?,double,double,ConvergenceChecker<UnivariatePointValuePair>#86	0.0625	0.0	0.0625		_
org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer#ConvergenceChecker<UnivariatePointValuePair>#getConvergenceChecker#?#149	0.0625	0.0	0.0625		_
org.apache.commons.math3.util.MathArrays#double[]#copyOf#?,double[]#539	0.030303030303030304	0.0	0.030303030303030304		_
org.apache.commons.math3.analysis.function.Sin#double#value#?,double#36	0.01282051282051282	0.015151515151515152	0.027972027972027972	FastMath.sin(x)<0	_
org.apache.commons.math3.util.MathArrays#void#checkOrder#?,double[]#306	0.021739130434782608	0.0	0.021739130434782608		_
org.apache.commons.math3.util.MathArrays#void#checkOrder#?,double[],OrderDirection,boolean#295	0.02127659574468085	0.0	0.02127659574468085		_
org.apache.commons.math3.util.MathArrays#double[]#copyOf#?,double[],int#567	0.016666666666666666	0.0	0.016666666666666666		_
org.apache.commons.math3.util.FastMath#double#sin#?,double#2255	0.007142857142857143	0.0070921985815602835	0.014235055724417425	-cosQ(xa,xb)<0	_
org.apache.commons.math3.util.MathArrays#boolean#checkOrder#?,double[],OrderDirection,boolean,boolean#273	0.0136986301369863	0.0	0.0136986301369863		_
org.apache.commons.math3.util.Precision#boolean#equals#?,double,double#244	0.01282051282051282	0.0	0.01282051282051282		_
org.apache.commons.math3.util.Incrementor#int#getCount#?#114	0.006134969325153374	0.00625	0.012384969325153376	count>0	_
org.apache.commons.math3.util.FastMath$CodyWaite#double#getRemB#?#3839	0.004545454545454545	0.005263157894736842	0.009808612440191388	finalRemB>=0	_
org.apache.commons.math3.util.FastMath$CodyWaite#double#getRemA#?#3833	0.004545454545454545	0.004545454545454545	0.00909090909090909	finalRemA>0	_
org.apache.commons.math3.util.FastMath$CodyWaite#int#getK#?#3827	0.004545454545454545	0.004545454545454545	0.00909090909090909	finalK!=0	_
org.apache.commons.math3.util.FastMath#double#cosQ#?,double,double#1823	0.0038314176245210726	0.0038314176245210726	0.007662835249042145	sinQ(a,b)>0	_
org.apache.commons.math3.util.FastMath#double#polySine#?,double#1663	0.0035087719298245615	0.0040650406504065045	0.0075738125802310655	p>0	_
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1805	0.003816793893129771	0.0035714285714285713	0.007142857142857143	result!=0	_
org.apache.commons.math3.util.FastMath#double#polyCosine#?,double#1681	0.0035087719298245615	0.0035087719298245615	0.007017543859649123	p!=0	_
org.apache.commons.math3.util.FastMath#long#abs#?,long#2974	0.0018726591760299626	0.0030581039755351682	0.004930763151565131	(x < 0l) ? -x : x==0	_
