line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math3.fraction.Fraction#?#Fraction#?,double,double,int,int#210	1.0	0.0	1.0		GT
org.apache.commons.math3.fraction.FractionConversionException#?#FractionConversionException#?,double,long,long#53	0.5773502691896258	0.0	0.5773502691896258		_
org.apache.commons.math3.exception.ConvergenceException#?#ConvergenceException#?,Localizable,Object#49	0.2773500981126146	0.0	0.2773500981126146		_
org.apache.commons.math3.fraction.Fraction#?#Fraction#?,double,double,int#121	0.25	0.0	0.25		_
org.apache.commons.math3.util.FastMath#double#floor#?,double#3258	0.09712858623572641	0.18257418583505536	0.23160321961960137	y<=0	_
org.apache.commons.math3.exception.MathIllegalStateException#ExceptionContext#getContext#?#74	0.14907119849998599	0.0	0.14907119849998599		_
org.apache.commons.math3.exception.MathIllegalStateException#?#MathIllegalStateException#?#69	0.14002800840280097	0.0	0.14002800840280097		_
org.apache.commons.math3.exception.MathIllegalStateException#?#MathIllegalStateException#?,Localizable,Object#46	0.12126781251816648	0.0	0.12126781251816648		_
org.apache.commons.math3.util.FastMath#double#abs#?,double#2927	0.02988071523335984	0.03492151478847891	0.06480223002183874	(x < 0.0) ? -x : (x == 0.0) ? 0.0 : x==0	_
org.apache.commons.math3.exception.util.ArgUtils#Object[]#flatten#?,Object[]#50	0.040723148118768406	0.0	0.040723148118768406		_
org.apache.commons.math3.exception.util.ExceptionContext#void#addMessage#?,Localizable,Object#88	0.036860489038724284	0.0	0.036860489038724284		_
org.apache.commons.math3.exception.util.ExceptionContext#?#ExceptionContext#?,Throwable#65	0.03683547343418787	0.0	0.03683547343418787		_
org.apache.commons.math3.util.FastMath#int#abs#?,int#2900	0.0	0.0	0.0		_
org.apache.commons.math3.util.ArithmeticUtils#int#gcd#?,int,int#392	0.0	0.0	0.0		_
org.apache.commons.math3.fraction.Fraction#?#Fraction#?,int,int#262	0.0	0.0	0.0		_
