line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#int#getMaxEvaluations#?#60	0.9990978800180425	0.9990978800180425	1.998195760036085	evaluations.getMaximalCount()!=0	_
org.apache.commons.math.optimization.univariate.UnivariateRealPointValuePair#double#getValue#?#65	0.9981957600360848	0.9986468200270636	1.9968425800631484	value<=0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#int#getEvaluations#?#65	0.9981957600360848	0.9981957600360848	1.9963915200721696	evaluations.getCount()>0	_
org.apache.commons.math.optimization.univariate.UnivariateRealPointValuePair#double#getPoint#?#56	0.9963915200721696	0.9981957600360848	1.9945872801082545	point<0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#getMax#?#84	0.9959404600811907	0.9986468200270636	1.9945872801082545	searchMax<=0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#getStartValue#?#90	0.9959404600811907	0.9981957600360848	1.9941362201172756	searchStart<0	_
org.apache.commons.math.util.Incrementor#int#getMaximalCount#?#53	0.9968425800631484	0.9968425800631484	1.9936851601262968	maximalCount!=0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#computeObjectiveValue#?,double#110	0.9963915200721696	0.9968425800631484	1.993234100135318	function.value(point)<=0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#getMin#?#78	0.9959404600811907	0.9972936400541272	1.993234100135318	searchMin<=0	_
org.apache.commons.math.util.Incrementor#int#getCount#?#62	0.9896256202074876	0.9900766801984664	1.979702300405954	count!=0	_
org.apache.commons.math.util.FastMath#long#abs#?,long#3016	0.9472259810554804	0.9742895805142084	1.9215155615696888	(x < 0l) ? -x : x!=0	_
org.apache.commons.math.util.FastMath#double#min#?,double,double#3224	0.9174560216508796	0.9972936400541272	1.9147496617050068	(a <= b) ? a : (Double.isNaN(a + b) ? Double.NaN : b)<0	_
org.apache.commons.math.util.FastMath#double#ulp#?,double#3044	0.945872801082544	0.945872801082544	1.891745602165088	abs(x - Double.longBitsToDouble(Double.doubleToLongBits(x) ^ 1))>=0	_
org.apache.commons.math.util.FastMath#double#slowCos#?,double,double#1521	0.9350473612990527	0.9350473612990527	1.8700947225981055	ys[0] + ys[1]!=0	_
org.apache.commons.math.util.FastMath#double#slowSin#?,double,double#1478	0.9350473612990527	0.9350473612990527	1.8700947225981055	ys[0] + ys[1]==0	_
org.apache.commons.math.util.FastMath#double#slowexp#?,double,double#705	0.9350473612990527	0.9350473612990527	1.8700947225981055	ys[0] + ys[1]!=0	_
org.apache.commons.math.util.FastMath#double#expint#?,int,double#913	0.9350473612990527	0.9350473612990527	1.8700947225981055	ys[0] + ys[1]!=0	_
org.apache.commons.math.util.FastMath#double#max#?,double,double#3260	0.8069463238610735	0.9936851601262968	1.8006314839873703	(a <= b) ? b : (Double.isNaN(a + b) ? Double.NaN : a)<0	_
org.apache.commons.math.util.FastMath#double#sqrt#?,double#219	0.7663509246729815	0.7699594046008119	1.5363103292737934	Math.sqrt(a)>0	_
org.apache.commons.math.util.FastMath#double#abs#?,double#3034	0.6761389264772215	0.7758231844835364	1.451962110960758	(x < 0.0) ? -x : x<=0	_
