line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.optimization.univariate.BrentOptimizer#double#optimize#?,UnivariateRealFunction,GoalType,double,double#66	0.0	0.24999999999999994	0.24999999999999994	optimize(f,goalType,min,max,min + GOLDEN_SECTION * (max - min))<0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#computeObjectiveValue#?,UnivariateRealFunction,double#197	0.0	0.1818181818181818	0.1818181818181818	f.value(point)<=0	_
org.apache.commons.math.optimization.univariate.BrentOptimizer#double#optimize#?,UnivariateRealFunction,GoalType,double,double,double#61	0.0	0.05515436955476687	0.05515436955476687	localMin(getGoalType() == GoalType.MINIMIZE,f,goalType,min,startValue,max,getRelativeAccuracy(),getAbsoluteAccuracy())<=0	_
org.apache.commons.math.optimization.univariate.BrentOptimizer#double#localMin#?,boolean,UnivariateRealFunction,GoalType,double,double,double,double,double#239	0.0	0.05515436955476687	0.05515436955476687	x<=0	GT
org.apache.commons.math.ConvergingAlgorithmImpl#int#getIterationCount#?#82	0.0	0.05273075971459817	0.05273075971459817	iterationCount!=0	_
org.apache.commons.math.stat.descriptive.DescriptiveStatistics#double#getMean#?#179	0.0	0.0	0.0	apply(meanImpl)<=0	_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#double#optimize#?,UnivariateRealFunction,GoalType,double,double#308	0.0	0.0	0.0	optima[0]>0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#int#getEvaluations#?#152	0.0	0.0	0.0	evaluations>=0	_
org.apache.commons.math.stat.descriptive.DescriptiveStatistics#double#apply#?,UnivariateStatistic#432	0.0	0.0	0.0	stat.evaluate(eDA.getInternalValues(),eDA.start(),eDA.getNumElements())<0	_
org.apache.commons.math.stat.descriptive.moment.Mean#double#evaluate#?,double[],int,int#167	0.0	0.0	0.0	xbar + (correction / sampleSize)<0	_
org.apache.commons.math.stat.descriptive.summary.Sum#double#evaluate#?,double[],int,int#128	0.0	0.0	0.0	sum<=0	_
org.apache.commons.math.ConvergingAlgorithmImpl#double#getRelativeAccuracy#?#122	0.0	0.0	0.0	relativeAccuracy>=0	_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#double#getRelativeAccuracy#?#127	0.0	0.0	0.0	optimizer.getRelativeAccuracy()>=0	_
org.apache.commons.math.stat.descriptive.rank.Percentile#double#evaluate#?,double[],int,int#163	0.0	0.0	0.0	evaluate(values,start,length,quantile)!=0	_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#int#getEvaluations#?#122	0.0	0.0	0.0	totalEvaluations>=0	_
org.apache.commons.math.util.ResizableDoubleArray#int#start#?#788	0.0	0.0	0.0	startIndex==0	_
org.apache.commons.math.stat.descriptive.DescriptiveStatistics#double#getPercentile#?,double#399	0.0	0.0	0.0	apply(percentileImpl)!=0	_
org.apache.commons.math.util.ResizableDoubleArray#int#getNumElements#?#603	0.0	0.0	0.0	numElements!=0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#int#getMaxEvaluations#?#147	0.0	0.0	0.0	maxEvaluations>0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#getFunctionValue#?#113	0.0	0.0	0.0	functionValue!=0	_
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#double#getAbsoluteAccuracy#?#102	0.0	0.0	0.0	optimizer.getAbsoluteAccuracy()!=0	_
org.apache.commons.math.stat.descriptive.rank.Percentile#double#evaluate#?,double[],int,int,double#228	0.0	0.0	0.0	lower + dif * (upper - lower)>0	_
org.apache.commons.math.ConvergingAlgorithmImpl#double#getAbsoluteAccuracy#?#92	0.0	0.0	0.0	absoluteAccuracy>0	_
