line	original_score	max_predicate_score	total	predicate	label
org.joda.time.format.DateTimeFormatter#int#parseInto#?,ReadWritableInstant,String,int#723	6.99794185747363	6.9981991252894264	13.996140982763055	newPos>0	GT
org.joda.time.format.DateTimeParserBucket#long#computeMillis#?,boolean,String#358	6.997170054026241	6.997170054026241	13.994340108052482	computeMillis(resetFields,text)>0	_
org.joda.time.field.BaseDurationField#int#compareTo#?,DurationField#150	6.99176742989452	6.99176742989452	13.98353485978904	0>=0	_
org.joda.time.format.DateTimeParserBucket#int#compareReverse#?,DurationField,DurationField#518	6.991510162078724	6.9945973758682785	13.983020324157447	1>=0	_
org.joda.time.format.DateTimeParserBucket$SavedField#int#compareTo#?,SavedField#503	6.931309493182403	6.98970928736815	13.921018780550554	result>0	_
org.joda.time.format.DateTimeParserBucket$SavedField#long#set#?,long,boolean#490	6.928222279392848	6.933110367892977	13.861332647285824	millis>0	_
org.joda.time.field.PreciseDurationDateTimeField#long#remainder#?,long#127	6.906611782865964	6.937483920761513	13.844095703627477	instant % iUnitMillis==0	_
org.joda.time.format.DateTimeFormatterBuilder$NumberFormatter#int#parseInto#?,DateTimeParserBucket,String,int#1353	6.9215333161821455	6.9215333161821455	13.843066632364291	position>0	_
org.joda.time.format.DateTimeFormatterBuilder$Composite#int#estimatePrintedLength#?#2608	6.870337020838693	6.870337020838693	13.740674041677385	iPrintedLengthEstimate>=0	_
org.joda.time.chrono.BasicGJChronology#long#getTotalMillisByYearMonth#?,int,int#140	6.826344224337535	6.911499871366092	13.737844095703627	MAX_TOTAL_MILLIS_BY_MONTH_ARRAY[month - 1]==0	_
org.joda.time.field.ImpreciseDateTimeField$LinkedDurationField#long#getUnitMillis#?#160	6.868278878312323	6.868278878312323	13.736557756624647	iUnitMillis!=0	_
org.joda.time.DateTimeUtils#long#getInstantMillis#?,ReadableInstant#149	6.844610239259069	6.846153846153846	13.690764085412916	instant.getMillis()>0	_
org.joda.time.tz.CachedDateTimeZone#long#previousTransition#?,long#119	6.840751222022125	6.840751222022125	13.68150244404425	iZone.previousTransition(instant)!=0	_
org.joda.time.chrono.ZonedChronology#long#localToUTC#?,long#147	6.830203241574479	6.830975045021868	13.661178286596346	instant>0	_
org.joda.time.chrono.ZonedChronology#long#getDateTimeMillis#?,int,int,int,int,int,int,int#119	6.828402366863905	6.830975045021868	13.659377411885773	localToUTC(getBase().getDateTimeMillis(year,monthOfYear,dayOfMonth,hourOfDay,minuteOfHour,secondOfMinute,millisOfSecond))>0	_
org.joda.time.DateTimeZone#int#getOffsetFromLocal#?,long#910	6.837406740416774	6.837921276048366	13.651144841780294	offsetAdjusted>=0	_
org.joda.time.chrono.BasicGJChronology#int#getDaysInYearMonth#?,int,int#121	6.81991252894263	6.81991252894263	13.63982505788526	MAX_DAYS_PER_MONTH_ARRAY[month - 1]>=0	_
org.joda.time.field.PreciseDurationField#long#getUnitMillis#?#63	6.816310779521482	6.816310779521482	13.632621559042963	iUnitMillis>=0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#set#?,long,int#303	6.767429894520196	6.792384872652431	13.559814767172627	iChronology.getYearMonthDayMillis(thisYear,month,thisDom) + iChronology.getMillisOfDay(instant)>0	_
org.joda.time.chrono.BasicChronology#int#getMonthOfYear#?,long#435	6.777977874967841	6.777977874967841	13.555955749935682	getMonthOfYear(millis,getYear(millis))>=0	_
org.joda.time.chrono.BasicYearDateTimeField#long#set#?,long,int#84	6.762541806020067	6.790583997941858	13.553125803961926	iChronology.setYear(instant,year)>0	_
