line	original_score	max_predicate_score	total	predicate	label
org.joda.time.DateTimeZone#long#adjustOffset#?,long,boolean#1175	0.5	0.5	1.0	convertLocalToUTC(local,false,earlierOrLater ? instantAfter : instantBefore)>=0	GT
org.joda.time.DateTime#DateTime#withEarlierOffsetAtOverlap#?#666	0.5	0.0	0.5		_
org.joda.time.DateTime#DateTime#withLaterOffsetAtOverlap#?#685	0.5	0.0	0.5		_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#int#getOffset#?,long#1531	0.05555555555555555	0.07142857142857142	0.12698412698412698	iWallOffsets[i]<=0	_
org.joda.time.DateTime#?#DateTime#?,int,int,int,int,int,DateTimeZone#331	0.058823529411764705	0.0	0.058823529411764705		_
org.joda.time.DateTime#DateTime#plusHours#?,int#1102	0.05	0.0	0.05		_
org.joda.time.tz.CachedDateTimeZone$Info#int#getOffset#?,long#202	0.008849557522123894	0.0196078431372549	0.028457400659378795	iNextInfo.getOffset(millis)<0	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#int#getOffsetToAdd#?,long#350	0.0038314176245210726	0.015625	0.019456417624521074	offset<0	_
org.joda.time.base.AbstractInstant#DateTimeZone#getZone#?#71	0.018867924528301886	0.0	0.018867924528301886		_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#long#nextTransition#?,long#1574	0.00641025641025641	0.007633587786259542	0.014043844196515953	transitions[i]>0	_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#153	0.0125	0.0	0.0125		_
org.joda.time.DateTimeZone#int#getOffsetFromLocal#?,long#910	0.001388888888888889	0.01	0.011379310344827587	offsetAdjusted<0	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#long#add#?,long,int#320	0.004761904761904762	0.00546448087431694	0.010226385636221701	instant - (iTimeField ? offset : getOffsetFromLocalToSubtract(instant))>0	_
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset#void#printTo#?,StringBuffer,long,Chronology,int,DateTimeZone,Locale#2123	0.01020408163265306	0.0	0.01020408163265306		_
org.joda.time.DateTimeZone#DateTimeZone#forID#?,String#212	0.009433962264150943	0.0	0.009433962264150943		_
org.joda.time.field.PreciseDurationDateTimeField#long#remainder#?,long#127	0.0027548209366391185	0.00411522633744856	0.0068700472740876786	instant % iUnitMillis<=0	_
org.joda.time.tz.CachedDateTimeZone#Info#createInfo#?,long#162	0.005714285714285714	0.0	0.005714285714285714		_
org.joda.time.tz.CachedDateTimeZone#int#getOffset#?,long#103	7.8125E-4	0.004524886877828055	0.0053061368778280545	getInfo(instant).getOffset(instant)<0	_
org.joda.time.DateTimeZone#long#convertLocalToUTC#?,long,boolean,long#955	0.002320185614849188	0.002680965147453083	0.005001150762302271	instantUTC>0	_
org.joda.time.DateTime#DateTime#withMillis#?,long#582	0.005	0.0	0.005		_
org.joda.time.base.AbstractInstant#String#toString#?#424	0.0044444444444444444	0.0	0.0044444444444444444		_
org.joda.time.format.DateTimeFormatterBuilder$Fraction#void#printTo#?,StringBuffer,Writer,long,Chronology#1924	0.004201680672268907	0.0	0.004201680672268907		_
org.joda.time.format.DateTimeFormatterBuilder$Composite#int#estimatePrintedLength#?#2608	0.001984126984126984	0.001984126984126984	0.003968253968253968	iPrintedLengthEstimate>0	_
org.joda.time.base.AbstractInstant#boolean#equals#?,Object#265	0.0035460992907801418	0.0	0.0035460992907801418		_
org.joda.time.base.BaseDateTime#?#BaseDateTime#?,int,int,int,int,int,int,int,DateTimeZone#223	0.003389830508474576	0.0	0.003389830508474576		_
org.joda.time.DateTimeUtils#long#getInstantMillis#?,ReadableInstant#149	0.0016556291390728477	0.0016722408026755853	0.003327869941748433	instant.getMillis()>0	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#dateTime#?#953	0.0031847133757961785	0.0	0.0031847133757961785		_
org.joda.time.chrono.ZonedChronology#long#localToUTC#?,long#147	0.0015174506828528073	0.001524390243902439	0.0030418409267552464	instant>0	_
org.joda.time.chrono.ZonedChronology#long#getDateTimeMillis#?,int,int,int,int,int,int,int#119	0.0015015015015015015	0.001524390243902439	0.0030258917454039406	localToUTC(getBase().getDateTimeMillis(year,monthOfYear,dayOfMonth,hourOfDay,minuteOfHour,secondOfMinute,millisOfSecond))>0	_
org.joda.time.format.DateTimeFormatterBuilder$Fraction#void#printTo#?,StringBuffer,long,Chronology,int,DateTimeZone,Locale#1875	0.0030120481927710845	0.0	0.0030120481927710845		_
org.joda.time.chrono.BasicGJChronology#long#getTotalMillisByYearMonth#?,int,int#140	0.001483679525222552	0.0015060240963855422	0.0029897036216080942	MAX_TOTAL_MILLIS_BY_MONTH_ARRAY[month - 1]>0	_
org.joda.time.chrono.BasicGJChronology#int#getDaysInYearMonth#?,int,int#121	0.001430615164520744	0.001430615164520744	0.002861230329041488	MAX_DAYS_PER_MONTH_ARRAY[month - 1]>0	_
