id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging	ori_OriginalStatisticalDebugging	pred_OriginalStatisticalDebugging	predWithReplace_OriginalStatisticalDebugging	tot_OriginalStatisticalDebugging
1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	11.0	11.0	11.0	10.0	10.0	10.0	10.0
2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	8.0	8.0	8.0	6.0	6.0	6.0	6.0
3	1.0	277.0	1.0	1.0	1.0	277.0	1.0	1.0	1.0	277.0	1.0	2.0	1.0	277.0	1.0	64.0	1.0	277.0	1.0	87.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
4	4.0	28.0	4.0	5.0	4.0	28.0	4.0	5.0	4.0	28.0	4.0	5.0	4.0	28.0	4.0	15.0	4.0	28.0	4.0	15.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
5	6.0	149.0	6.0	6.0	3.0	149.0	3.0	3.0	3.0	149.0	3.0	3.0	3.0	149.0	3.0	18.0	6.0	149.0	6.0	29.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6	8.0	22.0	11.0	14.0	1.0	25.0	1.0	1.0	1.0	24.0	1.0	9.0	34.0	58.0	34.0	73.0	8.0	22.0	11.0	13.0	57.0	36.0	36.0	36.0	57.0	26.0	26.0	26.0
7	3.0	138.0	3.0	5.0	3.0	138.0	3.0	3.0	3.0	138.0	3.0	5.0	3.0	138.0	3.0	49.0	3.0	138.0	3.0	53.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
8	1.0	31.0	1.0	1.0	1.0	31.0	1.0	1.0	1.0	31.0	1.0	1.0	1.0	31.0	1.0	8.0	1.0	31.0	1.0	8.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
9	1.0	31.0	1.0	1.0	1.0	31.0	1.0	1.0	1.0	31.0	1.0	1.0	1.0	31.0	1.0	9.0	1.0	31.0	1.0	9.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
10	7.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	7.0	1.0	1.0	1.0	30.0	1.0	1.0	1.0	30.0	36.0	36.0	36.0
11	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
12	1.0	116.0	5.0	5.0	12.0	116.0	16.0	17.0	3.0	116.0	8.0	13.0	111.0	116.0	111.0	115.0	1.0	116.0	5.0	59.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
