id	line	column	filename	methodname	varname	vartype	lastassign	dis0	isparam	infor	incondnum	bodyuse	if
0	16	4	Dumper.java	write	message	String	PARAM_AS	1	1	0	1	NO_USE	1
0	16	4	Dumper.java	write	THIS	Dumper	UNKNOWN_AS	2147483647	0	0	0	NO_USE	0
1	20	4	Dumper.java	write	file	File	CLASS_INSTANCE_CREATION	1	0	0	2	CALLER_USE	1
1	20	4	Dumper.java	write	message	String	PARAM_AS	5	1	0	1	NO_USE	0
1	20	4	Dumper.java	write	THIS	Dumper	UNKNOWN_AS	2147483647	0	0	0	NO_USE	0
2	29	4	Dumper.java	write	file	File	CLASS_INSTANCE_CREATION	10	0	0	2	NO_USE	1
2	29	4	Dumper.java	write	message	String	PARAM_AS	14	1	0	1	NO_USE	0
2	29	4	Dumper.java	write	THIS	Dumper	UNKNOWN_AS	2147483647	0	0	0	NO_USE	0
3	48	6	Dumper.java	write	file	File	CLASS_INSTANCE_CREATION	29	0	0	2	NO_USE	0
3	48	6	Dumper.java	write	bufferedWriter	BufferedWriter	NULL	16	0	0	1	CALLER_USE	1
3	48	6	Dumper.java	write	message	String	PARAM_AS	33	1	0	1	NO_USE	0
3	48	6	Dumper.java	write	THIS	Dumper	UNKNOWN_AS	2147483647	0	0	0	NO_USE	0
4	78	4	Frequency.java	incrementValue	obj	Comparable<?>	NAME	1	0	0	0	NO_USE	0
4	78	4	Frequency.java	incrementValue	v	Comparable<?>	PARAM_AS	2	1	0	1	OTHER_USE	1
4	78	4	Frequency.java	incrementValue	increment	long	PARAM_AS	2	1	0	0	NO_USE	0
4	78	4	Frequency.java	incrementValue	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	0	NO_USE	0
5	83	6	Frequency.java	incrementValue	count	Long	get()	1	0	0	1	CALLER_USE	1
5	83	6	Frequency.java	incrementValue	obj	Comparable<?>	NAME	6	0	0	0	PARAM_USE	0
5	83	6	Frequency.java	incrementValue	v	Comparable<?>	PARAM_AS	7	1	0	1	NO_USE	0
5	83	6	Frequency.java	incrementValue	increment	long	PARAM_AS	7	1	0	0	PARAM_USE	0
5	83	6	Frequency.java	incrementValue	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	0	FIELD_USE	0
6	157	4	Frequency.java	getCount	v	Comparable<?>	PARAM_AS	1	1	0	1	OTHER_USE	1
6	157	4	Frequency.java	getCount	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	0	CALLER_USE	0
7	163	6	Frequency.java	getCount	count	Long	get()	1	0	0	1	CALLER_USE	1
7	163	6	Frequency.java	getCount	result	long	0	3	0	0	0	NO_USE	0
7	163	6	Frequency.java	getCount	v	Comparable<?>	PARAM_AS	7	1	0	1	NO_USE	0
7	163	6	Frequency.java	getCount	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	0	NO_USE	0
8	210	4	Frequency.java	getPct	sumFreq	long	getSumFreq()	1	0	0	1	NO_USE	1
8	210	4	Frequency.java	getPct	v	Comparable<?>	PARAM_AS	2	1	0	0	NO_USE	0
8	210	4	Frequency.java	getPct	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	0	FIELD_USE	0
9	245	4	Frequency.java	getCumFreq	v	Comparable<?>	PARAM_AS	1	1	0	4	NO_USE	0
9	245	4	Frequency.java	getCumFreq	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	3	NO_USE	1
10	248	4	Frequency.java	getCumFreq	v	Comparable<?>	PARAM_AS	4	1	0	4	OTHER_USE	1
10	248	4	Frequency.java	getCumFreq	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	3	CALLER_USE	0
11	252	4	Frequency.java	getCumFreq	c	Comparator<Comparable<?>>	CAST	1	0	0	4	NO_USE	1
11	252	4	Frequency.java	getCumFreq	v	Comparable<?>	PARAM_AS	8	1	0	4	NO_USE	0
11	252	4	Frequency.java	getCumFreq	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	3	NO_USE	0
12	258	6	Frequency.java	getCumFreq	value	Long	get()	1	0	0	1	CALLER_USE	1
12	258	6	Frequency.java	getCumFreq	c	Comparator<Comparable<?>>	CAST	7	0	0	4	NO_USE	0
12	258	6	Frequency.java	getCumFreq	result	long	0	3	0	0	0	NO_USE	0
12	258	6	Frequency.java	getCumFreq	v	Comparable<?>	PARAM_AS	14	1	0	4	NO_USE	0
12	258	6	Frequency.java	getCumFreq	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	3	NO_USE	0
13	265	4	Frequency.java	getCumFreq	c	Comparator<Comparable<?>>	CAST	14	0	0	4	NO_USE	1
13	265	4	Frequency.java	getCumFreq	result	long	0	10	0	0	0	NO_USE	0
13	265	4	Frequency.java	getCumFreq	v	Comparable<?>	PARAM_AS	21	1	0	4	NO_USE	1
13	265	4	Frequency.java	getCumFreq	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	3	NO_USE	1
14	268	4	Frequency.java	getCumFreq	c	Comparator<Comparable<?>>	CAST	17	0	0	4	NO_USE	1
14	268	4	Frequency.java	getCumFreq	result	long	0	13	0	0	0	NO_USE	0
14	268	4	Frequency.java	getCumFreq	v	Comparable<?>	PARAM_AS	24	1	0	4	NO_USE	1
14	268	4	Frequency.java	getCumFreq	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	3	CALLER_USE	1
15	274	6	Frequency.java	getCumFreq	nextValue	Comparable<?>	next()	1	0	0	1	PARAM_USE	1
15	274	6	Frequency.java	getCumFreq	c	Comparator<Comparable<?>>	CAST	23	0	0	4	NO_USE	1
15	274	6	Frequency.java	getCumFreq	result	long	0	19	0	0	0	NO_USE	0
15	274	6	Frequency.java	getCumFreq	values	Iterator<Comparable<?>>	valuesIterator()	3	0	0	0	NO_USE	0
15	274	6	Frequency.java	getCumFreq	v	Comparable<?>	PARAM_AS	30	1	0	4	NO_USE	1
15	274	6	Frequency.java	getCumFreq	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	3	CALLER_USE	0
16	314	4	Frequency.java	getCumPct	sumFreq	long	getSumFreq()	1	0	0	1	NO_USE	1
16	314	4	Frequency.java	getCumPct	v	Comparable<?>	PARAM_AS	2	1	0	0	NO_USE	0
16	314	4	Frequency.java	getCumPct	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	0	FIELD_USE	0
17	402	4	Frequency.java	equals	obj	Object	PARAM_AS	1	1	0	2	NO_USE	1
17	402	4	Frequency.java	equals	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	5	NO_USE	1
18	405	4	Frequency.java	equals	obj	Object	PARAM_AS	4	1	0	2	NO_USE	1
18	405	4	Frequency.java	equals	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	5	NO_USE	0
19	409	4	Frequency.java	equals	other	Frequency	CAST	1	0	0	2	OTHER_USE	0
19	409	4	Frequency.java	equals	obj	Object	PARAM_AS	8	1	0	2	NO_USE	0
19	409	4	Frequency.java	equals	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	5	FIELD_USE	1
20	410	6	Frequency.java	equals	other	Frequency	CAST	2	0	0	2	NO_USE	1
20	410	6	Frequency.java	equals	obj	Object	PARAM_AS	9	1	0	2	NO_USE	0
20	410	6	Frequency.java	equals	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	5	NO_USE	1
21	415	6	Frequency.java	equals	other	Frequency	CAST	7	0	0	2	NO_USE	1
21	415	6	Frequency.java	equals	obj	Object	PARAM_AS	14	1	0	2	NO_USE	0
21	415	6	Frequency.java	equals	THIS	Frequency	UNKNOWN_AS	2147483647	0	0	5	NO_USE	1
22	50	8	OLSMultipleLinearRegression.java	calculateHat	j	int	0	1	0	1	1	ARRIDX_USE	1
22	50	8	OLSMultipleLinearRegression.java	calculateHat	i	int	0	2	0	1	2	ARRIDX_USE	1
22	50	8	OLSMultipleLinearRegression.java	calculateHat	Q	RealMatrix	getQ()	7	0	1	0	NO_USE	0
22	50	8	OLSMultipleLinearRegression.java	calculateHat	p	int	getColumnDimension()	6	0	1	1	NO_USE	1
22	50	8	OLSMultipleLinearRegression.java	calculateHat	n	int	getColumnDimension()	5	0	1	0	NO_USE	0
22	50	8	OLSMultipleLinearRegression.java	calculateHat	augI	Array2DRowRealMatrix	CLASS_INSTANCE_CREATION	4	0	1	0	NO_USE	0
22	50	8	OLSMultipleLinearRegression.java	calculateHat	augIData	double[][]	getDataRef()	3	0	1	0	ARR_USE	0
22	50	8	OLSMultipleLinearRegression.java	calculateHat	THIS	OLSMultipleLinearRegression	UNKNOWN_AS	2147483647	0	1	0	NO_USE	0
23	68	4	OLSMultipleLinearRegression.java	calculateTotalSumOfSquares	THIS	OLSMultipleLinearRegression	UNKNOWN_AS	2147483647	0	0	1	FIELD_USE	1
24	102	4	OLSMultipleLinearRegression.java	calculateAdjustedRSquared	n	double	getRowDimension()	1	0	0	0	/	0
24	102	4	OLSMultipleLinearRegression.java	calculateAdjustedRSquared	THIS	OLSMultipleLinearRegression	UNKNOWN_AS	2147483647	0	0	1	CALLER_USE	1
25	75	4	SimpleRegression.java	addData	x	double	PARAM_AS	1	1	0	0	OTHER_USE	0
25	75	4	SimpleRegression.java	addData	y	double	PARAM_AS	1	1	0	0	OTHER_USE	0
25	75	4	SimpleRegression.java	addData	THIS	SimpleRegression	UNKNOWN_AS	2147483647	0	0	2	FIELD_USE	1
26	80	6	SimpleRegression.java	addData	x	double	PARAM_AS	6	1	0	0	-	0
26	80	6	SimpleRegression.java	addData	y	double	PARAM_AS	6	1	0	0	-	0
26	80	6	SimpleRegression.java	addData	THIS	SimpleRegression	UNKNOWN_AS	2147483647	0	0	2	FIELD_USE	1
27	92	4	SimpleRegression.java	addData	x	double	PARAM_AS	18	1	0	0	*	0
27	92	4	SimpleRegression.java	addData	y	double	PARAM_AS	18	1	0	0	*	0
27	92	4	SimpleRegression.java	addData	THIS	SimpleRegression	UNKNOWN_AS	2147483647	0	0	2	FIELD_USE	1
28	106	4	SimpleRegression.java	append	reg	SimpleRegression	PARAM_AS	1	1	0	0	OTHER_USE	0
28	106	4	SimpleRegression.java	append	THIS	SimpleRegression	UNKNOWN_AS	2147483647	0	0	1	FIELD_USE	1
29	114	6	SimpleRegression.java	append	reg	SimpleRegression	PARAM_AS	9	1	0	0	OTHER_USE	0
29	114	6	SimpleRegression.java	append	THIS	SimpleRegression	UNKNOWN_AS	2147483647	0	0	1	FIELD_USE	1
30	141	4	SimpleRegression.java	removeData	x	double	PARAM_AS	1	1	0	0	-	0
30	141	4	SimpleRegression.java	removeData	y	double	PARAM_AS	1	1	0	0	-	0
30	141	4	SimpleRegression.java	removeData	THIS	SimpleRegression	UNKNOWN_AS	2147483647	0	0	1	FIELD_USE	1
31	142	6	SimpleRegression.java	removeData	x	double	PARAM_AS	2	1	0	0	-	0
31	142	6	SimpleRegression.java	removeData	y	double	PARAM_AS	2	1	0	0	-	0
31	142	6	SimpleRegression.java	removeData	THIS	SimpleRegression	UNKNOWN_AS	2147483647	0	0	1	FIELD_USE	1
32	173	6	SimpleRegression.java	addData	i	int	0	1	0	1	1	ARRIDX_USE	1
32	173	6	SimpleRegression.java	addData	data	double[][]	PARAM_AS	2	1	1	1	ARR_USE	1
32	173	6	SimpleRegression.java	addData	THIS	SimpleRegression	UNKNOWN_AS	2147483647	0	1	1	FIELD_USE	1
33	186	4	SimpleRegression.java	addObservation	x	double[]	PARAM_AS	1	1	0	2	!=	1
33	186	4	SimpleRegression.java	addObservation	y	double	PARAM_AS	1	1	0	0	NO_USE	0
33	186	4	SimpleRegression.java	addObservation	THIS	SimpleRegression	UNKNOWN_AS	2147483647	0	0	1	FIELD_USE	1
34	198	4	SimpleRegression.java	addObservations	x	double[][]	PARAM_AS	1	1	0	4	==	1
34	198	4	SimpleRegression.java	addObservations	y	double[]	PARAM_AS	1	1	0	2	==	1
34	198	4	SimpleRegression.java	addObservations	THIS	SimpleRegression	UNKNOWN_AS	2147483647	0	0	3	FIELD_USE	1
35	203	6	SimpleRegression.java	addObservations	i	int	0	1	0	1	2	NO_USE	1
35	203	6	SimpleRegression.java	addObservations	obsOk	boolean	LITERAL	2	0	1	1	NO_USE	0
35	203	6	SimpleRegression.java	addObservations	x	double[][]	PARAM_AS	6	1	1	4	NO_USE	1
35	203	6	SimpleRegression.java	addObservations	y	double[]	PARAM_AS	6	1	1	2	NO_USE	0
35	203	6	SimpleRegression.java	addObservations	THIS	SimpleRegression	UNKNOWN_AS	2147483647	0	1	3	NO_USE	1
36	207	4	SimpleRegression.java	addObservations	obsOk	boolean	LITERAL	6	0	0	1	NO_USE	1
36	207	4	SimpleRegression.java	addObservations	x	double[][]	PARAM_AS	10	1	0	4	NO_USE	0
