line	predicate	lable
com.google.javascript.jscomp.Compiler#void#checkFirstModule#?,List<JSModule>#447	!(modules.get(0).getInputs().isEmpty() && modules.size() > 1)	0
com.google.javascript.jscomp.parsing.IRFactory#Node#transformTree#?,AstRoot,StaticSourceFile,String,Config,ErrorReporter#188	node.getComments() != null	1
com.google.javascript.rhino.jstype.FunctionType#boolean#setPrototypeNoCheck#?,ObjectType,Node#449	!(oldPrototype != null)	0
com.google.javascript.jscomp.Scope$Var#int#hashCode#?#303	(nameNode.hashCode())<= 0	1
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenamer#int#incrementNameCount#?,String#497	(nameUsage.add(name,1))>= 0	0
com.google.javascript.jscomp.MakeDeclaredNamesUnique#void#enterScope#?,NodeTraversal#91	!(!declarationRoot.isFunction())	0
com.google.javascript.rhino.jstype.FunctionType#boolean#setPrototypeNoCheck#?,ObjectType,Node#461	!(isInterface())	0
com.google.javascript.rhino.Node#void#setCharno#?,int#1154	sourcePosition > charno	0
com.google.javascript.rhino.Node#int[]#getSortedPropTypes#?#866	x != null	0
com.google.javascript.rhino.jstype.PrototypeObjectType#boolean#isSubtype#?,JSType#469	!(getConstructor() != null && getConstructor().isInterface())	0
com.google.javascript.rhino.jstype.PrototypeObjectType#boolean#implicitPrototypeChainIsUnknown#?#496	p != null	0
com.google.javascript.rhino.Node#PropListItem#removeProp#?,PropListItem,int#792	!(result != item.getNext())	0
com.google.javascript.rhino.jstype.InstanceObjectType#int#hashCode#?#173	!(hasReferenceName())	1
com.google.javascript.rhino.Node#int#getIntProp#?,int#819	(0)>= 0	0
com.google.javascript.rhino.Node#Node#cloneTree#?#1694	!(result.last != null)	0
com.google.javascript.jscomp.NodeTraversal#void#traverseBranch#?,Node,Node#480	!(type == Token.SCRIPT)	0
com.google.javascript.jscomp.Normalize#void#process#?,Node,Node#150	!(!findExposeAnnotations.exposedProperties.isEmpty())	0
com.google.javascript.jscomp.Tracer#?#Tracer#?,String,String#240	!(!extraTracingStatistics.isEmpty())	0
com.google.javascript.jscomp.NodeTraversal#Scope#getScope#?#598	!(scopeRoots.isEmpty())	0
com.google.javascript.jscomp.CodeConsumer#void#addNumber#?,double#255	!(Math.abs(x) >= 100)	0
com.google.javascript.jscomp.SyntacticScopeCreator#void#scanVars#?,Node,Node#170	!(NodeUtil.isControlStructure(n) || NodeUtil.isStatementBlock(n))	0
com.google.javascript.jscomp.CompilerInput#Node#getAstRoot#?,AbstractCompiler#118	!(root != null)	1
com.google.javascript.jscomp.Scope#Var#getVar#?,String#530	var != null	0
com.google.javascript.jscomp.CodePrinter$Builder#String#build#?#623	root == null	1
