line	predicate	lable
com.google.javascript.rhino.jstype.FunctionType#boolean#setPrototype#?,FunctionPrototypeType#293	isConstructor() && prototype == getInstanceType()	1
com.google.javascript.rhino.Node#int#extractLineno#?,int#1133	(lineCharNo >>> COLUMN_BITS)> 0	0
com.google.javascript.rhino.jstype.ArrowType#int#hashCode#?#193	returnTypeInferred	1
com.google.javascript.rhino.Node$NumberNode#?#NumberNode#?,double#249	this.number < number	1
com.google.javascript.jscomp.LineNumberCheck#boolean#shouldTraverse#?,NodeTraversal,Node,Node#60	!(n.getType() == Token.SCRIPT)	0
com.google.javascript.jscomp.InlineVariables$InliningBehavior#void#inlineNonConstants#?,Var,ReferenceCollection#275	!(i < refs.size())	0
com.google.javascript.rhino.jstype.InstanceObjectType#boolean#defineProperty#?,String,JSType,boolean,boolean#90	!(proto != null && proto.hasOwnDeclaredProperty(name))	0
com.google.javascript.jscomp.InlineVariables$InliningBehavior#void#inlineWellDefinedVariable#?,Var,Node,List<Reference>#355	!(i < refSet.size())	0
com.google.javascript.jscomp.Compiler#void#initOptions#?,CompilerOptions#215	!(outStream == null)	1
com.google.javascript.jscomp.PrepareAst$PrepareAnnotations#void#visit#?,NodeTraversal,Node,Node#174	parent.getType() == Token.NAME	1
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processFunctionNode#?,FunctionNode#523	isUnnamedFunction	0
com.google.javascript.jscomp.Compiler#void#initBasedOnOptions#?#306	options.sourceMapOutputPath != null	1
com.google.javascript.jscomp.MakeDeclaredNamesUnique#void#findDeclaredNames#?,Node,Node,Renamer#193	NodeUtil.isVarDeclaration(n)	0
com.google.javascript.jscomp.CodeGenerator#void#add#?,Node,Context#309	c.getType() == Token.VAR	0
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#907	!(first.getType() == Token.STRING)	0
com.google.javascript.rhino.Node#?#Node#?,int#358	sourcePosition >= nodeType	1
com.google.javascript.rhino.jstype.InstanceObjectType#int#hashCode#?#170	(getReferenceName().hashCode())>= 0	0
com.google.javascript.jscomp.MakeDeclaredNamesUnique#String#getReplacementName#?,String#176	newName != null	1
com.google.javascript.rhino.Node#boolean#isEquivalentTo#?,Node#1565	type == Token.ARRAYLIT	1
com.google.javascript.rhino.Node#Object#getProp#?,int#766	item == null	0
com.google.javascript.jscomp.CodeConsumer#void#endStatement#?,boolean#168	needSemiColon	1
com.google.javascript.jscomp.CodeConsumer#void#addNumber#?,double#280	exp > 2	1
com.google.javascript.jscomp.CodeGenerator#void#addNonEmptyExpression#?,Node,Context,boolean#692	nodeToProcess.getType() == Token.VAR	1
com.google.javascript.rhino.jstype.FunctionType#FunctionPrototypeType#getPrototype#?#262	prototype == null	0
com.google.javascript.rhino.Node#?#Node#?,int,Node#372	sourcePosition <= nodeType	0
com.google.javascript.jscomp.CodePrinter$Builder#String#build#?#611	!(root == null)	0
com.google.javascript.rhino.Node#int#getLineno#?#828	(extractLineno(sourcePosition))> 0	0
com.google.javascript.jscomp.ReferenceCollectingCallback#boolean#shouldTraverse#?,NodeTraversal,Node,Node#151	!(isBlockBoundary(n,parent))	0
com.google.javascript.jscomp.CodeGenerator#void#add#?,Node,Context#184	!(first == null || first.getType() == Token.EMPTY)	0
com.google.javascript.jscomp.Compiler#void#initOptions#?,CompilerOptions#214	!(errorManager == null)	1
com.google.javascript.rhino.jstype.ArrowType#int#hashCode#?#206	(hashCode)!= 0	0
com.google.javascript.jscomp.BasicErrorManager#int#getErrorCount#?#75	(errorCount)>= 0	0
com.google.javascript.rhino.Node#Node#copyInformationFrom#?,Node#1855	getProp(ORIGINALNAME_PROP) == null	0
com.google.javascript.jscomp.Compiler#Node#parseInputs#?#1000	!(externsRoot != null)	1
com.google.javascript.rhino.Node#?#Node#?,int#358	sourcePosition > nodeType	1
com.google.javascript.jscomp.Compiler#Node#parseInputs#?#1025	hasErrors()	1
com.google.javascript.jscomp.Scope#Var#getVar#?,String#431	!(parent != null)	0
com.google.javascript.rhino.Node#Node#cloneTree#?#1840	result.first == null	0
com.google.javascript.jscomp.ReferenceCollectingCallback$ReferenceCollection#Reference#getInitializingReference#?#329	!(isInitializingDeclarationAt(0))	1
com.google.javascript.jscomp.Tracer#?#Tracer#?,String,String#269	!trace.isInitialized()	0
