line	predicate	lable
org.apache.commons.lang.enums.Enum#void#init#?,String#327	!(StringUtils.isEmpty(name))	0
org.apache.commons.lang.enums.ValuedEnum#int#compareTo#?,Object#183	(iValue - ((ValuedEnum)other).iValue)!= 0	1
org.apache.commons.lang.enums.Enum#void#init#?,String#337	cls != null && cls != Enum.class && cls != ValuedEnum.class	0
org.apache.commons.lang.enums.Enum#void#init#?,String#337	!(cls != null && cls != Enum.class && cls != ValuedEnum.class)	1
org.apache.commons.lang.enums.ValuedEnum#?#ValuedEnum#?,String,int#127	iValue == value	0
org.apache.commons.lang.enums.ValuedEnum#int#compareTo#?,Object#183	(iValue - ((ValuedEnum)other).iValue)>= 0	1
org.apache.commons.lang.enums.Enum#void#init#?,String#350	!(entry == null)	0
org.apache.commons.lang.enums.ValuedEnum#?#ValuedEnum#?,String,int#127	iValue <= value	0
org.apache.commons.lang.enums.ValuedEnum#int#compareTo#?,Object#183	(iValue - ((ValuedEnum)other).iValue)== 0	0
org.apache.commons.lang.enums.Enum#void#init#?,String#327	StringUtils.isEmpty(name)	1
org.apache.commons.lang.enums.Enum#void#init#?,String#338	!(cls == enumClass)	1
org.apache.commons.lang.enums.Enum#void#init#?,String#354	entry.map.containsKey(name)	1
org.apache.commons.lang.enums.Enum#void#init#?,String#350	entry == null	0
org.apache.commons.lang.enums.ValuedEnum#?#ValuedEnum#?,String,int#127	iValue != value	1
org.apache.commons.lang.enums.ValuedEnum#?#ValuedEnum#?,String,int#127	iValue < value	1
org.apache.commons.lang.enums.ValuedEnum#int#compareTo#?,Object#183	(iValue - ((ValuedEnum)other).iValue)> 0	1
org.apache.commons.lang.enums.Enum#void#init#?,String#338	cls == enumClass	0
org.apache.commons.lang.enums.ValuedEnum#?#ValuedEnum#?,String,int#127	iValue >= value	0
org.apache.commons.lang.enums.Enum#void#init#?,String#344	!(ok == false)	0
org.apache.commons.lang.enums.Enum#void#init#?,String#332	!(enumClass == null)	0
org.apache.commons.lang.enums.ValuedEnum#int#compareTo#?,Object#183	(iValue - ((ValuedEnum)other).iValue)< 0	0
org.apache.commons.lang.enums.Enum#void#init#?,String#354	!(entry.map.containsKey(name))	0
org.apache.commons.lang.enums.ValuedEnum#int#compareTo#?,Object#183	(iValue - ((ValuedEnum)other).iValue)<= 0	0
org.apache.commons.lang.enums.ValuedEnum#?#ValuedEnum#?,String,int#127	iValue > value	1
org.apache.commons.lang.enums.Enum#void#init#?,String#344	ok == false	1
org.apache.commons.lang.enums.Enum#void#init#?,String#332	enumClass == null	1
