line	predicate	lable
org.apache.commons.math3.genetics.ListPopulation#?#ListPopulation#?,List<Chromosome>,int#75	this.populationLimit <= populationLimit	0
org.apache.commons.math3.genetics.ListPopulation#void#addChromosomes#?,Collection<Chromosome>#108	!(chromosomes.size() + chromosomeColl.size() > populationLimit)	0
org.apache.commons.math3.genetics.BinaryChromosome#void#checkValidity#?,List<Integer>#59	i < 0 || i > 1	1
org.apache.commons.math3.genetics.ListPopulation#?#ListPopulation#?,List<Chromosome>,int#75	this.populationLimit == populationLimit	0
org.apache.commons.math3.genetics.BinaryChromosome#List<Integer>#randomBinaryRepresentation#?,int#74	j < length	0
org.apache.commons.math3.genetics.ListPopulation#?#ListPopulation#?,List<Chromosome>,int#71	chromosomes.size() > populationLimit	1
org.apache.commons.math3.genetics.ListPopulation#?#ListPopulation#?,List<Chromosome>,int#75	this.populationLimit > populationLimit	1
org.apache.commons.math3.genetics.ListPopulation#?#ListPopulation#?,List<Chromosome>,int#71	!(chromosomes.size() > populationLimit)	0
org.apache.commons.math3.genetics.ListPopulation#?#ListPopulation#?,List<Chromosome>,int#65	chromosomes == null	1
org.apache.commons.math3.genetics.ListPopulation#void#addChromosomes#?,Collection<Chromosome>#108	chromosomes.size() + chromosomeColl.size() > populationLimit	1
org.apache.commons.math3.genetics.ListPopulation#?#ListPopulation#?,List<Chromosome>,int#68	!(populationLimit <= 0)	0
org.apache.commons.math3.genetics.ListPopulation#?#ListPopulation#?,List<Chromosome>,int#65	!(chromosomes == null)	0
org.apache.commons.math3.genetics.ListPopulation#?#ListPopulation#?,List<Chromosome>,int#75	this.populationLimit != populationLimit	1
org.apache.commons.math3.genetics.BinaryChromosome#List<Integer>#randomBinaryRepresentation#?,int#74	!(j < length)	0
org.apache.commons.math3.genetics.ListPopulation#?#ListPopulation#?,List<Chromosome>,int#75	this.populationLimit < populationLimit	1
org.apache.commons.math3.genetics.ListPopulation#?#ListPopulation#?,List<Chromosome>,int#68	populationLimit <= 0	1
org.apache.commons.math3.genetics.ListPopulation#?#ListPopulation#?,List<Chromosome>,int#75	this.populationLimit >= populationLimit	0
org.apache.commons.math3.genetics.BinaryChromosome#void#checkValidity#?,List<Integer>#59	!(i < 0 || i > 1)	0
