line	predicate	lable
org.apache.commons.math.fraction.BigFraction#double#doubleValue#?#688	(result)< 0	0
org.apache.commons.math.fraction.BigFraction#float#floatValue#?#735	(result)> 0	0
org.apache.commons.math.fraction.BigFraction#?#BigFraction#?,BigInteger,BigInteger#138	BigInteger.ZERO.compareTo(den) > 0	1
org.apache.commons.math.fraction.BigFraction#?#BigFraction#?,BigInteger,BigInteger#122	!(BigInteger.ZERO.equals(den))	0
org.apache.commons.math.util.MathUtils#void#checkNotNull#?,Object,Localizable,Object#244	o == null	1
org.apache.commons.math.fraction.BigFraction#?#BigFraction#?,BigInteger,BigInteger#125	BigInteger.ZERO.equals(num)	1
org.apache.commons.math.util.MathUtils#void#checkNotNull#?,Object,Localizable,Object#244	!(o == null)	0
org.apache.commons.math.fraction.BigFraction#?#BigFraction#?,BigInteger,BigInteger#138	!(BigInteger.ZERO.compareTo(den) > 0)	0
org.apache.commons.math.fraction.BigFraction#double#doubleValue#?#688	(result)> 0	0
org.apache.commons.math.fraction.BigFraction#float#floatValue#?#735	(result)< 0	0
org.apache.commons.math.fraction.BigFraction#float#floatValue#?#735	(result)!= 0	1
org.apache.commons.math.fraction.BigFraction#?#BigFraction#?,BigInteger,BigInteger#132	!(BigInteger.ONE.compareTo(gcd) < 0)	0
org.apache.commons.math.fraction.BigFraction#double#doubleValue#?#688	(result)>= 0	0
org.apache.commons.math.fraction.BigFraction#float#floatValue#?#735	(result)>= 0	0
org.apache.commons.math.fraction.BigFraction#double#doubleValue#?#688	(result)<= 0	0
org.apache.commons.math.fraction.BigFraction#double#doubleValue#?#688	(result)!= 0	1
org.apache.commons.math.fraction.BigFraction#double#doubleValue#?#688	(result)== 0	0
org.apache.commons.math.fraction.BigFraction#?#BigFraction#?,BigInteger,BigInteger#125	!(BigInteger.ZERO.equals(num))	0
org.apache.commons.math.fraction.BigFraction#?#BigFraction#?,BigInteger,BigInteger#132	BigInteger.ONE.compareTo(gcd) < 0	1
org.apache.commons.math.fraction.BigFraction#?#BigFraction#?,BigInteger,BigInteger#122	BigInteger.ZERO.equals(den)	1
org.apache.commons.math.fraction.BigFraction#float#floatValue#?#735	(result)== 0	0
org.apache.commons.math.fraction.BigFraction#float#floatValue#?#735	(result)<= 0	0
