line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.FunctionInjector#CanInlineResult#canInlineReferenceDirectly#?,Node,Node#730	6.999879605104743	6.999879605104743	13.993257885865638	hasSideEffects && NodeUtil.canBeSideEffected(cArg)	GT
com.google.javascript.jscomp.FunctionArgumentInjector#Node#inject#?,AbstractCompiler,Node,Node,Map<String,Node>,boolean#65	6.991692752227306	6.991692752227306	13.970021671081145	replacementTemplate != null	_
com.google.javascript.jscomp.FunctionArgumentInjector#Set<String>#findModifiedParameters#?,Node,Node,Set<String>,Set<String>,boolean#200	6.9835058993498675	6.985913797254996	13.969419696604863	!(inInnerFunction || canNameValueChange(n,parent))	_
com.google.javascript.jscomp.InlineFunctions$FindCandidatesReferences#boolean#maybeAddReferenceUsingMode#?,NodeTraversal,FunctionState,Node,JSModule,InliningMode#533	6.995063809294486	6.995063809294486	13.968095352757043	!(result != CanInlineResult.NO)	_
com.google.javascript.jscomp.InlineFunctions#void#findCalledFunctions#?,Node,Set<String>#787	6.981579581025764	6.98579340235974	13.967372983385506	!(isCandidateUsage(node))	_
com.google.javascript.jscomp.FunctionArgumentInjector#LinkedHashMap<String,Node>#getFunctionCallParameterMap#?,Node,Node,Supplier<String>#130	6.98242234529256	6.98242234529256	13.96412232121358	cArg != null	_
com.google.javascript.jscomp.InlineFunctions$FindCandidatesReferences#void#checkNameUsage#?,Node,Node#557	6.979412472911148	6.979412472911148	13.95810257645076	fs == null	_
com.google.javascript.jscomp.InlineFunctions#boolean#isCandidateUsage#?,Node#447	6.97869010353961	6.97869010353961	13.956778232602938	!(NodeUtil.isGet(parent) && name == parent.getFirstChild() && name.getNext().isString() && name.getNext().getString().equals("call"))	_
com.google.javascript.jscomp.InlineFunctions#void#verifyAllReferencesInlined#?,FunctionState#840	6.97664339032025	6.97664339032025	13.9532867806405	!(!ref.inlined)	_
com.google.javascript.jscomp.InlineFunctions#void#removeInlinedFunctions#?#824	6.9760414158439685	6.976884180110764	13.952925595954731	!(specializationState != null)	_
com.google.javascript.jscomp.FunctionInjector#boolean#inliningLowersCost#?,JSModule,Node,Collection<? extends Reference>,Set<String>,boolean,boolean#784	6.9761618107392245	6.976402600529737	13.952564411268963	!(ref.module != fnModule && !moduleGraph.dependsOn(ref.module,fnModule))	_
com.google.javascript.jscomp.FunctionInjector#boolean#isDirectCallNodeReplacementPossible#?,Node#553	6.981459186130508	6.981459186130508	13.952203226583194	block.getFirstChild().isReturn() && block.getFirstChild().getFirstChild() != null	_
com.google.javascript.jscomp.InlineFunctions$Inline#void#visitCallSite#?,NodeTraversal,Node,Node,FunctionState#613	6.975439441367686	6.976282205634481	13.951721647002167	!(specializationState != null)	_
com.google.javascript.jscomp.InlineFunctions#void#maybeAddFunction#?,Function,JSModule#255	6.980977606549482	6.980977606549482	13.950758487840115	injector.isDirectCallNodeReplacementPossible(fn.getFunctionNode())	_
com.google.javascript.jscomp.InlineFunctions#void#resolveInlineConflictsForFunction#?,FunctionState#744	6.975439441367686	6.975439441367686	13.95027690825909	!(!fs.hasReferences() || !fs.canInline())	_
com.google.javascript.jscomp.InlineFunctions#void#trimCanidatesUsingOnCost#?#670	6.974596677100891	6.975439441367686	13.950036118468578	!(!lowersCost)	_
com.google.javascript.jscomp.InlineFunctions#boolean#mimimizeCost#?,FunctionState#688	6.975439441367686	6.975439441367686	13.950036118468578	!(!inliningLowersCost(fs))	_
com.google.javascript.jscomp.InlineFunctions#void#decomposeExpressions#?#803	6.975439441367686	6.974837466891404	13.949674933782807	fs.canInline()	_
com.google.javascript.jscomp.InlineFunctions$FunctionState#void#addReference#?,Reference#962	6.974596677100891	6.974596677100891	13.949193354201782	references == null	_
com.google.javascript.jscomp.InlineFunctions$FunctionState#Map<Node,Reference>#getReferencesInternal#?#955	6.974596677100891	6.974596677100891	13.9485913797255	!(references == null)	_
com.google.javascript.jscomp.InlineFunctions$FunctionState#Set<String>#getNamesToAlias#?#977	6.9749578617866606	6.9749578617866606	13.947989405249217	namesToAlias == null	_
com.google.javascript.jscomp.InlineFunctions$FindCandidatesReferences#void#maybeAddReference#?,NodeTraversal,FunctionState,Node,JSModule#508	6.9729111485673005	6.974596677100891	13.947507825668191	!(!referenceAdded)	_
com.google.javascript.jscomp.InlineFunctions#void#process#?,Node,Node#137	6.974837466891404	6.974837466891404	13.946303876715628	!(fns.isEmpty())	_
com.google.javascript.jscomp.InlineFunctions$CallVisitor#void#visit#?,NodeTraversal,Node,Node#395	6.972790753672045	6.972790753672045	13.94281242475319	child.isName()	_
com.google.javascript.jscomp.FunctionInjector#CanInlineResult#canInlineReferenceToFunction#?,NodeTraversal,Node,Node,Set<String>,InliningMode,boolean,boolean#207	6.98206116060679	6.98206116060679	13.941367686010114	mode == InliningMode.DIRECT	_
com.google.javascript.jscomp.InlineFunctions#void#trimCanidatesNotMeetingMinimumRequirements#?#654	6.9697808812906334	6.971466409824224	13.941247291114857	!(!fs.hasExistingFunctionDefinition() || !fs.canInline())	_
com.google.javascript.jscomp.FunctionInjector#boolean#doesFunctionMeetMinimumRequirements#?,String,Node#131	6.970382855766916	6.970382855766916	13.940765711533832	!(!compiler.getCodingConvention().isInlinableFunction(fnNode))	_
com.google.javascript.jscomp.InlineFunctions#boolean#isCandidateFunction#?,Function#352	6.970382855766916	6.970382855766916	13.940645316638575	!(specializationState != null && !specializationState.canFixupFunction(fn.getFunctionNode()))	_
com.google.javascript.jscomp.InlineFunctions#FunctionState#getOrCreateFunctionState#?,String#97	6.9697808812906334	6.9697808812906334	13.939561762581267	fs == null	_
com.google.javascript.jscomp.InlineFunctions$FindCandidatesReferences#void#visit#?,NodeTraversal,Node,Node#477	6.9697808812906334	6.9697808812906334	13.939561762581267	n.isName()	_
com.google.javascript.jscomp.InlineFunctions$FindCandidateFunctions#void#findFunctionExpressions#?,NodeTraversal,Node#218	6.968576932338069	6.970262460871659	13.938839393209728	!(NodeUtil.isFunctionObjectCall(n))	_
com.google.javascript.jscomp.NodeUtil#Node#newUndefinedNode#?,Node#2611	6.964724295689863	6.964724295689863	13.929207801589213	srcReferenceNode != null	_
com.google.javascript.jscomp.InlineFunctions$FindCandidateFunctions#void#findNamedFunctions#?,NodeTraversal,Node,Node#174	6.964965085480376	6.964965085480376	13.928846616903444	!(!NodeUtil.isStatement(n))	_
com.google.javascript.jscomp.FunctionInjector#boolean#isSupportedCallType#?,Node#221	6.958945340717554	6.965205875270889	13.923308451721647	!(!callNode.getFirstChild().isName())	_
com.google.javascript.jscomp.InlineFunctions$FindCandidateFunctions#void#visit#?,NodeTraversal,Node,Node#165	6.963881531423068	6.963881531423068	13.92078015892126	(t.inGlobalScope() && inlineGlobalFunctions) || (!t.inGlobalScope() && inlineLocalFunctions)	_
com.google.javascript.jscomp.NodeUtil#boolean#isObjectCallMethod#?,Node,String#2018	6.957500601974476	6.958343366241271	13.909583433662412	!(isGet(functionIndentifyingExpression))	_
com.google.javascript.jscomp.MarkNoSideEffectCalls$SetNoSideEffectCallProperty#void#visit#?,NodeTraversal,Node,Node#191	6.954129544907296	6.954129544907296	13.906693956176259	!noSideEffectFunctionNames.contains(lValue)	_
com.google.javascript.jscomp.MarkNoSideEffectCalls#boolean#definitionTypeContainsFunctionType#?,Definition#79	6.953527570431014	6.953286780640501	13.905610402118949	!(rhs == null)	_
com.google.javascript.jscomp.NodeUtil#void#removeChild#?,Node,Node#1851	6.948952564411269	6.948952564411269	13.897784733927281	isStatementBlock(parent) || isSwitchCase(node)	_
com.google.javascript.jscomp.Compiler#void#reportChangeToEnclosingScope#?,Node#2028	6.952082831687936	6.952082831687936	13.897784733927281	!(phaseOptimizer != null)	_
com.google.javascript.jscomp.NodeUtil#boolean#checkForStateChangeHelper#?,Node,boolean,AbstractCompiler#842	6.9378762340476765	6.9378762340476765	13.86467613773176	!(n.getFirstChild() != null)	_
