line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.NodeTraversal#void#throwUnexpectedException#?,Exception#249	0.16666666666666666	Infinity	Infinity	!(inputId != null)	_
com.google.javascript.jscomp.Compiler#T#runCallable#?,Callable<T>,boolean,boolean#641	1.0	1.0	1.0028011204481793	exception[0] != null	_
com.google.javascript.jscomp.parsing.TypeSafeDispatcher#T#process#?,AstNode#280	1.0	2.2138587558113792E-4	1.0		_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processIllegalToken#?,AstNode#1066	0.5	0.0	0.5		_
com.google.javascript.jscomp.NodeTraversal#void#traverse#?,Node#280	0.5	0.0	0.5		_
com.google.javascript.jscomp.Compiler#void#throwInternalError#?,String,Exception#1988	0.16666666666666666	0.16666666666666666	0.30952380952380953	cause != null	_
com.google.javascript.jscomp.RhinoErrorReporter$NewRhinoErrorReporter#void#error#?,String,String,int,String,int#165	0.05263157894736842	0.0	0.05263157894736842		_
com.google.javascript.jscomp.RhinoErrorReporter#void#error#?,String,String,int,int#119	0.05263157894736842	0.0	0.05263157894736842		_
com.google.javascript.jscomp.LoggerErrorManager#void#printSummary#?#69	0.04	0.04	0.045208333333333336	getErrorCount() + getWarningCount() > 0	_
com.google.javascript.jscomp.JSError#JSError#make#?,String,int,int,CheckLevel,DiagnosticType,String#99	0.037037037037037035	0.0	0.037037037037037035		_
com.google.javascript.jscomp.RhinoErrorReporter#JSError#makeError#?,String,String,int,int,CheckLevel#135	0.037037037037037035	0.01282051282051282	0.037037037037037035		_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processObjectLiteral#?,ObjectLiteral#781	0.017857142857142856	0.018518518518518517	0.036375661375661374	!(el.isSetter())	_
com.google.javascript.jscomp.LoggerErrorManager#void#println#?,CheckLevel,JSError#54	0.03571428571428571	0.0	0.03571428571428571		_
com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator#int#compare#?,ErrorWithLevel,ErrorWithLevel#170	0.02857142857142857	0.02857142857142857	0.029253091829778945	charno1 != charno2	_
com.google.javascript.jscomp.LightweightMessageFormatter#String#format#?,JSError,boolean#104	0.0136986301369863	0.0136986301369863	0.027031963470319637	!(Character.isWhitespace(c))	_
com.google.javascript.jscomp.SourceFile#String#getLine#?,int#242	0.012048192771084338	0.012048192771084338	0.023952954675846242	!(pos >= js.length())	_
com.google.javascript.jscomp.JSError#String#format#?,CheckLevel,MessageFormatter#176	0.023255813953488372	0.0	0.023255813953488372		_
com.google.javascript.jscomp.Compiler#String#getSourceLine#?,String,int#2053	0.010638297872340425	0.010638297872340425	0.02105496453900709	input != null	_
com.google.javascript.jscomp.AbstractMessageFormatter#String#maybeColorize#?,String,Color#82	0.010526315789473684	0.010526315789473684	0.021052631578947368	!colorize	_
com.google.javascript.jscomp.Compiler#SourceFile#getSourceFileByName#?,String#2040	0.010526315789473684	0.010526315789473684	0.020835594139989148	input != null	_
