line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.ScopedAliases$Traversal#void#findNamespaceShadows#?,NodeTraversal#339	0.16666666666666663	0.25	0.41666666666666663	!(forbiddenLocals.contains(v.getName()))	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#findAliases#?,NodeTraversal#314	0.05882352941176472	0.2857142857142857	0.3412698412698413	!(!aliases.containsKey(qNameRoot))	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#fixTypeNode#?,Node#458	0.11111111111111116	0.11111111111111116	0.22222222222222232	typeNode.isString()	GT
com.google.javascript.jscomp.CheckSideEffects#void#visit#?,NodeTraversal,Node,Node#107	0.1428571428571429	0.1428571428571429	0.14551671732522797	n.isQualifiedName() && n.getJSDocInfo() != null	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#visit#?,NodeTraversal,Node,Node#447	0.11111111111111116	0.10526315789473684	0.14526315789473687	info != null	_
com.google.javascript.rhino.Node#String#checkTreeEquals#?,Node#1429	0.125	0.125	0.12527723870252283	diff != null	_
com.google.javascript.jscomp.ScopedAliases$AliasedTypeNode#?#AliasedTypeNode#?,Node,String#174	0.11111111111111116	0.0	0.11111111111111116		GT
com.google.javascript.jscomp.ScopedAliases$AliasedTypeNode#void#applyAlias#?#180	0.11111111111111116	0.0	0.11111111111111116		_
com.google.javascript.jscomp.ScopedAliases#void#hotSwapScript#?,Node,Node#120	0.052631578947368474	0.04878048780487809	0.09756097560975618	aliasDefinition.getParent().isVar() && aliasDefinition.getParent().hasOneChild()	_
com.google.javascript.jscomp.ScopedAliases$AliasedNode#void#applyAlias#?#163	0.08695652173913049	0.0	0.08695652173913049		_
com.google.javascript.rhino.Node#NodeMismatch#checkTreeEqualsImpl#?,Node#1445	0.08333333333333337	0.08333333333333337	0.08361018826135114	!isEquivalentTo(node2,false,false)	_
com.google.javascript.rhino.Node$NodeMismatch#?#NodeMismatch#?,Node,Node#2148	0.08333333333333337	0.0	0.08333333333333337		_
com.google.javascript.jscomp.ScopedAliases$AliasedNode#?#AliasedNode#?,Node,Node#158	0.08333333333333337	0.0	0.08333333333333337		_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#renameNamespaceShadows#?,NodeTraversal#352	0.040000000000000036	0.04166666666666663	0.08166666666666667	!(hasNamespaceShadows)	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#validateScopeCall#?,NodeTraversal,Node,Node#379	0.04081632653061229	0.04081632653061229	0.08081632653061233	!(!anonymousFnNode.isFunction() || NodeUtil.getFunctionName(anonymousFnNode) != null || NodeUtil.getFunctionParameters(anonymousFnNode).hasChildren())	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#exitScope#?,NodeTraversal#248	0.0714285714285714	0.0714285714285714	0.08043758043758042	t.getScopeDepth() > 2	_
com.google.javascript.rhino.JSDocInfo#Collection<Node>#getTypeNodes#?#1472	0.037735849056603765	0.037735849056603765	0.07477288609364086	parameterType != null	_
com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder#JSType#getDeclaredType#?,String,JSDocInfo,Node,Node#1295	0.040000000000000036	0.040000000000000036	0.07448275862068965	rValue.getJSType() != null && !rValue.getJSType().isUnknownType()	_
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter#boolean#isValidName#?,String#378	0.0357142857142857	0.0357142857142857	0.0714285714285714	TokenStream.isJSIdentifier(name) && !referencedNames.contains(name) && !name.equals(ARGUMENTS)	_
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter#void#addCandidateNameReference#?,String,Node#411	0.03448275862068961	0.03448275862068961	0.06896551724137923	null == nodes	_
com.google.javascript.rhino.Node#String#propToString#?,int#144	0.06666666666666665	0.0	0.06666666666666665		_
com.google.javascript.rhino.SourcePosition#void#setPositionInformation#?,int,int,int,int#93	0.02941176470588236	0.02941176470588236	0.05882352941176472	!(startLineno > endLineno)	_
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter#void#handleScopeVar#?,Var#343	0.0357142857142857	0.0357142857142857	0.05458221024258758	containsSeparator(name) && !getOrginalName(name).isEmpty()	_
com.google.javascript.jscomp.ScopedAliases$Traversal#boolean#shouldTraverse#?,NodeTraversal,Node,Node#265	0.013245033112582738	0.040000000000000036	0.053245033112582774	!(parent == null || !isCallToScopeMethod(parent))	_
com.google.javascript.jscomp.ScopedAliases$Traversal#void#enterScope#?,NodeTraversal#239	0.040000000000000036	0.040000000000000036	0.049009009009009064	n != null && isCallToScopeMethod(n)	_
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter#void#visit#?,NodeTraversal,Node,Node#403	0.03448275862068961	0.03448275862068961	0.04764065335753176	containsSeparator(name)	_
com.google.javascript.jscomp.ProcessClosurePrimitives#void#handleTypedefDefinition#?,NodeTraversal,Node,Node#352	0.022222222222222254	0.024390243902439046	0.0466124661246613	!(pn != null)	_
com.google.javascript.rhino.Token#String#name#?,int#214	0.045454545454545414	0.0	0.045454545454545414		_
com.google.javascript.rhino.jstype.NamedType#boolean#isEquivalentTo#?,JSType#187	0.038461538461538436	0.038461538461538436	0.043669871794871806	this == that	_
com.google.javascript.jscomp.CompilerOptions$NullAliasTransformationHandler#AliasTransformation#logAliasTransformation#?,String,SourcePosition<AliasTransformation>#2071	0.04255319148936165	0.0	0.04255319148936165		_
com.google.javascript.jscomp.Scope#Iterable<Var>#getVarIterable#?#585	0.040000000000000036	0.0	0.040000000000000036		_
com.google.javascript.jscomp.ScopedAliases$Traversal#SourcePosition<AliasTransformation>#getSourceRegion#?,Node#282	0.040000000000000036	0.0	0.040000000000000036		_
com.google.javascript.rhino.jstype.NamedType#void#handleUnresolvedType#?,ErrorReporter,boolean#360	0.023255813953488413	0.023255813953488413	0.039384846211552915	!isForwardDeclared && registry.isLastGeneration()	_
com.google.javascript.jscomp.NodeUtil#boolean#tryMergeBlock#?,Node#1830	0.0273972602739726	0.026666666666666616	0.038787878787878705	isStatementBlock(parent)	_
com.google.javascript.rhino.jstype.NamedType#JSType#lookupViaProperties#?,ErrorReporter,StaticScope<JSType>#297	0.023809523809523836	0.023809523809523836	0.038302277432712195	slot == null	_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#973	0.021739130434782594	0.021739130434782594	0.03813257305773343	lineno != -1	_
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter#String#findReplacementName#?,String#365	0.0357142857142857	0.0	0.0357142857142857		_
com.google.javascript.jscomp.ReplaceIdGenerators$GatherGenerators#void#visit#?,NodeTraversal,Node,Node#117	0.018867924528301883	0.018867924528301883	0.034996956786366384	!doc.isConsistentIdGenerator() && !doc.isIdGenerator()	_
com.google.javascript.jscomp.ClosureCodeRemoval$FindAbstractMethods#void#visit#?,NodeTraversal,Node,Node#145	0.017241379310344862	0.01754385964912286	0.034785238959467724	!(nameNode.isQualifiedName() && valueNode.isQualifiedName() && ABSTRACT_METHOD_NAME.equals(valueNode.getQualifiedName()))	_
com.google.javascript.rhino.jstype.NamedType#void#resolveViaProperties#?,ErrorReporter,StaticScope<JSType>#270	0.015625	0.015625	0.03125	!(value instanceof EnumType)	_
com.google.javascript.jscomp.RhinoErrorReporter#JSError#makeError#?,String,String,int,int,CheckLevel#121	0.018867924528301883	0.018867924528301883	0.03091611729938626	entry.getKey().matcher(message).matches()	_
com.google.javascript.jscomp.LoggerErrorManager#void#println#?,CheckLevel,JSError#57	0.030303030303030276	0.0	0.030303030303030276		_
com.google.javascript.rhino.JSTypeExpression#Node#getRoot#?#121	0.02985074626865669	0.0	0.02985074626865669		_
com.google.javascript.jscomp.ConstCheck#void#visit#?,NodeTraversal,Node,Node#68	0.014925373134328401	0.014925373134328401	0.029631255487269526	!(initializedConstants.contains(var))	_
com.google.javascript.rhino.jstype.FunctionType#void#clearCachedValues#?#1075	0.010000000000000009	0.019230769230769273	0.029230769230769282	!(!isNativeObjectType())	_
com.google.javascript.jscomp.NodeUtil#boolean#checkForStateChangeHelper#?,Node,boolean,AbstractCompiler#821	0.016129032258064502	0.014925373134328401	0.029009880176581904	!(checkForNewObjects)	_
com.google.javascript.rhino.jstype.NamedType#JSType#resolveInternal#?,ErrorReporter,StaticScope<JSType>#226	0.01449275362318836	0.01449275362318836	0.02898550724637672	!(detectImplicitPrototypeCycle())	_
com.google.javascript.rhino.Node$IntPropListItem#String#toString#?#352	0.02857142857142858	0.0	0.02857142857142858		_
com.google.javascript.jscomp.TypedScopeCreator$GlobalScopeBuilder#void#checkForTypedef#?,NodeTraversal,Node,JSDocInfo#1840	0.015151515151515138	0.015151515151515138	0.028309409888357284	candidate.isGetProp()	_
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter#String#getOrginalName#?,String#284	0.02777777777777779	0.0	0.02777777777777779		_
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter#int#indexOfSeparator#?,String#289	0.02777777777777779	0.0	0.02777777777777779		_
com.google.javascript.jscomp.Normalize$PropagateConstantAnnotationsOverVars#void#visit#?,NodeTraversal,Node,Node#256	0.012820512820512775	0.012820512820512775	0.02564102564102555	!(assertOnChange)	_
com.google.javascript.jscomp.LightweightMessageFormatter#String#format#?,JSError,boolean#104	0.012658227848101222	0.012658227848101222	0.025003906860446956	!(Character.isWhitespace(c))	_
com.google.javascript.jscomp.SourceFile#String#getLine#?,int#240	0.011111111111111072	0.011111111111111072	0.022222222222222143	!(pos >= js.length())	_
com.google.javascript.rhino.Node$ObjectPropListItem#String#toString#?#320	0.021739130434782594	0.0	0.021739130434782594		_
com.google.javascript.jscomp.SourceFile#String#toString#?#303	0.021739130434782594	0.0	0.021739130434782594		_
com.google.javascript.jscomp.RhinoErrorReporter$OldRhinoErrorReporter#void#warning#?,String,String,int,int#147	0.021739130434782594	0.0	0.021739130434782594		_
com.google.javascript.rhino.Node#int[]#getSortedPropTypes#?#887	0.021739130434782594	0.0	0.021739130434782594		_
com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder#void#defineSlot#?,Node,Node,String,JSType,boolean#1223	0.02083333333333337	0.02083333333333337	0.021226569668370776	isGlobalVar && "Window".equals(variableName) && type != null && type.isFunctionType() && type.isConstructor()	_
com.google.javascript.rhino.JSDocInfoBuilder#boolean#recordTypedef#?,JSTypeExpression#449	0.010526315789473717	0.010526315789473717	0.021052631578947434	type != null && !hasAnyTypeRelatedTags()	_
com.google.javascript.jscomp.Scope$Var#Node#getNode#?#157	0.02083333333333337	0.0	0.02083333333333337		_
com.google.javascript.rhino.jstype.NamedType#void#finishPropertyContinuations#?#135	0.005319148936170248	0.01449275362318836	0.019811902559358607	!(referencedObjType != null && !referencedObjType.isUnknownType())	_
com.google.javascript.rhino.jstype.NamedType#boolean#resolveViaRegistry#?,ErrorReporter,StaticScope<JSType>#245	0.01449275362318836	0.01449275362318836	0.019811902559358607	!(type != null)	_
com.google.javascript.jscomp.Compiler#String#getSourceLine#?,String,int#2127	0.00990099009900991	0.00990099009900991	0.019609727963087575	input != null	_
com.google.javascript.jscomp.AbstractMessageFormatter#String#getLevelName#?,CheckLevel#76	0.019607843137254943	0.0	0.019607843137254943		_
com.google.javascript.jscomp.LightweightMessageFormatter#String#formatWarning#?,JSError#66	0.019607843137254943	0.0	0.019607843137254943		_
com.google.javascript.jscomp.JSError#String#format#?,CheckLevel,MessageFormatter#183	0.019607843137254943	0.0	0.019607843137254943		_
com.google.javascript.jscomp.AbstractMessageFormatter#String#maybeColorize#?,String,Color#82	0.009803921568627416	0.009803921568627416	0.019607843137254832	!colorize	_
com.google.javascript.jscomp.DefaultPassConfig#List<PassFactory>#getChecks#?#276	0.009708737864077666	0.009708737864077666	0.019142700128228607	options.checkTypes	_
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter#void#exitScope#?,NodeTraversal#319	0.018867924528301883	0.007462686567164201	0.018867924528301883		_
com.google.javascript.rhino.jstype.JSTypeRegistry#boolean#isForwardDeclaredType#?,String#861	0.018867924528301883	0.0	0.018867924528301883		_
com.google.javascript.jscomp.Denormalize#void#maybeCollapseIntoForStatements#?,Node,Node#96	0.0092592592592593	0.0092592592592593	0.0185185185185186	!(nextSibling.isFor() && nextSibling.getFirstChild().isEmpty())	_
com.google.javascript.rhino.Node#void#appendStringTree#?,Appendable#1025	0.01851851851851849	0.0	0.01851851851851849		_
com.google.javascript.rhino.Node#String#toStringTreeImpl#?#1018	0.01851851851851849	0.0	0.01851851851851849		_
com.google.javascript.rhino.Node#void#toStringTreeHelper#?,Node,int,Appendable#1033	0.01851851851851849	0.0	0.01851851851851849		_
com.google.javascript.rhino.Node#String#toStringTree#?#1011	0.01851851851851849	0.0	0.01851851851851849		_
com.google.javascript.jscomp.SourceFile#void#findLineOffsets#?#107	0.009009009009009028	0.009009009009009028	0.018018018018018056	!(lineOffsets != null)	_
com.google.javascript.jscomp.TypeCheck#double#getTypedPercent#?#1915	0.00917431192660545	0.00917431192660545	0.01794624175116688	!(total == 0)	_
com.google.javascript.jscomp.ClosureCodeRemoval#void#process#?,Node,Node#202	0.0078125	0.010000000000000009	0.01781250000000001	!(removeAssertionCalls)	_
com.google.javascript.jscomp.CombinedCompilerPass#void#traverse#?,AbstractCompiler,Node,List<Callback>#75	0.010000000000000009	0.010000000000000009	0.01781250000000001	callbacks.size() == 1	_
com.google.javascript.jscomp.Compiler#SourceFile#getSourceFileByName#?,String#2114	0.008928571428571397	0.008928571428571397	0.01762422360248439	input != null	_
com.google.javascript.jscomp.RhinoErrorReporter#void#warningAtLine#?,String,String,int,int#105	0.017241379310344862	0.0	0.017241379310344862		_
com.google.javascript.rhino.jstype.UnionType#JSType#resolveInternal#?,ErrorReporter,StaticScope<JSType>#533	0.016129032258064502	0.016129032258064502	0.01653803021307476	changed	_
