line	original_score	max_predicate_score	total	predicate	label
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#append#?,PeriodFormatter#192	0.7071067811865475	0.7071067811865475	1.414213562373095	!(formatter == null)	_
org.joda.time.format.PeriodFormatterBuilder$Separator#int#parseInto#?,ReadWritablePeriod,String,int,Locale#1734	1.0	1.0	1.1348399724926483	found && position == oldPos	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#parseInt#?,String,int,int#1349	1.0	1.0	1.1324532357065045	length >= 10	_
org.joda.time.format.PeriodFormatterBuilder#Object[]#createComposite#?,List<Object>#818	0.7071067811865475	0.0	0.7071067811865475		_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#parseInto#?,ReadWritablePeriod,String,int,Locale#1303	0.35355339059327373	0.35355339059327373	0.5620678046503484	fractPos < 0	_
org.joda.time.format.PeriodFormatter#MutablePeriod#parseMutablePeriod#?,String#319	0.3779644730092272	0.3779644730092272	0.5223020403066336	!(newPos >= 0)	_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendSuffix#?,String#552	0.20412414523193154	0.20412414523193154	0.4041241452319315	!(text == null)	_
org.joda.time.format.PeriodFormatterBuilder$Separator#?#Separator#?,String,String,String[],PeriodPrinter,PeriodParser,boolean,boolean#1597	0.19611613513818404	0.19611613513818404	0.36761472028069286	(finalText == null || text.equals(finalText)) && (variants == null || variants.length == 0)	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#?#FieldFormatter#?,FieldFormatter,PeriodFieldAffix#1070	0.17677669529663687	0.17677669529663687	0.35355339059327373	!(field.iSuffix != null)	_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendSuffix#?,PeriodFieldAffix#591	0.17677669529663687	0.17677669529663687	0.3482752804391457	iElementPairs.size() > 0	_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendSeparator#?,String,String,String[],boolean,boolean#738	0.17149858514250882	0.17149858514250882	0.34299717028501764	!(pairs.size() == 0)	_
org.joda.time.format.ISOPeriodFormat#PeriodFormatter#standard#?#65	0.22941573387056174	0.22941573387056174	0.3366269873543412	cStandard == null	_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendLiteral#?,String#228	0.16666666666666666	0.16666666666666666	0.3333333333333333	!(text == null)	_
org.joda.time.format.PeriodFormatterBuilder$SimpleAffix#int#parse#?,String,int#876	0.15249857033260467	0.15249857033260467	0.30499714066520933	periodStr.regionMatches(true,position,text,0,textLength)	_
org.joda.time.format.PeriodFormatterBuilder$Literal#int#parseInto#?,ReadWritablePeriod,String,int,Locale#1565	0.14586499149789456	0.14586499149789456	0.2917299829957891	periodStr.regionMatches(true,position,iText,0,iText.length())	_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatter#toFormatter#?,List<Object>,boolean,boolean#799	0.17149858514250882	0.17149858514250882	0.2854591616021468	size >= 2 && elementPairs.get(0) instanceof Separator	GT
org.joda.time.format.PeriodFormatterBuilder#void#clear#?#176	0.1386750490563073	0.1386750490563073	0.2773500981126146	iElementPairs == null	_
org.joda.time.format.PeriodFormatterBuilder#void#clearPrefix#?#779	0.13736056394868904	0.13736056394868904	0.27472112789737807	!(iPrefix != null)	_
org.joda.time.convert.ConverterSet#Converter#selectSlow#?,ConverterSet,Class<?>#269	0.13483997249264842	0.13483997249264842	0.2650288834734723	length == 1	_
org.joda.time.format.PeriodFormatterBuilder$Composite#int#parseInto#?,ReadWritablePeriod,String,int,Locale#1823	0.12909944487358055	0.12909944487358055	0.2581988897471611	!(parsers == null)	_
org.joda.time.format.PeriodFormatter#void#checkParser#?#335	0.12803687993289598	0.12909944487358055	0.2571363248064765	!(iParser == null)	_
org.joda.time.base.BasePeriod#?#BasePeriod#?,Object,PeriodType,Chronology#247	0.13130643285972254	0.13130643285972254	0.2508292937931619	!(this instanceof ReadWritablePeriod)	_
org.joda.time.base.BasePeriod#void#setPeriod#?,ReadablePeriod#401	0.12803687993289598	0.12803687993289598	0.2502063242892012	!(period == null)	_
org.joda.time.base.BasePeriod#void#setFieldInto#?,int[],DurationFieldType,int#478	0.12216944435630522	0.12216944435630522	0.24255529744207444	!(index == -1)	_
org.joda.time.convert.ConverterManager#PeriodConverter#getPeriodConverter#?,Object#423	0.11704114719613057	0.11704114719613057	0.23328878593994984	converter != null	_
org.joda.time.format.PeriodFormatterBuilder$Composite#?#Composite#?,List<Object>#1770	0.11396057645963795	0.11396057645963795	0.2279211529192759	!(printerList.size() <= 0)	_
org.joda.time.format.PeriodFormatterBuilder$Composite#void#decompose#?,List<Object>,List<Object>,List<Object>#1839	0.11396057645963795	0.11396057645963795	0.2279211529192759	!(element instanceof Composite)	_
org.joda.time.format.FormatUtils#String#createErrorMessage#?,String,int#369	0.11396057645963795	0.11396057645963795	0.2243921025344845	!(errorPos >= text.length())	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#void#setFieldValue#?,ReadWritablePeriod,int,int#1520	0.20851441405707477	0.0	0.20851441405707477		_
org.joda.time.MutablePeriod#void#setMillis#?,int#947	0.20412414523193154	0.0	0.20412414523193154		_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendSeparatorIfFieldsAfter#?,String#652	0.20412414523193154	0.0	0.20412414523193154		_
org.joda.time.MutablePeriod#void#setSeconds#?,int#925	0.20412414523193154	0.0	0.20412414523193154		_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendSecondsWithOptionalMillis#?#500	0.20412414523193154	0.0	0.20412414523193154		_
org.joda.time.convert.ConverterManager#ConverterManager#getInstance#?#89	0.15249857033260467	0.15249857033260467	0.20135176720720782	INSTANCE == null	_
org.joda.time.convert.ReadablePeriodConverter#Class<?>#getSupportedType#?#81	0.19611613513818404	0.0	0.19611613513818404		_
org.joda.time.format.PeriodFormatterBuilder$SimpleAffix#?#SimpleAffix#?,String#858	0.1889822365046136	0.0	0.1889822365046136		_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#getFieldType#?#1529	0.17677669529663687	0.0	0.17677669529663687		_
org.joda.time.format.PeriodFormatterBuilder$SimpleAffix#int#scan#?,String,int#901	0.17677669529663687	0.0	0.17677669529663687		_
org.joda.time.convert.ConverterSet#ConverterSet#remove#?,int,Converter[]#222	0.08391813582966891	0.09205746178983235	0.17568166279054143	!(removed != null)	_
org.joda.time.convert.ReadableDurationConverter#Class<?>#getSupportedType#?#88	0.17407765595569785	0.0	0.17407765595569785		_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendMinutes#?#463	0.17149858514250882	0.0	0.17149858514250882		_
org.joda.time.format.PeriodFormatterBuilder$Separator#Separator#finish#?,PeriodPrinter,PeriodParser#1750	0.17149858514250882	0.0	0.17149858514250882		_
org.joda.time.chrono.ISOChronology#void#assemble#?,Fields#169	0.08219949365267865	0.08804509063256238	0.17024458428524103	!(getBase().getZone() == DateTimeZone.UTC)	_
org.joda.time.format.PeriodFormatterBuilder$Literal#?#Literal#?,String#1543	0.16666666666666666	0.0	0.16666666666666666		_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendDays#?#437	0.16222142113076254	0.0	0.16222142113076254		_
org.joda.time.convert.ConverterSet#Converter#select#?,Class<?>#86	0.08032193289024989	0.08032193289024989	0.16064386578049977	entries[i] == null	_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendMonths#?#411	0.15811388300841897	0.0	0.15811388300841897		_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendWeeks#?#424	0.15811388300841897	0.0	0.15811388300841897		_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendHours#?#451	0.15617376188860607	0.0	0.15617376188860607		_
org.joda.time.chrono.BaseChronology#int[]#get#?,ReadablePeriod,long#278	0.06757373783994859	0.08873565094161139	0.15600293034124263	!(duration != 0)	_
org.joda.time.base.AbstractPeriod#Period#toPeriod#?#124	0.15249857033260467	0.0	0.15249857033260467		_
org.joda.time.convert.ConverterManager#?#ConverterManager#?#105	0.15249857033260467	0.0	0.15249857033260467		_
org.joda.time.convert.StringConverter#?#StringConverter#?#50	0.15249857033260467	0.0	0.15249857033260467		_
org.joda.time.convert.ReadableDurationConverter#?#ReadableDurationConverter#?#42	0.15075567228888181	0.0	0.15075567228888181		_
