line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.MinimizeExitPoints#void#tryMinimizeExits#?,Node,int,String#143	1.0	0.0	1.0		GT
com.google.javascript.jscomp.MinimizeExitPoints#boolean#matchingExitNode#?,Node,int,String#285	0.5	0.0	0.5		_
com.google.javascript.rhino.Token#String#name#?,int#224	0.25	0.0	0.25		_
com.google.javascript.rhino.Node#String#checkTreeEquals#?,Node#1428	0.2222222222222222	0.0	0.2222222222222222		_
com.google.javascript.rhino.Node#NodeMismatch#checkTreeEqualsImpl#?,Node#1457	0.2222222222222222	0.0	0.2222222222222222		_
com.google.javascript.jscomp.MinimizeExitPoints#void#tryMinimizeIfBlockExits#?,Node,Node,Node,int,String#224	0.19999999999999996	0.0	0.19999999999999996		_
com.google.javascript.jscomp.MinimizeExitPoints#void#visit#?,NodeTraversal,Node,Node#51	0.16666666666666663	0.0	0.16666666666666663		_
com.google.javascript.rhino.Node$NodeMismatch#?#NodeMismatch#?,Node,Node#2164	0.15384615384615385	0.0	0.15384615384615385		_
com.google.javascript.jscomp.MinimizeExitPoints#void#moveAllFollowing#?,Node,Node,Node#308	0.11111111111111116	0.0	0.11111111111111116		_
com.google.javascript.jscomp.NodeUtil#Node#getLoopCodeBlock#?,Node#1636	0.11111111111111116	0.0	0.11111111111111116		_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#961	0.09999999999999998	0.0	0.09999999999999998		_
com.google.javascript.rhino.InputId#String#toString#?#74	0.09090909090909094	0.0	0.09090909090909094		_
com.google.javascript.rhino.Node#String#propToString#?,int#122	0.09090909090909094	0.0	0.09090909090909094		_
com.google.javascript.rhino.Node#int[]#getSortedPropTypes#?#877	0.04255319148936165	0.04255319148936165	0.0851063829787233	keys[count] != count	_
com.google.javascript.jscomp.CodeGenerator#void#add#?,Node,Context#164	0.0625	0.0	0.0625		_
com.google.javascript.rhino.Node$IntPropListItem#String#toString#?#347	0.05555555555555558	0.0	0.05555555555555558		_
com.google.javascript.jscomp.AstValidator#void#validateTry#?,Node#530	0.05555555555555558	0.0	0.05555555555555558		_
com.google.javascript.rhino.Node$ObjectPropListItem#String#toString#?#315	0.04255319148936165	0.0	0.04255319148936165		_
com.google.javascript.jscomp.SourceFile#String#toString#?#303	0.04255319148936165	0.0	0.04255319148936165		_
com.google.javascript.rhino.Node#void#toStringTreeHelper#?,Node,int,Appendable#1032	0.03703703703703709	0.0	0.03703703703703709		_
com.google.javascript.rhino.Node#void#appendStringTree#?,Appendable#1021	0.0357142857142857	0.0	0.0357142857142857		_
com.google.javascript.rhino.Node#String#toStringTree#?#1007	0.0357142857142857	0.0	0.0357142857142857		_
com.google.javascript.rhino.Node#String#toStringTreeImpl#?#1012	0.0357142857142857	0.0	0.0357142857142857		_
com.google.javascript.jscomp.AstValidator#void#validateStatement#?,Node#132	0.03448275862068961	0.0	0.03448275862068961		_
com.google.javascript.jscomp.AstValidator#void#validateThrow#?,Node#491	0.03448275862068961	0.0	0.03448275862068961		_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processTryStatement#?,TryStatement#1136	0.032786885245901676	0.0	0.032786885245901676		_
com.google.javascript.rhino.Node#String#toString#?#932	0.031746031746031744	0.0	0.031746031746031744		_
com.google.javascript.jscomp.AstValidator#void#validateBreak#?,Node#496	0.03125	0.0	0.03125		_
com.google.javascript.jscomp.parsing.TypeSafeDispatcher#T#process#?,AstNode#264	0.026666666666666616	0.0	0.026666666666666616		_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processThrowStatement#?,ThrowStatement#1111	0.026666666666666616	0.0	0.026666666666666616		_
com.google.javascript.jscomp.NodeUtil#Node#getCatchBlock#?,Node#2799	0.02631578947368418	0.0	0.02631578947368418		_
com.google.javascript.jscomp.NodeUtil#boolean#hasCatchHandler#?,Node#2807	0.02631578947368418	0.0	0.02631578947368418		_
com.google.javascript.jscomp.NodeUtil#boolean#hasFinally#?,Node#2790	0.02564102564102566	0.0	0.02564102564102566		_
com.google.javascript.rhino.Node#String#toString#?,boolean,boolean,boolean#940	0.025316455696202556	0.0	0.025316455696202556		_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processBreakStatement#?,BreakStatement#636	0.022727272727272707	0.0	0.022727272727272707		_
com.google.javascript.jscomp.AstValidator#void#validateVarOrAssignmentTarget#?,Node#438	0.01754385964912286	0.0	0.01754385964912286		_
com.google.javascript.jscomp.AstValidator#void#validateFor#?,Node#411	0.015625	0.0	0.015625		_
com.google.javascript.jscomp.MinimizeExitPoints#?#MinimizeExitPoints#?,AbstractCompiler#39	0.01342281879194629	0.0	0.01342281879194629		_
com.google.javascript.jscomp.AstValidator#void#validateCatch#?,Node#539	0.013333333333333308	0.0	0.013333333333333308		_
com.google.javascript.jscomp.AstValidator#void#validateWhile#?,Node#451	0.012987012987012991	0.0	0.012987012987012991		_
com.google.javascript.jscomp.AstValidator#void#validateLabelName#?,Node#321	0.012048192771084376	0.0	0.012048192771084376		_
com.google.javascript.jscomp.AstValidator#void#validateLabel#?,Node#314	0.012048192771084376	0.0	0.012048192771084376		_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processForInLoop#?,ForInLoop#723	0.0117647058823529	0.0	0.0117647058823529		_
com.google.javascript.rhino.Node#boolean#isLabelName#?#2315	0.011627906976744207	0.0	0.011627906976744207		_
com.google.javascript.jscomp.CodeConsumer#void#endStatement#?,boolean#139	0.009661835748792313	0.0	0.009661835748792313		_
com.google.javascript.rhino.Node#void#setWasEmptyNode#?,boolean#1982	0.00952380952380949	0.0	0.00952380952380949		_
com.google.javascript.jscomp.parsing.IRFactory#Node#transformBlock#?,AstNode#229	0.00952380952380949	0.0	0.00952380952380949		_
com.google.javascript.jscomp.AstValidator#void#validateIf#?,Node#470	0.0092592592592593	0.0	0.0092592592592593		_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processCatchClause#?,CatchClause#652	0.00917431192660545	0.0	0.00917431192660545		_
com.google.javascript.jscomp.CodeGenerator#void#addNonEmptyStatement#?,Node,Context,boolean#867	0.008000000000000007	0.0	0.008000000000000007		_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processWhileLoop#?,WhileLoop#1225	0.008000000000000007	0.0	0.008000000000000007		_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processLabel#?,Label#869	0.006329113924050667	0.0	0.006329113924050667		_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processLabeledStatement#?,LabeledStatement#894	0.006329113924050667	0.0	0.006329113924050667		_
com.google.javascript.jscomp.CodeGenerator#Context#getContextForNonEmptyExpression#?,Context#1238	0.006211180124223614	0.0	0.006211180124223614		_
com.google.javascript.jscomp.AstValidator#void#validateMinimumChildCount#?,Node,int#798	0.0060975609756097615	0.0	0.0060975609756097615		_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processIfStatement#?,IfStatement#845	0.005494505494505475	0.0	0.005494505494505475		_
com.google.javascript.jscomp.NodeUtil#void#removeChild#?,Node,Node#1825	0.004819277108433773	0.0	0.004819277108433773		_
com.google.javascript.jscomp.NodeUtil#boolean#isTryCatchNodeContainer#?,Node#1793	0.004773269689737458	0.0	0.004773269689737458		_
com.google.javascript.jscomp.parsing.IRFactory#int#transformTokenType#?,int#1355	0.004608294930875556	0.0	0.004608294930875556		_
com.google.javascript.jscomp.NodeUtil#boolean#isTryFinallyNode#?,Node,Node#1786	0.004545454545454519	0.0	0.004545454545454519		_
com.google.javascript.rhino.Node#void#setType#?,int#528	0.002042900919305368	0.002042900919305368	0.004085801838610736	this.type == type	_
com.google.javascript.rhino.Node#?#Node#?,int,Node,Node,Node#413	0.002012072434607659	0.002012072434607659	0.004024144869215318	sourcePosition < nodeType	_
com.google.javascript.jscomp.AstValidator#void#validateMaximumChildCount#?,Node,int#813	0.003816793893129722	0.0	0.003816793893129722		_
com.google.javascript.rhino.Node#boolean#isIf#?#2295	0.0033388981636059967	0.0	0.0033388981636059967		_
com.google.javascript.jscomp.CodeGenerator#boolean#isOneExactlyFunctionOrDo#?,Node#906	0.0031055900621117516	0.0	0.0031055900621117516		_
com.google.javascript.jscomp.CodeGenerator#Node#getFirstNonEmptyChild#?,Node#1210	0.003076923076923088	0.0	0.003076923076923088		_
com.google.javascript.jscomp.CodeGenerator#int#getNonEmptyChildCount#?,Node,int#1197	0.0026109660574412663	0.0	0.0026109660574412663		_
com.google.javascript.jscomp.AstValidator#void#validateReturn#?,Node#483	0.0026075619295958807	0.0	0.0026075619295958807		_
com.google.javascript.jscomp.CodeConsumer#boolean#shouldPreserveExtraBlocks#?#300	0.002375296912114022	0.0	0.002375296912114022		_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processScope#?,Scope#1044	0.002270147559591429	0.0	0.002270147559591429		_
com.google.javascript.jscomp.parsing.IRFactory#Node#newNode#?,int,Node,Node,Node#1482	0.00222717149220486	0.0	0.00222717149220486		_
com.google.javascript.rhino.Node#boolean#isDo#?#2255	0.0015037593984962294	0.0	0.0015037593984962294		_
com.google.javascript.rhino.Node#void#removeChild#?,Node#697	0.0013037809647978849	0.0	0.0013037809647978849		_
com.google.javascript.jscomp.CodeConsumer#void#endFunction#?,boolean#169	0.0012650221378873727	0.0	0.0012650221378873727		_
