line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.lang.time.DurationFormatUtils#String#formatPeriod#?,long,long,String,boolean,TimeZone#353	Infinity	Infinity	Infinity	minutes < seconds	GT
org.apache.commons.lang.time.DurationFormatUtils#int#reduceAndCorrect#?,Calendar,Calendar,int,int#437	Infinity	0.0	Infinity		GT
org.apache.commons.lang.time.DurationFormatUtils#String#formatPeriod#?,long,long,String#247	1.0	0.0	1.0		_
org.apache.commons.lang.time.DurationFormatUtils#String#format#?,Token[],int,int,int,int,int,int,int,boolean#395	0.25	0.0	0.25		_
org.apache.commons.lang.time.DurationFormatUtils#Token[]#lexx#?,String#487	0.2	0.0	0.2		_
org.apache.commons.lang.time.DurationFormatUtils$Token#boolean#containsTokenWithValue#?,Token[],Object#534	0.14285714285714285	0.0	0.14285714285714285		_
org.apache.commons.lang.time.DurationFormatUtils$Token#void#increment#?#566	0.125	0.0	0.125		_
org.apache.commons.lang.time.DurationFormatUtils$Token#int#getCount#?#575	0.1111111111111111	0.0	0.1111111111111111		_
org.apache.commons.lang.StringUtils#String#leftPad#?,String,int,char#3870	0.1111111111111111	0.0	0.1111111111111111		_
org.apache.commons.lang.time.DurationFormatUtils$Token#?#Token#?,Object#547	0.1	0.0	0.1		_
org.apache.commons.lang.time.DurationFormatUtils$Token#Object#getValue#?#584	0.1	0.0	0.1		_
