id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula
1	2.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	12.0	1.0	11.0	1.0	2.0	1.0	1.0	1.0
2	4.0	17.0	6.0	6.0	4.0	17.0	6.0	6.0	4.0	17.0	6.0	6.0	4.0	17.0	6.0	9.0	4.0	17.0	6.0	9.0
3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4	2.0	33.0	2.0	2.0	2.0	33.0	2.0	3.0	2.0	33.0	2.0	5.0	13.0	33.0	13.0	23.0	2.0	33.0	2.0	13.0
5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
7	1.0	84.0	5.0	12.0	1.0	84.0	5.0	11.0	1.0	84.0	5.0	15.0	1.0	84.0	5.0	38.0	1.0	84.0	5.0	38.0
8	2.0	12.0	2.0	2.0	2.0	12.0	2.0	2.0	2.0	12.0	2.0	4.0	2.0	12.0	2.0	7.0	2.0	12.0	2.0	7.0
9	1.0	10.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	10.0	1.0	4.0	1.0	10.0	1.0	4.0
10	2.0	21.0	5.0	5.0	2.0	21.0	5.0	5.0	2.0	21.0	5.0	6.0	2.0	21.0	5.0	11.0	2.0	21.0	5.0	11.0
11	2.0	57.0	3.0	4.0	2.0	57.0	3.0	3.0	2.0	57.0	3.0	6.0	2.0	57.0	3.0	13.0	2.0	57.0	3.0	13.0
13	24.0	35.0	24.0	24.0	24.0	35.0	24.0	24.0	24.0	35.0	24.0	24.0	24.0	35.0	24.0	26.0	24.0	35.0	24.0	26.0
14	20.0	24.0	20.0	21.0	20.0	24.0	20.0	21.0	20.0	24.0	20.0	22.0	20.0	24.0	20.0	23.0	20.0	24.0	20.0	23.0
15	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0
16	1.0	6.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	6.0	1.0	2.0	1.0	6.0	1.0	2.0
17	14.0	17.0	14.0	16.0	14.0	17.0	14.0	16.0	14.0	17.0	14.0	16.0	14.0	17.0	14.0	16.0	14.0	17.0	14.0	16.0
18	8.0	98.0	10.0	10.0	8.0	98.0	10.0	10.0	8.0	98.0	10.0	11.0	8.0	98.0	10.0	30.0	8.0	98.0	10.0	30.0
19	9.0	48.0	11.0	11.0	9.0	48.0	11.0	11.0	9.0	48.0	11.0	14.0	9.0	48.0	11.0	16.0	9.0	48.0	11.0	16.0
20	31.0	98.0	33.0	37.0	31.0	98.0	33.0	37.0	31.0	98.0	33.0	38.0	31.0	98.0	33.0	47.0	31.0	98.0	33.0	47.0
21	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
25	1.0	12.0	2.0	2.0	1.0	12.0	2.0	2.0	1.0	12.0	2.0	2.0	1.0	12.0	2.0	7.0	1.0	12.0	2.0	7.0
26	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
27	1.0	5.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	1.0	3.0	1.0	5.0	1.0	3.0
28	2.0	54.0	3.0	3.0	2.0	54.0	3.0	3.0	2.0	54.0	3.0	3.0	2.0	54.0	3.0	11.0	2.0	54.0	3.0	11.0
30	3.0	14.0	3.0	3.0	3.0	14.0	3.0	3.0	3.0	14.0	3.0	4.0	3.0	14.0	3.0	7.0	3.0	14.0	3.0	7.0
31	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0
32	3.0	123.0	3.0	3.0	3.0	123.0	3.0	3.0	3.0	123.0	3.0	4.0	3.0	123.0	3.0	24.0	3.0	123.0	3.0	24.0
33	3.0	53.0	3.0	3.0	3.0	53.0	3.0	3.0	3.0	53.0	3.0	3.0	3.0	53.0	3.0	12.0	3.0	53.0	3.0	12.0
34	2.0	6.0	2.0	2.0	2.0	6.0	2.0	2.0	2.0	6.0	2.0	2.0	2.0	6.0	2.0	3.0	2.0	6.0	2.0	3.0
35	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
36	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	1.0	3.0	1.0	1.0
37	2.0	16.0	2.0	2.0	4.0	16.0	4.0	4.0	4.0	16.0	4.0	5.0	16.0	16.0	16.0	16.0	2.0	16.0	2.0	12.0
38	2.0	1.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0
39	11.0	2.0	3.0	3.0	11.0	2.0	3.0	3.0	11.0	2.0	3.0	2.0	11.0	2.0	3.0	1.0	11.0	2.0	3.0	1.0
40	7.0	1.0	3.0	3.0	7.0	1.0	3.0	3.0	7.0	1.0	3.0	2.0	7.0	1.0	3.0	2.0	7.0	1.0	3.0	2.0
42	5.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0
43	9.0	33.0	9.0	14.0	5.0	33.0	5.0	10.0	6.0	33.0	6.0	15.0	3.0	33.0	3.0	12.0	9.0	33.0	9.0	19.0
44	5.0	77.0	10.0	18.0	5.0	77.0	10.0	17.0	5.0	77.0	10.0	19.0	5.0	77.0	10.0	34.0	5.0	77.0	10.0	34.0
45	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
46	2.0	17.0	2.0	2.0	1.0	17.0	1.0	1.0	2.0	17.0	2.0	2.0	1.0	17.0	1.0	2.0	2.0	17.0	2.0	3.0
47	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0
48	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0
49	2.0	27.0	2.0	2.0	2.0	27.0	2.0	2.0	2.0	27.0	2.0	3.0	2.0	27.0	2.0	8.0	2.0	27.0	2.0	8.0
50	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
51	10.0	1.0	9.0	3.0	10.0	1.0	9.0	3.0	10.0	1.0	9.0	2.0	10.0	1.0	9.0	1.0	10.0	1.0	9.0	1.0
52	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0
53	1.0	5.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	1.0	2.0	1.0	5.0	1.0	2.0	1.0	5.0	1.0	2.0
