line	original_score	max_predicate_score	total	predicate	label
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#162	0.5	0.0	0.5		_
org.joda.time.tz.CachedDateTimeZone#Info#createInfo#?,long#170	0.154713186938819	0.2886751345948129	0.44338832153363195	periodStart == millis	_
org.joda.time.DateTime#DateTime#withMillisOfSecond#?,int#1694	0.43301270189221935	0.0	0.43301270189221935		_
org.joda.time.DateTime#DateTime#toDateTime#?,Chronology#518	0.4082482904638631	0.0	0.4082482904638631		_
org.joda.time.DateTime#DateTime#withMinuteOfHour#?,int#1662	0.4082482904638631	0.0	0.4082482904638631		_
org.joda.time.DateTime#DateTime#withHourOfDay#?,int#1646	0.4008918628686366	0.0	0.4008918628686366		_
org.joda.time.DateTimeZone#DateTimeZone#forOffsetHoursMinutes#?,int,int#266	0.11180339887498948	0.25	0.36180339887498947	minutesOffset > hoursInMinutes	_
org.joda.time.DateTimeZone#boolean#isStandardOffset#?,long#843	0.35355339059327373	0.0	0.35355339059327373		_
org.joda.time.format.DateTimeParserBucket#void#setOffset#?,int#182	0.17418325357290443	0.17418325357290443	0.34836650714580886	iOffset <= offset	_
org.joda.time.tz.CachedDateTimeZone$Info#int#getStandardOffset#?,long#220	0.31622776601683794	0.0	0.31622776601683794		_
org.joda.time.base.AbstractInstant#DateTime#toDateTime#?,Chronology#177	0.31622776601683794	0.0	0.31622776601683794		_
org.joda.time.DateTime#?#DateTime#?,Object,DateTimeZone#219	0.2727723627949905	0.0	0.2727723627949905		_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#int#getStandardOffset#?,long#1552	0.2672612419124244	0.0	0.2672612419124244		_
org.joda.time.tz.CachedDateTimeZone#int#getStandardOffset#?,long#115	0.2672612419124244	0.0	0.2672612419124244		_
org.joda.time.format.DateTimeFormatterBuilder$MatchingParser#int#parseInto#?,DateTimeParserBucket,String,int#2687	0.26352313834736496	0.0	0.26352313834736496		_
org.joda.time.format.DateTimeParserBucket#long#computeMillis#?,boolean,String#335	0.26064301757134345	0.0	0.26064301757134345		_
org.joda.time.DateTime#DateTime#withSecondOfMinute#?,int#1678	0.25	0.0	0.25		_
org.joda.time.base.BaseDateTime#?#BaseDateTime#?,Object,DateTimeZone#149	0.24514516892273006	0.0	0.24514516892273006		_
org.joda.time.format.DateTimeFormatterBuilder$Fraction#int#parseInto#?,DateTimeParserBucket,String,int#2011	0.24514516892273006	0.0	0.24514516892273006		_
org.joda.time.tz.CachedDateTimeZone$Info#int#getOffset#?,long#210	0.24152294576982397	0.0	0.24152294576982397		_
org.joda.time.chrono.ZonedChronology$ZonedDateTimeField#long#set#?,long,int#474	0.2215395102486845	0.0	0.2215395102486845		_
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset#int#parseInto#?,DateTimeParserBucket,String,int#2271	0.2175970699446223	0.0	0.2175970699446223		_
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset#int#digitCount#?,String,int,int#2388	0.2175970699446223	0.0	0.2175970699446223		_
org.joda.time.format.FormatUtils#int#parseTwoDigits#?,String,int#353	0.2175970699446223	0.0	0.2175970699446223		_
org.joda.time.format.DateTimeParserBucket#void#saveField#?,SavedField#263	0.16629752630943484	0.10545613515239946	0.21091227030479892	iSavedFieldsCount != savedFieldsCount	_
org.joda.time.convert.AbstractConverter#Chronology#getChronology#?,Object,DateTimeZone#67	0.206901472150592	0.0	0.206901472150592		_
org.joda.time.DateTimeZone#String#printOffset#?,int#645	0.04902903378454601	0.15811388300841897	0.20622640544088777	offset > minutes	_
