line	original_score	max_predicate_score	total	predicate	label
org.joda.time.base.BaseDateTime#void#setMillis#?,long#317	4.964055528011899	4.964055528011899	9.928111056023798	iMillis >= instant	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#add#?,long,int#116	4.821764997521071	4.82796232027764	9.64972731779871	monthToUse > thisMonth	_
org.joda.time.chrono.BasicChronology#int#getDayOfWeek#?,long#543	4.8088745661874075	4.8088745661874075	9.617749132374815	daysSince19700101 != instant	_
org.joda.time.base.BaseDateTime#?#BaseDateTime#?,int,int,int,int,int,int,int,Chronology#256	4.765741199801686	4.765741199801686	9.531482399603371	iMillis == instant	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long,int,int#477	4.649479424888448	4.679474467030243	9.32895389191869	dateMillis < millis	_
org.joda.time.MutableDateTime#void#addHours#?,int#785	4.997768963807635	0.0	4.997768963807635		GT
org.joda.time.DateTimeZone#int#getOffsetFromLocal#?,long#931	4.993058998512643	0.0	4.993058998512643		_
org.joda.time.MutableDateTime#?#MutableDateTime#?,int,int,int,int,int,int,int,DateTimeZone#351	4.98562221120476	0.0	4.98562221120476		_
org.joda.time.MutableDateTime#String#toString#?#1229	4.975706494794249	0.0	4.975706494794249		_
org.joda.time.tz.CachedDateTimeZone$Info#int#getOffset#?,long#202	4.965790778383738	0.0	4.965790778383738		_
org.joda.time.MutableDateTime#void#setMillis#?,long#456	4.965542885473475	0.0	4.965542885473475		_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#int#getOffsetFromLocalToSubtract#?,long#357	4.962568170550322	0.0	4.962568170550322		_
org.joda.time.DateTimeZone#DateTimeZone#forID#?,String#213	4.9618244918195336	0.0	4.9618244918195336		_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#144	4.958849776896381	0.0	4.958849776896381		_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#long#add#?,long,int#315	4.94174516608825	0.0	4.94174516608825		_
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset#void#printTo#?,StringBuffer,long,Chronology,int,DateTimeZone,Locale#2158	4.939762022806148	0.0	4.939762022806148		_
org.joda.time.format.DateTimeFormatterBuilder$Fraction#void#printTo#?,StringBuffer,Writer,long,Chronology#1963	4.9360436291522065	0.0	4.9360436291522065		_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#int#getOffsetToAdd#?,long#344	4.929102627664848	0.0	4.929102627664848		_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#dateTime#?#725	4.916955875061973	0.0	4.916955875061973		_
org.joda.time.base.BaseDateTime#?#BaseDateTime#?,int,int,int,int,int,int,int,DateTimeZone#223	4.915716410510659	0.0	4.915716410510659		_
org.joda.time.format.DateTimeFormatterBuilder$Fraction#void#printTo#?,StringBuffer,long,Chronology,int,DateTimeZone,Locale#1913	4.912493802677243	0.0	4.912493802677243		_
org.joda.time.field.PreciseDurationDateTimeField#long#remainder#?,long#128	4.90505701536936	0.0	4.90505701536936		_
org.joda.time.format.DateTimeFormatterBuilder$Composite#void#printTo#?,StringBuffer,long,Chronology,int,DateTimeZone,Locale#2667	4.896132870599901	0.0	4.896132870599901		_
org.joda.time.DateTimeFieldType$StandardDateTimeFieldType#DateTimeField#getField#?,Chronology#522	4.892166584035697	0.0	4.892166584035697		_
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral#void#printTo#?,StringBuffer,long,Chronology,int,DateTimeZone,Locale#1218	4.892166584035697	0.0	4.892166584035697		_
org.joda.time.format.FormatUtils#void#appendPaddedInteger#?,StringBuffer,int,int#75	4.891918691125434	0.0	4.891918691125434		_
org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber#void#printTo#?,StringBuffer,long,Chronology,int,DateTimeZone,Locale#1476	4.891175012394646	0.0	4.891175012394646		_
org.joda.time.format.DateTimeFormatter#String#print#?,ReadableInstant#592	4.890431333663857	0.0	4.890431333663857		_
org.joda.time.format.DateTimeFormatter#void#printTo#?,StringBuffer,ReadableInstant#470	4.890183440753594	0.0	4.890183440753594		_
org.joda.time.format.DateTimeFormatter#void#printTo#?,StringBuffer,long,Chronology#628	4.888448190381755	0.0	4.888448190381755		_
org.joda.time.format.DateTimeFormatterBuilder$Composite#int#estimatePrintedLength#?#2654	4.869112543381259	0.0	4.869112543381259		_
org.joda.time.format.DateTimeFormatter#DateTimePrinter#requirePrinter#?#671	4.859444719881012	0.0	4.859444719881012		_
org.joda.time.DateTimeUtils#Chronology#getInstantChronology#?,ReadableInstant#203	4.854734754586019	0.0	4.854734754586019		_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#previous#?,long,int,int#596	4.8512642538423405	0.0	4.8512642538423405		_
org.joda.time.tz.DateTimeZoneBuilder$DSTZone#long#previousTransition#?,long#1282	4.850520575111552	0.0	4.850520575111552		_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#long#previous#?,long,int,int#768	4.850520575111552	0.0	4.850520575111552		_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#long#previousTransition#?,long#1611	4.850520575111552	0.0	4.850520575111552		_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfMonthPrevious#?,Chronology,long#702	4.850520575111552	0.0	4.850520575111552		_
org.joda.time.DateTimeUtils#long#getInstantMillis#?,ReadableInstant#181	4.841844323252355	0.0	4.841844323252355		_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfWeek#?,Chronology,long#726	4.838621715418939	0.0	4.838621715418939		_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfMonth#?,Chronology,long#711	4.838373822508676	0.0	4.838373822508676		_
org.joda.time.tz.CachedDateTimeZone#long#previousTransition#?,long#119	4.835894893406048	0.0	4.835894893406048		_
org.joda.time.chrono.AssembledChronology#DurationField#hours#?#192	4.835647000495785	0.0	4.835647000495785		_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#int#getSaveMillis#?#776	4.832920178482896	0.0	4.832920178482896		_
org.joda.time.chrono.AssembledChronology#DateTimeField#secondOfDay#?#176	4.827218641546851	0.0	4.827218641546851		_
org.joda.time.field.BaseDateTimeField#long#add#?,long,int#253	4.824987605354487	0.0	4.824987605354487		_
org.joda.time.chrono.ZonedChronology#long#localToUTC#?,long#144	4.823748140803173	0.0	4.823748140803173		_
org.joda.time.chrono.ZonedChronology#long#getDateTimeMillis#?,int,int,int,int,int,int,int#118	4.822012890431334	0.0	4.822012890431334		_
org.joda.time.format.DateTimeFormatter#Chronology#selectChronology#?,Chronology#955	4.814823996033714	0.0	4.814823996033714		_
org.joda.time.chrono.GJDayOfWeekDateTimeField#int#get#?,long#57	4.8101140307387205	0.0	4.8101140307387205		_
org.joda.time.field.MillisDurationField#long#add#?,long,int#117	4.803420922161626	0.0	4.803420922161626		_
org.joda.time.field.PreciseDurationField#long#add#?,long,int#105	4.779127416955875	0.0	4.779127416955875		_
