line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldArrayAccess#?,Node,Node,Node#1444	1.0	1.0	2.0	!(intIndex < 0)	GT
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldGetElem#?,Node,Node,Node#1363	0.7071067811865475	0.7071067811865475	0.9957819157813603	left.isArrayLit()	_
com.google.javascript.jscomp.PeepholeFoldConstants#boolean#isAssignmentTarget#?,Node#1411	0.4472135954999579	0.4472135954999579	0.855461885963821	!((NodeUtil.isAssignmentOp(parent) && parent.getFirstChild() == n) || parent.isInc() || parent.isDec())	_
com.google.javascript.jscomp.AbstractPeepholeOptimization#void#error#?,DiagnosticType,Node#52	0.5	0.0	0.5		_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#967	0.2182178902359924	0.2182178902359924	0.3386037433217616	type == Token.NUMBER	_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldBinaryOperator#?,Node#118	0.2773500981126146	0.07198157507486945	0.2773500981126146		_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldAssign#?,Node,Node,Node#461	0.11785113019775793	0.11785113019775793	0.2325589971330388	!late	_
com.google.javascript.jscomp.AstValidator#void#validateOptionalExpression#?,Node#588	0.10101525445522107	0.10101525445522107	0.1766081490570665	n.isEmpty()	_
com.google.javascript.rhino.Token#String#name#?,int#213	0.1690308509457033	0.0	0.1690308509457033		_
com.google.javascript.rhino.Node$ObjectPropListItem#String#toString#?#320	0.14907119849998599	0.0	0.14907119849998599		_
com.google.javascript.jscomp.SourceFile#String#toString#?#303	0.14907119849998599	0.0	0.14907119849998599		_
com.google.javascript.rhino.Node#String#propToString#?,int#142	0.14907119849998599	0.0	0.14907119849998599		_
com.google.javascript.rhino.Node#int[]#getSortedPropTypes#?#885	0.14907119849998599	0.0	0.14907119849998599		_
com.google.javascript.rhino.Node#String#toString#?#936	0.12909944487358055	0.0	0.12909944487358055		_
com.google.javascript.jscomp.SuppressDocWarningsGuard#CheckLevel#level#?,JSError#71	0.05263157894736842	0.07372097807744857	0.12635255702481699	!(rhs.isFunction())	_
com.google.javascript.jscomp.JSError#String#toString#?#193	0.12216944435630522	0.0	0.12216944435630522		_
