line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.UnreachableCodeElimination#Node#tryRemoveUnconditionalBranching#?,Node#185	1.9993816664090276	1.9993816664090276	3.99799041582934	nextCfgNode == fallThrough	GT
com.google.javascript.jscomp.UnreachableCodeElimination#void#removeDeadExprStatementSafely#?,Node#231	1.9976812490338538	1.9976812490338538	3.9953624980677076	!(logger.isLoggable(Level.FINE))	_
com.google.javascript.jscomp.ControlFlowAnalysis#Node#computeFollowNode#?,Node,Node,ControlFlowAnalysis#710	1.9967537486473952	1.9967537486473952	3.993043747101561	!(parent.getNext() != null)	_
com.google.javascript.jscomp.ControlFlowAnalysis#void#handleCase#?,Node#462	1.996135415056423	1.996135415056423	3.9904158293399288	!(deflt != null)	_
com.google.javascript.jscomp.NodeUtil#void#redeclareVarsInsideBranch#?,Node#1793	1.9953624980677076	1.9953624980677076	3.990261245942186	vars.isEmpty()	_
com.google.javascript.jscomp.NodeUtil$VarCollector#void#visit#?,Node#2039	1.9947441644767352	1.9947441644767352	3.9894883289534704	!(n.getType() == Token.NAME)	_
com.google.javascript.jscomp.NodeUtil#void#visitPreOrder#?,Node,Visitor,Predicate<Node>#2293	1.9947441644767352	1.9947441644767352	3.9894883289534704	traverseChildrenPred.apply(node)	_
com.google.javascript.jscomp.ControlFlowAnalysis#void#handleBreak#?,Node#581	1.9948987478744782	1.9948987478744782	3.989179162157984	lastJump == node	_
com.google.javascript.jscomp.ControlFlowAnalysis#Node#getNextSiblingOfType#?,Node,int#848	1.994280414283506	1.994280414283506	3.988406245169269	c.getType() == type	_
com.google.javascript.jscomp.ControlFlowAnalysis#void#handleSwitch#?,Node#437	1.994280414283506	1.994280414283506	3.988097078373783	next != null	_
com.google.javascript.jscomp.UnreachableCodeElimination#void#visit#?,NodeTraversal,Node,Node#103	1.996289998454166	1.996289998454166	3.9876333281805536	gNode.getAnnotation() != GraphReachability.REACHABLE || (removeNoOpStatements && !NodeUtil.mayHaveSideEffects(n))	_
com.google.javascript.jscomp.ControlFlowAnalysis#boolean#matchLabel#?,Node,String#878	1.9933529138970474	1.9933529138970474	3.9862420776008656	label == null	_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#959	1.9914979131241304	1.9921162467151028	3.983614159839233	!(type == Token.NUMBER)	_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processSwitchCase#?,SwitchCase#730	1.9913433297263874	1.9913433297263874	3.9819137424640596	caseNode.getStatements() != null	_
com.google.javascript.rhino.Node#String#toString#?,boolean,boolean,boolean#915	1.9893337455557274	1.9893337455557274	3.978667491111455	Token.printTrees	_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processBreakStatement#?,BreakStatement#396	1.986860411191838	1.990570412737672	3.97743082392951	!(statementNode.getBreakLabel() != null)	_
com.google.javascript.jscomp.graph.GraphReachability#boolean#traverseEdge#?,N,E,N#75	1.9873241613850672	1.9873241613850672	3.9744937393723916	!(destNode.getAnnotation() != REACHABLE)	_
com.google.javascript.jscomp.NodeUtil#boolean#checkForStateChangeHelper#?,Node,boolean,AbstractCompiler#667	1.9748029061678776	1.9771216571340238	3.9426495594373163	!(checkForStateChangeHelper(c,checkForNewObjects,compiler))	_
com.google.javascript.jscomp.NodeUtil#void#removeChild#?,Node,Node#1405	1.9486783119492967	1.9486783119492967	3.8972020405008503	isStatementBlock(parent) || isSwitchCase(node)	_
com.google.javascript.jscomp.graph.FixedPointGraphTraversal#void#computeFixedPoint#?,DiGraph<N,E>,Set<N>#120	1.945586643994435	1.9537795640748183	3.890864121193384	!(callback.traverseEdge(sourceValue,edge.getValue(),destNode))	_
com.google.javascript.rhino.Token#String#name#?,int#270	1.9995362498067708	1.8584016076673366	3.7168032153346733	!(!printNames)	_
com.google.javascript.jscomp.ControlFlowAnalysis#void#handleStmtList#?,Node#515	1.988560828567012	1.913897047457103	3.52156438398516	node.getType() == Token.BLOCK && node.isSyntheticBlock()	_
com.google.javascript.jscomp.ControlFlowAnalysis#void#prioritizeFromEntryNode#?,DiGraphNode<Node,Branch>#203	1.8647395269748028	1.8647395269748028	3.471324779718658	nodePriorities.containsKey(current)	_
com.google.javascript.rhino.Node#void#removeChild#?,Node#682	1.8522182717576132	1.8522182717576132	3.423713093213789	prev == null	_
com.google.javascript.rhino.Node#Node#getChildBefore#?,Node#560	1.8392332663471942	1.8392332663471942	3.4026897511207297	child == first	_
com.google.javascript.jscomp.SyntacticScopeCreator#void#scanVars#?,Node,Node#162	1.681249033853764	1.6970165404235584	3.3708455711856544	!(NodeUtil.isControlStructure(n) || NodeUtil.isStatementBlock(n))	_
com.google.javascript.jscomp.SyntacticScopeCreator#void#scanRoot#?,Node,Scope#83	1.680939867058278	1.680939867058278	3.3547688978203745	!(n.getType() == Token.FUNCTION)	_
com.google.javascript.jscomp.SyntacticScopeCreator#Scope#createScope#?,Node,Scope#68	1.6767661153192148	1.6767661153192148	3.350595146081311	parent == null	_
com.google.javascript.jscomp.ControlFlowAnalysis#boolean#shouldTraverse#?,NodeTraversal,Node,Node#250	1.9822229092595456	1.6367290153037564	3.2433142680476115	!(parent != null)	_
com.google.javascript.jscomp.ControlFlowAnalysis#void#connectToPossibleExceptionHandler#?,Node,Node#814	1.60983150409646	1.6150873396197247	3.2249188437161846	!(mayThrowException(target) && !exceptionHandler.isEmpty())	_
com.google.javascript.jscomp.ControlFlowAnalysis#void#process#?,Node,Node#165	1.6065852527438553	1.6124594218580923	3.219044674601948	!(shouldTraverseFunctions)	_
com.google.javascript.jscomp.graph.Graph#void#connectIfNotFound#?,N,E,N#120	1.6064306693461123	1.6064306693461123	3.2128613386922247	!isConnected(n1,edge,n2)	_
com.google.javascript.jscomp.graph.LinkedDirectedGraph#List<DiGraphNode<N,E>>#getDirectedSuccNodes#?,DiGraphNode<N,E>#225	1.60581233575514	1.60581233575514	3.21162467151028	!(dNode == null)	_
com.google.javascript.jscomp.graph.LinkedDirectedGraph#boolean#isConnectedInDirection#?,N,Predicate<E>,N#190	1.583706909877879	1.58726232802597	3.170969237903849	!(outEdge.getDestination() == dNode2 && edgeMatcher.apply(outEdge.getValue()))	_
com.google.javascript.rhino.jstype.InstanceObjectType#boolean#defineProperty#?,String,JSType,boolean,boolean,Node#89	1.5730406554336065	1.5730406554336065	3.146081310867213	!(proto != null && proto.hasOwnDeclaredProperty(name))	_
com.google.javascript.jscomp.graph.LinkedDirectedGraph#DiGraphNode<N,E>#createDirectedGraphNode#?,N#135	1.5600556500231875	1.5792239913433297	3.1392796413665174	!(node == null)	_
com.google.javascript.jscomp.graph.Graph#T#getNodeOrFail#?,N#209	1.5583552326480137	1.5583552326480137	3.1167104652960274	!(node == null)	_
com.google.javascript.jscomp.CompilerOptions#void#addWarningsGuard#?,WarningsGuard#856	1.5540268975112073	1.5540268975112073	3.1080537950224145	warningsGuard == null	_
com.google.javascript.rhino.Node#Node#cloneTree#?#1870	1.5444427268511363	1.5444427268511363	3.0850208687586953	result.last != null	_
com.google.javascript.jscomp.Compiler#Node#parseInputs#?#1156	1.525428968928737	1.5297573040655434	3.0551862729942805	!(options.sourceMapOutputPath != null || options.nameReferenceReportPath != null)	_
com.google.javascript.rhino.jstype.JSTypeRegistry#FunctionType#createFunctionType#?,JSType,boolean,JSType#1174	1.5203277168032154	1.5203277168032154	3.0401916834132017	lastVarArgs	_
com.google.javascript.rhino.jstype.JSTypeRegistry#Node#createParameters#?,boolean,JSType#1156	1.5187818828257846	1.5187818828257846	3.0363270984696245	lastVarArgs && i == max	_
com.google.javascript.rhino.jstype.FunctionType#boolean#defineProperty#?,String,JSType,boolean,boolean,Node#432	1.517854382439326	1.517854382439326	3.033699180707992	!(objType.isEquivalentTo(prototype))	_
com.google.javascript.rhino.jstype.FunctionType#void#setPrototypeBasedOn#?,ObjectType#272	1.4963672901530376	1.4963672901530376	2.992579996908332	prototype == null	_
com.google.javascript.rhino.jstype.InstanceObjectType#String#toString#?#97	1.4626681094450456	1.4626681094450456	2.925336218890091	constructor.hasReferenceName()	_
