line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#double#integrate#?,FirstOrderDifferentialEquations,double,double[],double,double[]#294	1.0	1.0	1.026315789473684	Math.abs(dt) <= Math.ulp(stepStart)	GT
org.apache.commons.math.ode.nonstiff.RungeKuttaIntegrator#double#integrate#?,FirstOrderDifferentialEquations,double,double[],double,double[]#174	1.0	1.0	1.0232558139534884	Math.abs(dt) <= Math.ulp(stepStart)	GT
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#void#setInitialStepSize#?,double#150	0.5	0.5	1.0	!((initialStepSize < minStep) || (initialStepSize > maxStep))	_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#double#initializeStep#?,FirstOrderDifferentialEquations,boolean,int,double[],double,double[],double[],double[],double[]#209	0.5	0.5	0.5158730158730159	initialStep > 0	_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#double#filterStep#?,double,boolean,boolean#291	0.19999999999999996	0.19999999999999996	0.21754385964912282	filteredH > maxStep	_
org.apache.commons.math.ode.nonstiff.DormandPrince853Integrator#double#estimateError#?,double[][],double[],double[],double#273	0.04347826086956519	0.04347826086956519	0.08695652173913038	!(den <= 0.0)	_
org.apache.commons.math.ode.nonstiff.ClassicalRungeKuttaIntegrator#?#ClassicalRungeKuttaIntegrator#?,double#71	0.07692307692307687	0.0	0.07692307692307687		_
org.apache.commons.math.analysis.solvers.BrentSolver#double#solve#?,UnivariateRealFunction,double,double,double,double,double,double#334	0.05405405405405406	0.05405405405405406	0.07425607425607428	dx > 0.0	_
org.apache.commons.math.ode.sampling.DummyStepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#107	0.0714285714285714	0.0	0.0714285714285714		_
org.apache.commons.math.ode.sampling.DummyStepInterpolator#?#DummyStepInterpolator#?,double[],double[],boolean#73	0.06451612903225812	0.0	0.06451612903225812		_
org.apache.commons.math.ode.AbstractIntegrator#boolean#requiresDenseOutput#?#128	0.05128205128205132	0.0	0.05128205128205132		_
org.apache.commons.math.ode.events.CombinedEventsManager#boolean#isEmpty#?#109	0.05128205128205132	0.0	0.05128205128205132		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#?#AbstractStepInterpolator#?,double[],boolean#120	0.050000000000000044	0.0	0.050000000000000044		_
org.apache.commons.math.ode.events.EventState#boolean#reset#?,double,double[]#334	0.02409638554216864	0.02409638554216864	0.04819277108433728	!(nextAction == EventHandler.RESET_STATE)	_
org.apache.commons.math.ode.nonstiff.DormandPrince853Integrator#?#DormandPrince853Integrator#?,double,double,double,double#216	0.045454545454545414	0.0	0.045454545454545414		_
org.apache.commons.math.ode.events.CombinedEventsManager#boolean#evaluateStep#?,StepInterpolator#153	0.02197802197802201	0.02197802197802201	0.04395604395604402	first == null	_
org.apache.commons.math.ode.events.CombinedEventsManager#boolean#stop#?#216	0.022222222222222254	0.022222222222222254	0.04372759856630826	state.stop()	_
org.apache.commons.math.ode.events.EventState#boolean#evaluateStep#?,StepInterpolator#238	0.021739130434782594	0.021739130434782594	0.04347826086956519	!(pendingEvent && (Math.abs(t1 - pendingEventTime) <= convergence))	_
org.apache.commons.math.ode.events.EventState#void#stepAccepted#?,double,double[]#299	0.021739130434782594	0.021739130434782594	0.043015726179463476	pendingEvent	_
org.apache.commons.math.ode.events.CombinedEventsManager#boolean#reset#?,double,double[]#237	0.021505376344086002	0.021505376344086002	0.043010752688172005	!(state.reset(t,y))	_
org.apache.commons.math.ode.nonstiff.DormandPrince853Integrator#int#getOrder#?#241	0.040000000000000036	0.0	0.040000000000000036		_
org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolator#?#DormandPrince853StepInterpolator#?#234	0.040000000000000036	0.0	0.040000000000000036		_
org.apache.commons.math.ode.AbstractIntegrator#void#computeDerivatives#?,double,double[],double[]#179	0.01869158878504673	0.01869158878504673	0.03738317757009346	!(++evaluations > maxEvaluations)	_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#double[]#getInterpolatedState#?#272	0.01869158878504673	0.01869158878504673	0.03738317757009346	dirtyState	_
org.apache.commons.math.ode.AbstractIntegrator#void#sanityChecks#?,FirstOrderDifferentialEquations,double,double[],double,double[]#212	0.018018018018018056	0.01851851851851849	0.036536536536536546	!(Math.abs(t - t0) <= 1.0e-12 * Math.max(Math.abs(t0),Math.abs(t)))	_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#void#sanityChecks#?,FirstOrderDifferentialEquations,double,double[],double,double[]#180	0.01538461538461533	0.015625	0.03100961538461533	!((vecRelativeTolerance != null) && (vecRelativeTolerance.length != y0.length))	_
org.apache.commons.math.analysis.solvers.BrentSolver#double#solve#?,UnivariateRealFunction,double,double#222	0.015503875968992276	0.015503875968992276	0.030888491353607606	sign < 0	_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#void#verifyInterval#?,double,double#208	0.012987012987012991	0.012987012987012991	0.025974025974025983	!(lower >= upper)	_
org.apache.commons.math.ode.AbstractIntegrator$EndTimeChecker#int#eventOccurred#?,double,double[],boolean#262	0.02352941176470591	0.0	0.02352941176470591		_
org.apache.commons.math.ode.events.CombinedEventsManager#double#getEventTime#?#187	0.02197802197802201	0.0	0.02197802197802201		_
org.apache.commons.math.ode.AbstractIntegrator$EndTimeChecker#double#g#?,double,double[]#267	0.02197802197802201	0.0	0.02197802197802201		_
org.apache.commons.math.ode.events.EventState#double#getEventTime#?#282	0.021739130434782594	0.0	0.021739130434782594		_
org.apache.commons.math.ode.events.CombinedEventsManager#void#stepAccepted#?,double,double[]#203	0.021505376344086002	0.0	0.021505376344086002		_
org.apache.commons.math.ode.events.EventState#boolean#stop#?#315	0.021505376344086002	0.0	0.021505376344086002		_
org.apache.commons.math.ode.events.EventState#void#reinitializeBegin#?,double,double[]#151	0.021276595744680882	0.0	0.021276595744680882		_
org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#?#EmbeddedRungeKuttaIntegrator#?,String,boolean,double[],double[][],double[],RungeKuttaStepInterpolator,double,double,double,double#118	0.021276595744680882	0.0	0.021276595744680882		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#boolean#isForward#?#251	0.02083333333333337	0.0	0.02083333333333337		_
org.apache.commons.math.ode.AbstractIntegrator$EndTimeChecker#?#EndTimeChecker#?,double#257	0.020618556701030966	0.0	0.020618556701030966		_
org.apache.commons.math.ode.AbstractIntegrator#CombinedEventsManager#addEndTimeChecker#?,double,double,CombinedEventsManager#233	0.020618556701030966	0.0	0.020618556701030966		_
org.apache.commons.math.ode.events.CombinedEventsManager#Collection<EventState>#getEventsStates#?#102	0.020618556701030966	0.0	0.020618556701030966		_
org.apache.commons.math.ode.events.CombinedEventsManager#void#addEventHandler#?,EventHandler,double,double,int#71	0.02020202020202022	0.0	0.02020202020202022		_
org.apache.commons.math.ode.events.EventState#?#EventState#?,EventHandler,double,double,int#106	0.020000000000000018	0.0	0.020000000000000018		_
org.apache.commons.math.ode.nonstiff.RungeKuttaIntegrator#?#RungeKuttaIntegrator#?,String,double[],double[][],double[],RungeKuttaStepInterpolator,double#90	0.019607843137254943	0.0	0.019607843137254943		_
org.apache.commons.math.ConvergingAlgorithmImpl#void#setMaximalIterationCount#?,int#93	0.019607843137254943	0.0	0.019607843137254943		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#double#getPreviousTime#?#230	0.019607843137254943	0.0	0.019607843137254943		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#double#getCurrentTime#?#235	0.01941747572815533	0.0	0.01941747572815533		_
org.apache.commons.math.ode.nonstiff.RungeKuttaStepInterpolator#?#RungeKuttaStepInterpolator#?#58	0.01904761904761909	0.0	0.01904761904761909		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#?#AbstractStepInterpolator#?#90	0.01869158878504673	0.0	0.01869158878504673		_
org.apache.commons.math.ode.AbstractIntegrator#void#setEquations#?,FirstOrderDifferentialEquations#167	0.01869158878504673	0.0	0.01869158878504673		_
org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#void#setSafety#?,double#187	0.01851851851851849	0.0	0.01851851851851849		_
org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#void#setMaxGrowth#?,double#393	0.01851851851851849	0.0	0.01851851851851849		_
org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#void#setMinReduction#?,double#379	0.01851851851851849	0.0	0.01851851851851849		_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#?#AdaptiveStepsizeIntegrator#?,String,double,double,double,double#97	0.017241379310344862	0.0	0.017241379310344862		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#shift#?#211	0.017241379310344862	0.0	0.017241379310344862		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#storeTime#?,double#219	0.017241379310344862	0.0	0.017241379310344862		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#setInterpolatedTime#?,double#245	0.017241379310344862	0.0	0.017241379310344862		_
org.apache.commons.math.ode.AbstractIntegrator#void#setMaxEvaluations#?,int#143	0.017094017094017144	0.0	0.017094017094017144		_
org.apache.commons.math.ode.AbstractIntegrator#?#AbstractIntegrator#?,String#70	0.017094017094017144	0.0	0.017094017094017144		_
org.apache.commons.math.ConvergingAlgorithmImpl#void#setAbsoluteAccuracy#?,double#78	0.016949152542372836	0.0	0.016949152542372836		_
org.apache.commons.math.ode.events.CombinedEventsManager#?#CombinedEventsManager#?#55	0.016528925619834656	0.0	0.016528925619834656		_
org.apache.commons.math.ode.AbstractIntegrator#void#resetEvaluations#?#159	0.016528925619834656	0.0	0.016528925619834656		_
org.apache.commons.math.analysis.solvers.BrentSolver#?#BrentSolver#?#72	0.015151515151515138	0.0	0.015151515151515138		_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#void#clearResult#?#166	0.01449275362318836	0.0	0.01449275362318836		_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#void#resetInternalState#?#315	0.014285714285714235	0.0	0.014285714285714235		_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#void#setResult#?,double,int#142	0.013333333333333308	0.0	0.013333333333333308		_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#?#UnivariateRealSolverImpl#?,int,double#93	0.012269938650306789	0.0	0.012269938650306789		_
org.apache.commons.math.ConvergingAlgorithmImpl#?#ConvergingAlgorithmImpl#?,int,double#62	0.010638297872340385	0.0	0.010638297872340385		_
