line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#994	0.2886751345948129	0.2886751345948129	0.2886751345948129	jsTypeString != null	_
com.google.javascript.rhino.Node#String#checkTreeEquals#?,Node#1330	0.4082482904638631	0.4082482904638631	0.24494897427831783		_
com.google.javascript.jscomp.ControlFlowAnalysis#Node#computeFollowNode#?,Node,Node#734	0.26490647141300877	0.26490647141300877	0.23915279999621591	!(NodeUtil.hasFinally(parent))	_
com.google.javascript.jscomp.ControlFlowAnalysis#void#handleReturn#?,Node#628	0.20412414523193154	0.2886751345948129	0.2379445409770841	!(NodeUtil.hasFinally(curHandler))	_
com.google.javascript.jscomp.DisambiguateProperties$JSTypeSystem#JSType#getInstanceFromPrototype#?,JSType#773	0.2182178902359924	0.2182178902359924	0.2182178902359924	owner.isConstructor() || owner.isInterface()	_
com.google.javascript.jscomp.DisambiguateProperties$FindExternProperties#void#visit#?,NodeTraversal,Node,Node#368	0.20412414523193154	0.20412414523193154	0.18609625166619131	(type=typeSystem.getInstanceFromPrototype(type)) != null	_
com.google.javascript.jscomp.ControlFlowAnalysis#boolean#shouldTraverse#?,NodeTraversal,Node,Node#281	0.1849000654084097	0.1849000654084097	0.1849000654084097	n == parent.getFirstChild().getNext()	_
com.google.javascript.jscomp.DisambiguateProperties$JSTypeSystem#ImmutableSet<JSType>#getTypesToSkipForType#?,JSType#682	0.18257418583505536	0.18257418583505536	0.18257418583505536	!(type instanceof UnionType)	_
com.google.javascript.jscomp.DisambiguateProperties$JSTypeSystem#Set<JSType>#getTypesToSkipForTypeNonUnion#?,JSType#699	0.18257418583505536	0.18257418583505536	0.18257418583505536	objSkipType != null	_
com.google.javascript.jscomp.CheckUnreachableCode#boolean#shouldTraverse#?,NodeTraversal,Node,Node#62	0.19245008972987526	0.19245008972987526	0.1814266294653688	n.getLineno() != -1 && n.getType() != Token.EMPTY && n.getType() != Token.BREAK	_
com.google.javascript.jscomp.CreateSyntheticBlocks$Callback#void#visit#?,NodeTraversal,Node,Node#97	0.17407765595569785	0.17407765595569785	0.17407765595569785	n.getType() != Token.NAME || parent.getType() != Token.CALL	_
com.google.javascript.rhino.Node#String#propToString#?,int#213	0.2886751345948129	0.0	0.17320508075688776		_
com.google.javascript.rhino.JSDocInfo#String#toString#?#967	0.2886751345948129	0.0	0.17320508075688776		_
com.google.javascript.jscomp.graph.StandardUnionFind#E#union#?,E,E#94	0.13608276348795434	0.20412414523193154	0.16329931618554522	!(nodeA.rank == nodeB.rank)	_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processCatchClause#?,CatchClause#413	0.1421338109037403	0.1421338109037403	0.14149499826452794	!(clauseNode.getCatchCondition() != null)	_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processTryStatement#?,TryStatement#752	0.14106912317171966	0.15861031714362883	0.14106912317171966	lineSet == false	_
com.google.javascript.jscomp.ControlFlowAnalysis#void#handleCatch#?,Node#545	0.21442250696755896	0.0	0.12865350418053537		_
com.google.javascript.jscomp.ControlFlowAnalysis#void#visit#?,NodeTraversal,Node,Node#331	0.21442250696755896	0.0	0.12865350418053537		_
com.google.javascript.rhino.ScriptOrFnNode#int#getEndLineno#?#77	0.1259881576697424	0.1259881576697424	0.1259881576697424	(endLineno)<= 0	_
com.google.javascript.rhino.ScriptOrFnNode#int#getEncodedSourceEnd#?#62	0.1259881576697424	0.1259881576697424	0.1259881576697424	(encodedSourceEnd)== 0	_
