line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.lang.time.DurationFormatUtils#String#formatPeriod#?,long,long,String,boolean,TimeZone#312	1.0	1.0	1.0	months != seconds	GT
org.apache.commons.lang.time.DurationFormatUtils#int#reduceAndCorrect#?,Calendar,Calendar,int,int#439	1.0	1.0	1.0	(newdiff)>= 0	GT
org.apache.commons.lang.time.DurationFormatUtils#String#formatPeriod#?,long,long,String#247	0.5	0.0	0.3		_
org.apache.commons.lang.time.DurationFormatUtils#String#format#?,Token[],int,int,int,int,int,int,int,boolean#394	0.19999999999999996	0.19999999999999996	0.13999999999999996	value == M	_
org.apache.commons.lang.time.DurationFormatUtils$Token#boolean#containsTokenWithValue#?,Token[],Object#529	0.125	0.125	0.10999999999999999	!(i < sz)	_
org.apache.commons.lang.time.DurationFormatUtils#Token[]#lexx#?,String#487	0.16666666666666663	0.11111111111111116	0.09999999999999998		_
org.apache.commons.lang.time.DurationFormatUtils$Token#int#getCount#?#575	0.09999999999999998	0.09999999999999998	0.09999999999999998	(count)>= 0	_
org.apache.commons.lang.StringUtils#String#leftPad#?,String,int,char#3869	0.09999999999999998	0.09999999999999998	0.08285714285714282	pads <= 0	_
org.apache.commons.lang.time.DurationFormatUtils$Token#void#increment#?#566	0.11111111111111116	0.0	0.0666666666666667		_
org.apache.commons.lang.time.DurationFormatUtils$Token#?#Token#?,Object#547	0.09090909090909094	0.0	0.054545454545454564		_
org.apache.commons.lang.time.DurationFormatUtils$Token#Object#getValue#?#584	0.09090909090909094	0.0	0.054545454545454564		_
