line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.plot.CategoryPlot#boolean#removeDomainMarker#?,int,Marker,Layer,boolean#2158	1.0	1.0	1.0	layer == Layer.FOREGROUND	_
org.jfree.chart.plot.XYPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean#2517	1.0	1.0	1.0	!(marker == null)	_
org.jfree.chart.plot.XYPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean#2521	1.0	1.0	1.0	layer == Layer.FOREGROUND	_
org.jfree.chart.plot.CategoryPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean#2440	1.0	1.0	1.0	layer == Layer.FOREGROUND	_
org.jfree.chart.plot.XYPlot#boolean#removeDomainMarker#?,int,Marker,Layer,boolean#2285	1.0	1.0	1.0	layer == Layer.FOREGROUND	_
org.jfree.chart.plot.CategoryPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean#2436	1.0	1.0	1.0	!(marker == null)	_
org.jfree.chart.plot.CategoryPlot#boolean#removeDomainMarker#?,int,Marker,Layer,boolean#2157	1.0	0.0	0.5		_
org.jfree.chart.plot.CategoryPlot#boolean#removeDomainMarker#?,int,Marker,Layer,boolean#2159	1.0	0.0	0.5		_
org.jfree.chart.plot.XYPlot#boolean#removeRangeMarker#?,Marker#2465	1.0	0.0	0.5		_
org.jfree.chart.plot.CategoryPlot#boolean#removeDomainMarker#?,Marker#2106	1.0	0.0	0.5		_
org.jfree.chart.plot.XYPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean#2522	1.0	0.0	0.5		_
org.jfree.chart.plot.XYPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean#2520	1.0	0.0	0.5		_
org.jfree.chart.plot.XYPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean#2529	1.0	0.0	0.5		GT
org.jfree.chart.plot.CategoryPlot#boolean#removeDomainMarker#?,int,Marker,Layer,boolean#2166	1.0	0.0	0.5		GT
org.jfree.chart.plot.XYPlot#boolean#removeDomainMarker#?,int,Marker,Layer#2265	1.0	0.0	0.5		_
org.jfree.chart.plot.CategoryPlot#boolean#removeRangeMarker#?,Marker#2378	1.0	0.0	0.5		_
org.jfree.chart.plot.XYPlot#boolean#removeDomainMarker#?,Marker,Layer#2248	1.0	0.0	0.5		_
org.jfree.chart.plot.CategoryPlot#boolean#removeDomainMarker#?,Marker,Layer#2122	1.0	0.0	0.5		_
org.jfree.chart.plot.XYPlot#boolean#removeDomainMarker#?,Marker#2232	1.0	0.0	0.5		_
org.jfree.chart.plot.CategoryPlot#boolean#removeRangeMarker#?,int,Marker,Layer#2415	1.0	0.0	0.5		_
org.jfree.chart.plot.XYPlot#boolean#removeRangeMarker#?,int,Marker,Layer#2498	1.0	0.0	0.5		_
org.jfree.chart.plot.CategoryPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean#2441	1.0	0.0	0.5		_
org.jfree.chart.plot.CategoryPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean#2448	1.0	0.0	0.5		GT
org.jfree.chart.plot.CategoryPlot#boolean#removeDomainMarker#?,int,Marker,Layer#2139	1.0	0.0	0.5		_
org.jfree.chart.plot.XYPlot#boolean#removeDomainMarker#?,int,Marker,Layer,boolean#2284	1.0	0.0	0.5		_
org.jfree.chart.plot.XYPlot#boolean#removeDomainMarker#?,int,Marker,Layer,boolean#2286	1.0	0.0	0.5		_
org.jfree.chart.plot.XYPlot#boolean#removeRangeMarker#?,Marker,Layer#2481	1.0	0.0	0.5		_
org.jfree.chart.plot.XYPlot#boolean#removeDomainMarker#?,int,Marker,Layer,boolean#2293	1.0	0.0	0.5		GT
org.jfree.chart.plot.CategoryPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean#2439	1.0	0.0	0.5		_
org.jfree.chart.plot.CategoryPlot#boolean#removeRangeMarker#?,Marker,Layer#2396	1.0	0.0	0.5		_
org.jfree.chart.plot.CategoryPlot#ValueAxis#getRangeAxis#?,int#900	0.11111111111111116	0.1333333333333333	0.12222222222222223	!(parent instanceof CategoryPlot)	_
org.jfree.chart.plot.ValueMarker#?#ValueMarker#?,double#69	0.10344827586206895	0.10344827586206895	0.10344827586206895	this.value >= value	_
org.jfree.chart.plot.CategoryPlot#?#CategoryPlot#?#430	0.18181818181818177	0.0	0.09090909090909088		_
org.jfree.chart.plot.CategoryMarker#?#CategoryMarker#?,Comparable#80	0.16666666666666663	0.0	0.08333333333333331		_
org.jfree.chart.plot.CategoryPlot#?#CategoryPlot#?,CategoryDataset,CategoryAxis,ValueAxis,CategoryItemRenderer#489	0.02941176470588236	0.1333333333333333	0.08137254901960783	!(rangeAxis != null)	_
org.jfree.chart.plot.CategoryPlot#void#datasetChanged#?,DatasetChangeEvent#1858	0.025974025974025983	0.1333333333333333	0.07965367965367964	!(yAxis != null)	_
org.jfree.chart.plot.CategoryPlot#void#configureRangeAxes#?#1147	0.022727272727272707	0.1333333333333333	0.078030303030303	!(axis != null)	_
org.jfree.chart.plot.CategoryPlot#?#CategoryPlot#?,CategoryDataset,CategoryAxis,ValueAxis,CategoryItemRenderer#481	0.02941176470588236	0.11111111111111116	0.07026143790849676	!(domainAxis != null)	_
org.jfree.chart.plot.CategoryPlot#void#configureDomainAxes#?#869	0.02941176470588236	0.11111111111111116	0.07026143790849676	!(axis != null)	_
org.jfree.chart.plot.CategoryPlot#ValueAxis#getRangeAxis#?,int#898	0.02298850574712641	0.11111111111111116	0.06704980842911878	result == null	_
org.jfree.chart.plot.CategoryPlot#?#CategoryPlot#?,CategoryDataset,CategoryAxis,ValueAxis,CategoryItemRenderer#474	0.02941176470588236	0.09999999999999998	0.06470588235294117	!(renderer != null)	_
org.jfree.chart.plot.CategoryMarker#?#CategoryMarker#?,Comparable,Paint,Stroke#91	0.125	0.0	0.0625		_
org.jfree.chart.plot.CategoryMarker#?#CategoryMarker#?,Comparable,Paint,Stroke,Paint,Stroke,float#109	0.125	0.0	0.0625		_
org.jfree.chart.plot.CategoryMarker#?#CategoryMarker#?,Comparable,Paint,Stroke,Paint,Stroke,float#108	0.125	0.0	0.0625		_
org.jfree.chart.plot.CategoryMarker#?#CategoryMarker#?,Comparable,Paint,Stroke,Paint,Stroke,float#107	0.125	0.0	0.0625		_
org.jfree.chart.plot.Marker#void#setLabelOffsetType#?,LengthAdjustmentType#490	0.05882352941176472	0.05882352941176472	0.05882352941176472	!(adj == null)	_
org.jfree.chart.plot.CategoryPlot#?#CategoryPlot#?,CategoryDataset,CategoryAxis,ValueAxis,CategoryItemRenderer#464	0.02941176470588236	0.08333333333333337	0.056372549019607865	!(dataset != null)	_
org.jfree.chart.plot.CategoryPlot#ValueAxis#getRangeAxis#?,int#899	0.11111111111111116	0.0	0.05555555555555558		_
org.jfree.chart.plot.XYPlot#?#XYPlot#?,XYDataset,ValueAxis,ValueAxis,XYItemRenderer#564	0.02857142857142858	0.07999999999999996	0.05428571428571427	!(rangeAxis != null)	_
org.jfree.chart.plot.Marker#?#Marker#?#144	0.10344827586206895	0.0	0.051724137931034475		_
org.jfree.chart.plot.Marker#?#Marker#?,Paint#153	0.10344827586206895	0.0	0.051724137931034475		_
org.jfree.chart.plot.ValueMarker#?#ValueMarker#?,double#68	0.10344827586206895	0.0	0.051724137931034475		_
org.jfree.chart.plot.XYPlot#void#configureRangeAxes#?#1162	0.025974025974025983	0.07692307692307687	0.05144855144855143	!(axis != null)	_
org.jfree.chart.plot.XYPlot#?#XYPlot#?,XYDataset,ValueAxis,ValueAxis,XYItemRenderer#556	0.02857142857142858	0.07407407407407407	0.051322751322751325	!(domainAxis != null)	_
org.jfree.chart.plot.XYPlot#void#configureDomainAxes#?#862	0.025974025974025983	0.07407407407407407	0.050024050024050026	!(axis != null)	_
org.jfree.chart.plot.XYPlot#?#XYPlot#?#501	0.09999999999999998	0.0	0.04999999999999999		_
org.jfree.chart.plot.XYPlot#?#XYPlot#?,XYDataset,ValueAxis,ValueAxis,XYItemRenderer#544	0.02857142857142858	0.06666666666666665	0.047619047619047616	!(dataset != null)	_
org.jfree.chart.plot.XYPlot#?#XYPlot#?,XYDataset,ValueAxis,ValueAxis,XYItemRenderer#549	0.02857142857142858	0.05882352941176472	0.04369747899159665	!(renderer != null)	_
org.jfree.chart.plot.Marker#?#Marker#?,Paint,Stroke,Paint,Stroke,float#189	0.03883495145631066	0.03883495145631066	0.03883495145631066	this.alpha >= alpha	_
org.jfree.chart.plot.Marker#?#Marker#?,Paint,Stroke,Paint,Stroke,float#181	0.03883495145631066	0.03883495145631066	0.03883495145631066	!(alpha < 0.0f || alpha > 1.0f)	_
org.jfree.chart.plot.Marker#?#Marker#?,Paint,Stroke,Paint,Stroke,float#178	0.03883495145631066	0.03883495145631066	0.03883495145631066	!(stroke == null)	_
org.jfree.chart.plot.Marker#?#Marker#?,Paint,Stroke,Paint,Stroke,float#175	0.03883495145631066	0.03883495145631066	0.03883495145631066	!(paint == null)	_
org.jfree.chart.plot.Marker#void#setLabelOffsetType#?,LengthAdjustmentType#493	0.05882352941176472	0.0	0.02941176470588236		_
org.jfree.chart.plot.CategoryPlot#void#addRangeMarker#?,int,Marker,Layer,boolean#2239	0.02941176470588236	0.02941176470588236	0.02941176470588236	!(layer == Layer.FOREGROUND)	_
org.jfree.chart.plot.Marker#void#setLabelOffsetType#?,LengthAdjustmentType#494	0.05882352941176472	0.0	0.02941176470588236		_
