line	original_score	max_predicate_score	total	predicate	label
org.jfree.data.DefaultKeyedValues#void#removeValue#?,int#317	Infinity	0.0	Infinity		_
org.jfree.data.DefaultKeyedValues#void#removeValue#?,int#318	Infinity	9.0	Infinity	!(index < this.keys.size())	GT
org.jfree.data.DefaultKeyedValues#void#removeValue#?,int#316	Infinity	0.0	Infinity		_
org.jfree.data.DefaultKeyedValues#void#removeValue#?,Comparable#337	Infinity	0.0	Infinity		_
org.jfree.data.DefaultKeyedValues#void#removeValue#?,Comparable#333	Infinity	0.0	Infinity		_
org.jfree.data.DefaultKeyedValues#void#removeValue#?,Comparable#334	Infinity	Infinity	Infinity	!(index < 0)	GT
org.jfree.data.DefaultKeyedValues#void#removeValue#?,Comparable#335	9.0	0.0	4.5		_
org.jfree.data.DefaultKeyedValues2D#void#removeColumn#?,Comparable#456	2.0	2.0	2.0	iterator.hasNext()	_
org.jfree.data.DefaultKeyedValues2D#void#removeColumn#?,Comparable#460	2.0	0.0	1.0		_
org.jfree.data.DefaultKeyedValues2D#void#removeColumn#?,Comparable#455	2.0	0.0	1.0		GT
org.jfree.data.DefaultKeyedValues2D#void#removeColumn#?,Comparable#457	2.0	0.0	1.0		_
org.jfree.data.DefaultKeyedValues2D#void#removeColumn#?,Comparable#458	2.0	0.0	1.0		GT
org.jfree.data.DefaultKeyedValues#void#rebuildIndex#?#300	0.25	0.25	0.25	i < this.keys.size()	_
org.jfree.data.DefaultKeyedValues#void#setValue#?,Comparable,Number#233	0.11678832116788321	0.25	0.1833941605839416	keyIndex >= 0	_
org.jfree.data.category.DefaultCategoryDataset#void#removeColumn#?,Comparable#351	0.3333333333333333	0.0	0.16666666666666666		_
org.jfree.data.category.DefaultCategoryDataset#void#removeColumn#?,Comparable#350	0.3333333333333333	0.0	0.16666666666666666		_
org.jfree.data.DefaultKeyedValues#void#removeValue#?,int#319	0.3333333333333333	0.0	0.16666666666666666		_
org.jfree.data.DefaultKeyedValues#void#rebuildIndex#?#302	0.25	0.0	0.125		_
org.jfree.data.DefaultKeyedValues#void#rebuildIndex#?#301	0.25	0.0	0.125		_
org.jfree.data.DefaultKeyedValues#void#setValue#?,Comparable,Number#234	0.25	0.0	0.125		_
org.jfree.data.DefaultKeyedValues#void#rebuildIndex#?#299	0.25	0.0	0.125		_
org.jfree.data.DefaultKeyedValues#int#getIndex#?,Comparable#157	0.11764705882352941	0.11764705882352941	0.11764705882352941	(i.intValue())>= 0	_
org.jfree.data.DefaultKeyedValues#void#setValue#?,Comparable,Number#229	0.11678832116788321	0.11678832116788321	0.11678832116788321	!(key == null)	_
org.jfree.data.DefaultKeyedValues#int#getIndex#?,Comparable#155	0.11594202898550725	0.11594202898550725	0.11594202898550725	(-1)< 0	_
org.jfree.data.DefaultKeyedValues#void#addValue#?,Comparable,Number#209	0.2222222222222222	0.0	0.1111111111111111		_
org.jfree.data.DefaultKeyedValues#int#getIndex#?,Comparable#154	0.09696969696969697	0.11764705882352941	0.10730837789661318	!(i == null)	_
org.jfree.data.DefaultKeyedValues#int#getIndex#?,Comparable#150	0.09696969696969697	0.09696969696969697	0.09696969696969697	!(key == null)	_
org.jfree.data.DefaultKeyedValues#void#addValue#?,Comparable,double#197	0.14285714285714285	0.0	0.07142857142857142		_
org.jfree.data.DefaultKeyedValues#void#setValue#?,Comparable,Number#238	0.11678832116788321	0.0	0.058394160583941604		_
org.jfree.data.DefaultKeyedValues#void#setValue#?,Comparable,Number#239	0.11678832116788321	0.0	0.058394160583941604		_
org.jfree.data.DefaultKeyedValues#void#setValue#?,Comparable,Number#232	0.11678832116788321	0.0	0.058394160583941604		_
org.jfree.data.DefaultKeyedValues#void#setValue#?,Comparable,Number#240	0.11678832116788321	0.0	0.058394160583941604		_
org.jfree.data.DefaultKeyedValues2D#int#getRowIndex#?,Comparable#189	0.039603960396039604	0.07272727272727272	0.05616561656165617	(this.rowKeys.indexOf(key))> 0	_
org.jfree.data.DefaultKeyedValues#?#DefaultKeyedValues#?#101	0.10526315789473684	0.0	0.05263157894736842		_
org.jfree.data.DefaultKeyedValues#?#DefaultKeyedValues#?#100	0.10526315789473684	0.0	0.05263157894736842		_
org.jfree.data.DefaultKeyedValues#?#DefaultKeyedValues#?#99	0.10526315789473684	0.0	0.05263157894736842		_
org.jfree.data.DefaultKeyedValues2D#void#setValue#?,Number,Comparable,Comparable#322	0.03636363636363636	0.06349206349206349	0.049927849927849925	rowIndex >= 0	_
org.jfree.data.DefaultKeyedValues#int#getIndex#?,Comparable#153	0.09696969696969697	0.0	0.048484848484848485		_
org.jfree.data.DefaultKeyedValues2D#void#setValue#?,Number,Comparable,Comparable#327	0.03636363636363636	0.04	0.03818181818181818	!(this.sortRowKeys)	_
org.jfree.data.DefaultKeyedValues2D#int#getRowIndex#?,Comparable#185	0.036036036036036036	0.039603960396039604	0.03781999821603782	!(this.sortRowKeys)	_
