line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#973	0.9920969441517387	0.9969704952581665	0.9945337197049526	!(lineno != -1)	_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#981	0.994072708113804	0.994072708113804	0.994072708113804	i < keys.length	_
com.google.javascript.rhino.Node#int[]#getSortedPropTypes#?#885	0.994072708113804	0.994072708113804	0.994072708113804	x != null	_
com.google.javascript.rhino.Node#int[]#getSortedPropTypes#?#880	0.994072708113804	0.994072708113804	0.994072708113804	x != null	_
com.google.javascript.rhino.Node#int[]#getSortedPropTypes#?#887	0.994072708113804	0.994072708113804	0.994072708113804	keys[count] >= count	_
com.google.javascript.rhino.Node#void#toStringTreeHelper#?,Node,int,Appendable#1030	0.9932824025289779	0.9932824025289779	0.9932824025289779	i != level	_
com.google.javascript.rhino.Node#void#toStringTreeHelper#?,Node,int,Appendable#1036	0.9932824025289779	0.9932824025289779	0.9932824025289779	cursor != null	_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#999	0.9920969441517387	0.9923603793466808	0.9922286617492098	!(jsType != null)	_
com.google.javascript.jscomp.VarCheck#void#visit#?,NodeTraversal,Node,Node#158	0.9917017913593256	0.9918335089567967	0.9917676501580611	!(sanityCheck)	_
com.google.javascript.jscomp.VarCheck#void#visit#?,NodeTraversal,Node,Node#149	0.9917017913593256	0.9917017913593256	0.9917017913593256	!(NodeUtil.isFunctionExpression(parent))	_
com.google.javascript.jscomp.VarCheck#void#visit#?,NodeTraversal,Node,Node#154	0.9917017913593256	0.9917017913593256	0.9917017913593256	!strictExternCheck || !t.getInput().isExtern()	_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#954	0.9899894625922023	0.9923603793466808	0.9911749209694416	this instanceof StringNode	_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#967	0.9909114857744995	0.9913066385669126	0.991109062170706	!(type == Token.NUMBER)	_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#971	0.9899894625922023	0.9920969441517387	0.9910432033719705	printSource	_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#979	0.9899894625922023	0.9920969441517387	0.9910432033719705	printAnnotations	_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#998	0.9899894625922023	0.9920969441517387	0.9910432033719705	printType	_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#957	0.9901211801896733	0.9909114857744995	0.9905163329820864	!(type == Token.FUNCTION)	_
com.google.javascript.jscomp.VarCheck#void#createSynthesizedExternVar#?,String#218	0.9903846153846154	0.9906480505795574	0.9905163329820864	!(compiler.getCodingConvention().isConstant(varName))	_
com.google.javascript.jscomp.Compiler#CompilerInput#getSynthesizedExternsInput#?#2334	0.9890674394099052	0.9918335089567967	0.9904504741833509	!(synthesizedExternsInput == null)	_
com.google.javascript.jscomp.VarCheck#Node#getSynthesizedExternsRoot#?#273	0.9903846153846154	0.9903846153846154	0.9903846153846154	synthesizedExternsRoot == null	_
com.google.javascript.jscomp.Compiler#CompilerInput#newExternInput#?,String#1028	0.9888040042149632	0.9888040042149632	0.9888040042149632	!(inputsById.containsKey(ast.getInputId()))	_
com.google.javascript.jscomp.CheckSideEffects$StripProtection#void#visit#?,NodeTraversal,Node,Node#188	0.988277133825079	0.9888040042149632	0.9885405690200211	!(target.isName() && target.getString().equals(PROTECTOR_FN))	_
com.google.javascript.jscomp.VarCheck#void#visit#?,NodeTraversal,Node,Node#180	0.9847207586933614	0.9856427818756586	0.98518177028451	!(!sanityCheck && varModule != currModule && varModule != null && currModule != null)	_
com.google.javascript.jscomp.ProcessDefines$CollectDefines#void#visit#?,NodeTraversal,Node,Node#351	0.9831401475237092	0.9860379346680717	0.9845890410958904	t.inGlobalScope()	_
com.google.javascript.jscomp.DefaultPassConfig#List<PassFactory>#getCodeRemovingPasses#?#722	0.9832718651211801	0.9840621707060063	0.9836670179135932	!(options.inlineConstantVars)	_
com.google.javascript.jscomp.JSModuleGraph#?#JSModuleGraph#?,List<JSModule>#95	0.982218124341412	0.982218124341412	0.982218124341412	!(depDepth < 0)	_
com.google.javascript.jscomp.JSModuleGraph#?#JSModuleGraph#?,List<JSModule>#101	0.982218124341412	0.982218124341412	0.982218124341412	depth != depDepth	_
com.google.javascript.jscomp.JSModule#int#getDepth#?#302	0.9810326659641728	0.9810326659641728	0.9810326659641728	(depth)>= 0	_
com.google.javascript.jscomp.CreateSyntheticBlocks$Callback#void#visit#?,NodeTraversal,Node,Node#171	0.9803740779768177	0.9803740779768177	0.9803740779768177	!n.isCall() || !n.getFirstChild().isName()	_
