line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.CheckMissingReturn#JSType#explicitReturnExpected#?,Node#166	0.08333333333333337	0.16666666666666663	0.125	!(!isVoidOrUnknown(returnType))	_
com.google.javascript.jscomp.MustBeReachingVariableDef#void#computeMustDef#?,Node,Node,MustDef,boolean#288	0.08333333333333337	0.09999999999999998	0.09166666666666667	!(NodeUtil.isName(obj) && "arguments".equals(obj.getString()))	_
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses#boolean#canBeRedeclared#?,Node,Scope#195	0.06666666666666665	0.11111111111111116	0.0888888888888889	!NodeUtil.isName(lhs)	_
com.google.javascript.jscomp.MustBeReachingVariableDef#void#computeMustDef#?,Node,Node,MustDef,boolean#284	0.08333333333333337	0.08333333333333337	0.08333333333333337	NodeUtil.isGet(n.getFirstChild())	_
com.google.javascript.jscomp.CheckMissingReturn#JSType#explicitReturnExpected#?,Node#162	0.08333333333333337	0.08333333333333337	0.08333333333333337	!(returnType == null)	_
com.google.javascript.jscomp.CheckMissingReturn#JSType#explicitReturnExpected#?,Node#170	0.16666666666666663	0.0	0.08333333333333331		_
com.google.javascript.jscomp.CheckMissingReturn#JSType#explicitReturnExpected#?,Node#156	0.0714285714285714	0.08333333333333337	0.07738095238095238	!(isEmptyFunction(scope))	_
com.google.javascript.jscomp.RemoveUnusedVars#void#traverseNode#?,Node,Node,Scope#210	0.01666666666666672	0.125	0.07083333333333336	!(maybeAssign != null)	_
com.google.javascript.jscomp.RemoveUnusedVars$Assign#Assign#maybeCreateAssign#?,Node#932	0.01666666666666672	0.125	0.07083333333333336	!(current.getType() == Token.NAME)	_
com.google.javascript.jscomp.RemoveUnusedVars$Assign#Assign#maybeCreateAssign#?,Node#935	0.125	0.0	0.0625		_
com.google.javascript.jscomp.PrintStreamErrorManager#void#printSummary#?#70	0.032258064516129004	0.09090909090909094	0.06158357771260997	getTypedPercent() > 0.0	_
com.google.javascript.jscomp.CheckMissingReturn#JSType#explicitReturnExpected#?,Node#152	0.050000000000000044	0.0714285714285714	0.06071428571428572	!(!(scopeType instanceof FunctionType))	_
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses#boolean#canBeRedeclared#?,Node,Scope#196	0.11111111111111116	0.0	0.05555555555555558		_
