line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#628	1.0	1.0	1.0	!(index == -1)	_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#623	1.0	1.0	1.0	upper <= lower	_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#622	1.0	1.0	1.0	upper < lower	GT
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#607	1.0	1.0	1.0	!(str == null)	_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#610	1.0	1.0	1.0	str.length() == 0	GT
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#631	1.0	1.0	1.0	upper != str.length()	_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#634	1.0	1.0	1.0	index > upper	_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#618	1.0	1.0	1.0	upper == -1 || upper > str.length()	GT
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#619	1.0	1.0	1.0	upper != lower	_
org.apache.commons.lang.StringUtils#int#indexOf#?,String,String,int#855	0.9994391475042065	0.9994391475042065	0.9994391475042065	!(searchStr.length() == 0 && startPos >= str.length())	_
org.apache.commons.lang.StringUtils#int#indexOf#?,String,String,int#858	0.9994391475042065	0.9994391475042065	0.9994391475042065	(str.indexOf(searchStr,startPos))!= 0	_
org.apache.commons.lang.StringUtils#int#indexOf#?,String,String,int#851	0.9994391475042065	0.9994391475042065	0.9994391475042065	!(str == null || searchStr == null)	_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#641	1.0	0.0	0.5		_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#629	1.0	0.0	0.5		_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#627	1.0	0.0	0.5		_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#626	1.0	0.0	0.5		_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#608	1.0	0.0	0.5		_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#632	1.0	0.0	0.5		_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#636	1.0	0.0	0.5		_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#635	1.0	0.0	0.5		_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#638	1.0	0.0	0.5		_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#611	1.0	0.0	0.5		_
org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String#639	1.0	0.0	0.5		_
org.apache.commons.lang.StringUtils#String#defaultString#?,String#5279	0.9994391475042065	0.0	0.49971957375210324		_
org.apache.commons.lang.StringUtils#int#indexOf#?,String,String,int#856	0.0	0.0	0.0		_
org.apache.commons.lang.StringUtils#int#indexOf#?,String,String,int#852	0.0	0.0	0.0		_
