line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#115	0.5	1.0	0.75	ch3 < 'A' || ch3 > 'Z' || ch4 < 'A' || ch4 > 'Z'	GT
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#116	1.0	0.0	0.5		_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#110	0.5	0.5	0.5	!(str.charAt(2) != '_')	_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#107	0.3333333333333333	0.5	0.41666666666666663	!(len == 2)	_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#95	0.3333333333333333	0.3333333333333333	0.3333333333333333	!(str == null)	_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#99	0.3333333333333333	0.3333333333333333	0.3333333333333333	!(len != 2 && len != 5 && len < 7)	_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#104	0.3333333333333333	0.3333333333333333	0.3333333333333333	!(ch0 < 'a' || ch0 > 'z' || ch1 < 'a' || ch1 > 'z')	_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#113	0.5	0.0	0.25		_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#114	0.5	0.0	0.25		GT
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#98	0.3333333333333333	0.0	0.16666666666666666		_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#102	0.3333333333333333	0.0	0.16666666666666666		_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#103	0.3333333333333333	0.0	0.16666666666666666		_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#96	0.0	0.0	0.0		_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#119	0.0	0.0	0.0		_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#108	0.0	0.0	0.0		_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#118	0.0	0.0	0.0		_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#105	0.0	0.0	0.0		_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#111	0.0	0.0	0.0		_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#121	0.0	0.0	0.0		_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#100	0.0	0.0	0.0		_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#124	0.0	0.0	0.0		_
org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String#122	0.0	0.0	0.0		_
