line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.special.Gamma#double#regularizedGammaQ#?,double,double#200	0.1428571428571429	0.5	0.32142857142857145	(regularizedGammaQ(a,x,DEFAULT_EPSILON,Integer.MAX_VALUE))> 0	_
org.apache.commons.math.util.ContinuedFraction#double#evaluate#?,double,double,int#168	0.014705882352941124	0.19999999999999996	0.10735294117647054	q0 == x	_
org.apache.commons.math.util.ContinuedFraction#double#evaluate#?,double,double,int#165	0.014705882352941124	0.11111111111111116	0.06290849673202614	c == x	_
org.apache.commons.math.util.ContinuedFraction#double#evaluate#?,double,double,int#166	0.014705882352941124	0.11111111111111116	0.06290849673202614	p0 == x	_
org.apache.commons.math.util.ContinuedFraction#double#evaluate#?,double,double,int#167	0.014705882352941124	0.09999999999999998	0.05735294117647055	p1 == q2	_
org.apache.commons.math.util.ContinuedFraction#double#evaluate#?,double,double,int#169	0.014705882352941124	0.09999999999999998	0.05735294117647055	q1 == p1	_
org.apache.commons.math.util.ContinuedFraction#double#evaluate#?,double,double,int#162	0.014705882352941124	0.06666666666666665	0.04068627450980389	relativeError == q0	_
org.apache.commons.math.special.Gamma#double#regularizedGammaP#?,double,double#120	0.0357142857142857	0.045454545454545414	0.040584415584415556	(regularizedGammaP(a,x,DEFAULT_EPSILON,Integer.MAX_VALUE))> 0	_
org.apache.commons.math.special.Gamma#double#regularizedGammaQ#?,double,double,double,int#237	0.038461538461538436	0.038461538461538436	0.038461538461538436	!(x < a || a < 1.0)	_
org.apache.commons.math.special.Gamma#double#regularizedGammaQ#?,double,double,double,int#235	0.03703703703703709	0.038461538461538436	0.03774928774928776	!(x == 0.0)	_
org.apache.commons.math.special.Gamma#double#regularizedGammaQ#?,double,double,double,int#260	0.03125	0.04166666666666663	0.036458333333333315	(ret)> 0	_
org.apache.commons.math.special.Gamma#double#regularizedGammaQ#?,double,double,double,int#233	0.03125	0.03703703703703709	0.034143518518518545	!(Double.isNaN(a) || Double.isNaN(x) || (a <= 0.0)|| (x < 0.0))	_
org.apache.commons.math.special.Gamma#double#regularizedGammaP#?,double,double,double,int#179	0.03125	0.03125	0.03125	!(n >= maxIterations)	_
org.apache.commons.math.special.Gamma#double#regularizedGammaP#?,double,double,double,int#171	0.03125	0.03125	0.03125	Math.abs(an) > epsilon && n < maxIterations	_
org.apache.commons.math.special.Gamma#double#regularizedGammaP#?,double,double,double,int#162	0.02631578947368418	0.03125	0.02878289473684209	!(a >= 1.0 && x > a)	_
org.apache.commons.math.special.Gamma#double#regularizedGammaP#?,double,double,double,int#160	0.025000000000000022	0.02631578947368418	0.025657894736842102	!(x == 0.0)	_
org.apache.commons.math.special.Gamma#double#regularizedGammaP#?,double,double,double,int#186	0.022222222222222254	0.02631578947368418	0.024269005847953218	(ret)> 0	_
org.apache.commons.math.special.Gamma#double#regularizedGammaP#?,double,double,double,int#158	0.022222222222222254	0.025000000000000022	0.023611111111111138	!(Double.isNaN(a) || Double.isNaN(x) || (a <= 0.0)|| (x < 0.0))	_
org.apache.commons.math.special.Gamma#double#logGamma#?,double#106	0.011904761904761862	0.03125	0.02157738095238093	(ret)< 0	_
org.apache.commons.math.special.Gamma#double#regularizedGammaQ#?,double,double,double,int#256	0.038461538461538436	0.0	0.019230769230769218		_
org.apache.commons.math.special.Gamma#double#regularizedGammaQ#?,double,double,double,int#257	0.038461538461538436	0.0	0.019230769230769218		_
org.apache.commons.math.special.Gamma#double#regularizedGammaQ#?,double,double,double,int#243	0.038461538461538436	0.0	0.019230769230769218		_
org.apache.commons.math.special.Gamma#double#regularizedGammaP#?,double,double,double,int#182	0.03125	0.0	0.015625		_
org.apache.commons.math.special.Gamma#double#regularizedGammaP#?,double,double,double,int#170	0.03125	0.0	0.015625		_
org.apache.commons.math.special.Gamma#double#regularizedGammaP#?,double,double,double,int#174	0.03125	0.0	0.015625		_
org.apache.commons.math.special.Gamma#double#regularizedGammaP#?,double,double,double,int#173	0.03125	0.0	0.015625		_
org.apache.commons.math.special.Gamma#double#regularizedGammaP#?,double,double,double,int#177	0.03125	0.0	0.015625		_
org.apache.commons.math.special.Gamma#double#regularizedGammaP#?,double,double,double,int#168	0.03125	0.0	0.015625		_
org.apache.commons.math.special.Gamma#double#regularizedGammaP#?,double,double,double,int#169	0.03125	0.0	0.015625		_
org.apache.commons.math.special.Gamma#double#regularizedGammaQ#?,double,double,double,int#231	0.03125	0.0	0.015625		_
org.apache.commons.math.util.ContinuedFraction#double#evaluate#?,double,double,int#178	0.014705882352941124	0.014705882352941124	0.014705882352941124	(c)!= 0	_
org.apache.commons.math.util.ContinuedFraction#double#evaluate#?,double,double,int#172	0.014705882352941124	0.014705882352941124	0.014705882352941124	!(n >= maxIterations)	_
org.apache.commons.math.util.ContinuedFraction#double#evaluate#?,double,double,int#146	0.014705882352941124	0.014705882352941124	0.014705882352941124	!(Double.isInfinite(p2) || Double.isInfinite(q2))	_
org.apache.commons.math.util.ContinuedFraction#double#evaluate#?,double,double,int#140	0.014705882352941124	0.014705882352941124	0.014705882352941124	n < maxIterations && relativeError > epsilon	_
org.apache.commons.math.special.Gamma#double#logGamma#?,double#102	0.012345679012345734	0.016949152542372836	0.014647415777359285	ret < x	_
org.apache.commons.math.special.Gamma#double#logGamma#?,double#97	0.012345679012345734	0.013698630136986356	0.013022154574666045	sum > g	_
org.apache.commons.math.special.Gamma#double#logGamma#?,double#99	0.012345679012345734	0.012987012987012991	0.012666345999679363	sum >= g	_
org.apache.commons.math.special.Gamma#double#logGamma#?,double#96	0.012345679012345734	0.012345679012345734	0.012345679012345734	!(i > 0)	_
org.apache.commons.math.special.Gamma#double#logGamma#?,double#90	0.011904761904761862	0.012345679012345734	0.012125220458553798	!(Double.isNaN(x) || (x <= 0.0))	_
