line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.linear.OpenMapRealVector#void#setEntry#?,int,double#666	0.5	Infinity	Infinity	!(entries.containsKey(index))	_
org.apache.commons.math.linear.OpenMapRealVector#OpenMapRealVector#ebeMultiply#?,RealVector#371	1.0	1.0	1.0	iter.hasNext()	_
org.apache.commons.math.linear.AbstractRealVector#void#checkVectorDimensions#?,int#64	0.5	1.0	0.75	!(d != n)	_
org.apache.commons.math.util.OpenIntToDoubleHashMap$Iterator#void#advance#?#563	0.058823529411764705	1.0	0.5294117647058824	referenceCount != count	_
org.apache.commons.math.linear.OpenMapRealVector#OpenMapRealVector#ebeMultiply#?,RealVector#372	1.0	0.0	0.5		_
org.apache.commons.math.linear.OpenMapRealVector#OpenMapRealVector#ebeMultiply#?,RealVector#370	1.0	0.0	0.5		GT
org.apache.commons.math.linear.OpenMapRealVector#OpenMapRealVector#ebeMultiply#?,RealVector#373	1.0	0.0	0.5		_
org.apache.commons.math.linear.OpenMapRealVector#OpenMapRealVector#ebeMultiply#?,RealVector#369	1.0	0.0	0.5		_
org.apache.commons.math.linear.OpenMapRealVector#OpenMapRealVector#ebeMultiply#?,RealVector#368	1.0	0.0	0.5		_
org.apache.commons.math.util.OpenIntToDoubleHashMap$Iterator#void#advance#?#564	1.0	0.0	0.5		_
org.apache.commons.math.linear.OpenMapRealVector#void#setEntry#?,int,double#664	0.16666666666666666	0.5	0.3333333333333333	!(!isDefaultValue(value))	_
org.apache.commons.math.linear.OpenMapRealVector#double#getEntry#?,int#480	0.125	0.5	0.3125	(entries.get(index))== 0	_
org.apache.commons.math.util.OpenIntToDoubleHashMap#boolean#containsKey#?,int#216	0.25	0.3333333333333333	0.29166666666666663	states[index] == FREE	_
org.apache.commons.math.linear.OpenMapRealVector#void#setEntry#?,int,double#667	0.5	0.0	0.25		_
org.apache.commons.math.linear.OpenMapRealVector#?#OpenMapRealVector#?,int,double#77	0.25	0.25	0.25	this.epsilon == epsilon	_
org.apache.commons.math.linear.OpenMapRealVector#?#OpenMapRealVector#?,int,double#75	0.25	0.25	0.25	virtualSize == dimension	_
org.apache.commons.math.linear.AbstractRealVector#void#checkVectorDimensions#?,int#63	0.5	0.0	0.25		_
org.apache.commons.math.MathRuntimeException#ConcurrentModificationException#createConcurrentModificationException#?,Localizable,Object#373	0.5	0.0	0.25		_
org.apache.commons.math.util.OpenIntToDoubleHashMap#boolean#containsKey#?,int#212	0.1111111111111111	0.25	0.18055555555555555	!(containsKey(key,index))	_
org.apache.commons.math.util.OpenIntToDoubleHashMap#boolean#containsKey#?,int#217	0.3333333333333333	0.0	0.16666666666666666		_
org.apache.commons.math.linear.OpenMapRealVector#?#OpenMapRealVector#?,OpenMapRealVector#182	0.25	0.0	0.125		_
org.apache.commons.math.linear.OpenMapRealVector#?#OpenMapRealVector#?,OpenMapRealVector#181	0.25	0.0	0.125		_
org.apache.commons.math.linear.OpenMapRealVector#?#OpenMapRealVector#?,OpenMapRealVector#180	0.25	0.0	0.125		_
org.apache.commons.math.linear.OpenMapRealVector#?#OpenMapRealVector#?,int,double#76	0.25	0.0	0.125		_
org.apache.commons.math.linear.AbstractRealVector#void#checkIndex#?,int#76	0.1111111111111111	0.1111111111111111	0.1111111111111111	!(index < 0 || index >= getDimension())	_
org.apache.commons.math.util.OpenIntToDoubleHashMap#double#doRemove#?,int#397	0.07142857142857142	0.1111111111111111	0.09126984126984126	values[index] < previous	_
org.apache.commons.math.linear.OpenMapRealVector#int#getDimension#?#422	0.08333333333333333	0.08333333333333333	0.08333333333333333	(virtualSize)!= 0	_
org.apache.commons.math.linear.OpenMapRealVector#void#setEntry#?,int,double#663	0.16666666666666666	0.0	0.08333333333333333		_
org.apache.commons.math.linear.OpenMapRealVector#void#setEntry#?,int,double#665	0.16666666666666666	0.0	0.08333333333333333		_
org.apache.commons.math.linear.OpenMapRealVector#OpenIntToDoubleHashMap#getEntries#?#208	0.16666666666666666	0.0	0.08333333333333333		_
org.apache.commons.math.util.OpenIntToDoubleHashMap#double#doRemove#?,int#394	0.07142857142857142	0.09090909090909091	0.08116883116883117	keys[index] >= index	_
org.apache.commons.math.util.OpenIntToDoubleHashMap$Iterator#int#key#?#535	0.06666666666666667	0.07692307692307693	0.07179487179487179	(keys[current])<= 0	_
org.apache.commons.math.util.OpenIntToDoubleHashMap#double#remove#?,int#357	0.07142857142857142	0.07142857142857142	0.07142857142857142	(doRemove(index))> 0	_
org.apache.commons.math.util.OpenIntToDoubleHashMap#?#OpenIntToDoubleHashMap#?,OpenIntToDoubleHashMap#144	0.07142857142857142	0.07142857142857142	0.07142857142857142	count < length	_
org.apache.commons.math.util.OpenIntToDoubleHashMap#?#OpenIntToDoubleHashMap#?,OpenIntToDoubleHashMap#143	0.07142857142857142	0.07142857142857142	0.07142857142857142	mask != length	_
org.apache.commons.math.util.OpenIntToDoubleHashMap#?#OpenIntToDoubleHashMap#?,OpenIntToDoubleHashMap#142	0.07142857142857142	0.07142857142857142	0.07142857142857142	size != length	_
org.apache.commons.math.util.OpenIntToDoubleHashMap#double#doRemove#?,int#400	0.07142857142857142	0.07142857142857142	0.07142857142857142	(previous)!= 0	_
org.apache.commons.math.util.OpenIntToDoubleHashMap$Iterator#int#key#?#529	0.06666666666666667	0.06666666666666667	0.06666666666666667	!(referenceCount != count)	_
org.apache.commons.math.util.OpenIntToDoubleHashMap$Iterator#int#key#?#532	0.06666666666666667	0.06666666666666667	0.06666666666666667	!(current < 0)	_
org.apache.commons.math.util.OpenIntToDoubleHashMap$Iterator#void#advance#?#572	0.0625	0.0625	0.0625	states[++next] != FULL	_
org.apache.commons.math.util.OpenIntToDoubleHashMap$Iterator#double#value#?#546	0.0625	0.0625	0.0625	!(referenceCount != count)	_
