line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.stat.correlation.PearsonsCorrelation#RealMatrix#getCorrelationPValues#?#164	0.9976099426386233	0.9976099426386233	0.9976099426386233	i < nVars	_
org.apache.commons.math.stat.correlation.PearsonsCorrelation#RealMatrix#getCorrelationPValues#?#166	0.9976099426386233	0.9976099426386233	0.9976099426386233	!(i == j)	_
org.apache.commons.math.stat.correlation.PearsonsCorrelation#RealMatrix#getCorrelationPValues#?#165	0.9976099426386233	0.9976099426386233	0.9976099426386233	!(j < nVars)	_
org.apache.commons.math.stat.correlation.PearsonsCorrelation#RealMatrix#getCorrelationPValues#?#171	0.9976099426386233	0.9976099426386233	0.9976099426386233	out[i][j] != r	GT
org.apache.commons.math.stat.correlation.PearsonsCorrelation#RealMatrix#computeCorrelationMatrix#?,RealMatrix#190	0.995706106870229	0.995706106870229	0.995706106870229	!(j < i)	_
org.apache.commons.math.stat.correlation.PearsonsCorrelation#RealMatrix#computeCorrelationMatrix#?,RealMatrix#189	0.995706106870229	0.995706106870229	0.995706106870229	i < nVars	_
org.apache.commons.math.stat.correlation.PearsonsCorrelation#void#checkSufficientData#?,RealMatrix#275	0.9947569113441372	0.995706106870229	0.995231509107183	!(nRows < 2 || nCols < 2)	_
org.apache.commons.math.stat.correlation.PearsonsCorrelation#double#correlation#?,double[],double[]#230	0.9947569113441372	0.995706106870229	0.995231509107183	(regression.getR())>= 0	_
org.apache.commons.math.stat.correlation.PearsonsCorrelation#double#correlation#?,double[],double[]#227	0.9947569113441372	0.9947569113441372	0.9947569113441372	i < xArray.length	_
org.apache.commons.math.stat.regression.SimpleRegression#double#getR#?#437	0.9938095238095239	0.9952312827849308	0.9945204032972274	(result)>= 0	_
org.apache.commons.math.stat.correlation.PearsonsCorrelation#double#correlation#?,double[],double[]#226	0.9942829919009052	0.9947569113441372	0.9945199516225212	xArray.length == yArray.length && xArray.length > 1	_
org.apache.commons.math.stat.regression.SimpleRegression#double#getR#?#434	0.9938095238095239	0.9942829919009052	0.9940462578552145	!(b1 < 0)	_
org.apache.commons.math.stat.regression.SimpleRegression#void#addData#?,double,double#129	0.9886309805779252	0.9990426041168023	0.9938367923473638	sumYY == dx	_
org.apache.commons.math.stat.regression.SimpleRegression#void#addData#?,double,double#132	0.9886309805779252	0.9985645933014353	0.9935977869396803	ybar == dx	_
org.apache.commons.math.stat.regression.SimpleRegression#double#getRSquare#?#456	0.9928639391056137	0.9938095238095239	0.9933367314575687	((ssto - getSumSquaredErrors()) / ssto)> 0	_
org.apache.commons.math.stat.regression.SimpleRegression#double#getTotalSumSquares#?#354	0.9928639391056137	0.9928639391056137	0.9928639391056137	(sumYY)> 0	_
org.apache.commons.math.stat.regression.SimpleRegression#double#getTotalSumSquares#?#351	0.9928639391056137	0.9928639391056137	0.9928639391056137	!(n < 2)	_
org.apache.commons.math.stat.regression.SimpleRegression#void#addData#?,double,double#130	0.9886309805779252	0.9961813842482101	0.9924061824130677	sumXY == dx	_
