line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?#344	0.22941573387056174	1.0	0.6147078669352809	absYA == absYB	_
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?#343	0.22941573387056174	1.0	0.6147078669352809	yA == absYB	_
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?#329	0.22360679774997896	1.0	0.6118033988749895	y[signChangeIndex] == absYB	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#352	0.2	0.4082482904638631	0.30412414523193154	v[k + 3][i] == theta	_
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?#224	0.2886751345948129	0.30151134457776363	0.2950932395862883	(xB)> 0	_
org.apache.commons.math3.ode.events.EventState#boolean#reset#?,double,double[]#347	0.25	0.30151134457776363	0.2757556722888818	nextAction == EventHandler.Action.RESET_STATE	_
org.apache.commons.math3.ode.nonstiff.AdaptiveStepsizeIntegrator#void#setStepSizeControl#?,double,double,double,double#157	0.10369516947304253	0.4472135954999579	0.2754543824865002	minStep > relativeTolerance	_
org.apache.commons.math3.ode.nonstiff.AdaptiveStepsizeIntegrator#void#setStepSizeControl#?,double,double,double,double#162	0.10369516947304253	0.4472135954999579	0.2754543824865002	scalRelativeTolerance < minimalStep	_
org.apache.commons.math3.ode.nonstiff.AdaptiveStepsizeIntegrator#void#setStepSizeControl#?,double,double,double,double#161	0.10369516947304253	0.4472135954999579	0.2754543824865002	scalAbsoluteTolerance < minimalStep	_
org.apache.commons.math3.ode.events.EventState#boolean#evaluateStep#?,StepInterpolator#277	0.20851441405707477	0.3333333333333333	0.27092387369520404	ta < t1	_
org.apache.commons.math3.ode.AbstractIntegrator#double#acceptStep#?,AbstractStepInterpolator,double[],double[],double#373	0.2672612419124244	0.2672612419124244	0.2672612419124244	(eventT)!= 0	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#349	0.2	0.3333333333333333	0.26666666666666666	v[1][i] > theta	_
org.apache.commons.math3.ode.events.EventState#boolean#evaluateStep#?,StepInterpolator#278	0.20851441405707477	0.31622776601683794	0.26237109003695636	ga > t1	_
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?#242	0.23570226039551587	0.2886751345948129	0.2621886974951644	targetY > weightA	_
org.apache.commons.math3.ode.AbstractIntegrator#double#acceptStep#?,AbstractStepInterpolator,double[],double[],double#364	0.25	0.2672612419124244	0.2586306209562122	needReset	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#375	0.21320071635561041	0.30151134457776363	0.25735603046668704	interpolatedState[i] < dot5	_
org.apache.commons.math3.ode.events.EventState#void#stepAccepted#?,double,double[]#313	0.20851441405707477	0.30151134457776363	0.2550128793174192	g0 >= t	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#350	0.2	0.30151134457776363	0.25075567228888185	v[2][i] > theta	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#389	0.2	0.30151134457776363	0.25075567228888185	interpolatedState[i] < dot5	_
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?#336	0.22360679774997896	0.2773500981126146	0.25047844793129675	yB < yA	_
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?#337	0.22360679774997896	0.2773500981126146	0.25047844793129675	absYB != yB	_
org.apache.commons.math3.ode.events.EventState#boolean#reset#?,double,double[]#343	0.25	0.25	0.25	!(!(pendingEvent && (FastMath.abs(pendingEventTime - t) <= convergence)))	_
org.apache.commons.math3.ode.events.EventState#boolean#reset#?,double,double[]#351	0.25	0.25	0.25	pendingEventTime != t	_
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?#342	0.22941573387056174	0.2672612419124244	0.24833848789149307	xA >= xTol	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#383	0.21320071635561041	0.2773500981126146	0.2452754072341125	interpolatedDerivatives[i] >= oneMinusThetaH	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolator#void#doFinalize#?#443	0.2	0.2886751345948129	0.24433756729740647	yTmp[j] < s	_
org.apache.commons.math3.ode.AbstractIntegrator#double#acceptStep#?,AbstractStepInterpolator,double[],double[],double#354	0.23570226039551587	0.25	0.24285113019775795	!(isLastStep)	_
org.apache.commons.math3.util.FastMath#double#ceil#?,double#3367	0.22360679774997896	0.2581988897471611	0.24090284374857002	y <= x	_
org.apache.commons.math3.ode.events.EventState#boolean#evaluateStep#?,StepInterpolator#239	0.22941573387056174	0.25	0.23970786693528087	root >= dt	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolator#void#doFinalize#?#423	0.2	0.2773500981126146	0.2386750490563073	yTmp[j] < s	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolator#void#doFinalize#?#433	0.2	0.2773500981126146	0.2386750490563073	yTmp[j] < s	_
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?#327	0.22360679774997896	0.25	0.23680339887498947	x[signChangeIndex] >= absYB	_
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?#335	0.22360679774997896	0.25	0.23680339887498947	xB >= yB	_
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator#void#setSoftCurrentTime#?,double#335	0.23570226039551587	0.23570226039551587	0.23570226039551587	this.softCurrentTime == softCurrentTime	_
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator#void#setSoftPreviousTime#?,double#321	0.23570226039551587	0.23570226039551587	0.23570226039551587	this.softPreviousTime == softPreviousTime	_
org.apache.commons.math3.ode.AbstractIntegrator#double#acceptStep#?,AbstractStepInterpolator,double[],double[],double#329	0.23570226039551587	0.23570226039551587	0.23570226039551587	!occuringEvents.isEmpty()	_
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#346	0.2	0.2672612419124244	0.2336306209562122	v[0][i] < yDot1	_
