line	original_score	max_predicate_score	total	predicate	label
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1464	1.0	1.0	1.0	tailZone.iStartRecurrence.getSaveMillis() > 0	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1460	1.0	1.0	1.0	!(ZoneInfoCompiler.verbose())	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1458	0.998735137869972	1.0	0.999367568934986	tailZone.iStartRecurrence.getNameKey().equals(tailZone.iEndRecurrence.getNameKey())	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1408	0.9984825493171472	1.0	0.9992412746585736	wallOffsets[i] > size	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1409	0.9984825493171472	1.0	0.9992412746585736	standardOffsets[i] > i	_
org.joda.time.tz.DateTimeZoneBuilder#boolean#addTransition#?,ArrayList<Transition>,Transition#419	0.9984825493171472	1.0	0.9992412746585736	offsetForLast > size	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#long#next#?,long,int,int#866	0.9984825493171472	1.0	0.9992412746585736	year <= standardOffset	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#long#next#?,long,int,int#852	0.9984825493171472	1.0	0.9992412746585736	year < wallOffset	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#int#getWallOffset#?#914	0.9982300884955753	0.9997467713345152	0.9989884299150452	(iWallOffset)> 0	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#int#getStandardOffset#?#918	0.9982300884955753	0.9997467713345152	0.9989884299150452	(iStandardOffset)> 0	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#boolean#isCachable#?#1690	0.9984825493171472	0.998735137869972	0.9986088435935596	iTailZone != null	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#DSTZone#buildTailZone#?,String#1144	0.9984825493171472	0.998735137869972	0.9986088435935596	startRule.getToYear() == Integer.MAX_VALUE && endRule.getToYear() == Integer.MAX_VALUE	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1457	0.9984825493171472	0.998735137869972	0.9986088435935596	tailZone != null	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#toDateTimeZone#?,String,boolean#397	0.9984825493171472	0.998735137869972	0.9986088435935596	zone.isCachable()	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#toDateTimeZone#?,String,boolean#364	0.9984825493171472	0.998735137869972	0.9986088435935596	tailZone != null	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#long#next#?,long,int,int#873	0.9984825493171472	0.998735137869972	0.9986088435935596	(next)< 0	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#?#Transition#?,long,Rule,int#893	0.9984825493171472	0.9984825493171472	0.9984825493171472	iWallOffset == standardOffset	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#?#Transition#?,long,Rule,int#894	0.9984825493171472	0.9984825493171472	0.9984825493171472	iStandardOffset >= standardOffset	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#?#Transition#?,long,Rule,int#891	0.9984825493171472	0.9984825493171472	0.9984825493171472	iMillis >= millis	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#firstTransition#?,long#1029	0.9984825493171472	0.9984825493171472	0.9984825493171472	(next=nextTransition(millis,saveMillis)) != null	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#firstTransition#?,long#1037	0.9984825493171472	0.9984825493171472	0.9984825493171472	millis > firstMillis	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#firstTransition#?,long#1038	0.9984825493171472	0.9984825493171472	0.9984825493171472	first == null	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#firstTransition#?,long#1032	0.9984825493171472	0.9984825493171472	0.9984825493171472	!(millis == firstMillis)	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#firstTransition#?,long#1030	0.9984825493171472	0.9984825493171472	0.9984825493171472	millis >= firstMillis	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#?#Rule#?,Recurrence,int,int#818	0.9984825493171472	0.9984825493171472	0.9984825493171472	iFromYear <= fromYear	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#?#Rule#?,Recurrence,int,int#819	0.9984825493171472	0.9984825493171472	0.9984825493171472	iToYear == toYear	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZoneBuilder#addRecurringSavings#?,String,int,int,int,char,int,int,int,boolean,int#309	0.9984825493171472	0.9984825493171472	0.9984825493171472	fromYear <= toYear	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#nextTransition#?,long,int#1098	0.9984825493171472	0.9984825493171472	0.9984825493171472	next <= nextMillis	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#nextTransition#?,long,int#1092	0.9984825493171472	0.9984825493171472	0.9984825493171472	!(next <= instant)	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#firstTransition#?,long#1043	0.9984825493171472	0.9984825493171472	0.9984825493171472	!(rule.getSaveMillis() == 0)	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#firstTransition#?,long#1049	0.9984825493171472	0.9984825493171472	0.9984825493171472	!(first == null)	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#nextTransition#?,long,int#1089	0.9984825493171472	0.9984825493171472	0.9984825493171472	it.hasNext()	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#int#getSaveMillis#?#839	0.9984825493171472	0.9984825493171472	0.9984825493171472	(iRecurrence.getSaveMillis())>= 0	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1436	0.9984825493171472	0.9984825493171472	0.9984825493171472	!(curOffset != nextOffset && curStdOffset == nextStdOffset && curNameKey.equals(nextNameKey) && p.getYears() == 0 && p.getMonths() > 4 && p.getMonths() < 8 && curNameKey.equals(zoneNameData[2]) && curNameKey.equals(zoneNameData[4]))	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#DSTZone#buildTailZone#?,String#1141	0.9984825493171472	0.9984825493171472	0.9984825493171472	iRules.size() == 2	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#boolean#isTransitionFrom#?,Transition#929	0.9984825493171472	0.9984825493171472	0.9984825493171472	other == null	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1400	0.9984825493171472	0.9984825493171472	0.9984825493171472	i < size	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1403	0.9984825493171472	0.9984825493171472	0.9984825493171472	!(!tr.isTransitionFrom(last))	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1421	0.9984825493171472	0.9984825493171472	0.9984825493171472	!(set != null && set.length == 5 && id.equals(set[0]))	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1428	0.9984825493171472	0.9984825493171472	0.9984825493171472	!(i < nameKeys.length - 1)	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1419	0.9984825493171472	0.9984825493171472	0.9984825493171472	j < zoneStrings.length	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#toDateTimeZone#?,String,boolean#363	0.9984825493171472	0.9984825493171472	0.9984825493171472	addTransition(transitions,next)	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#toDateTimeZone#?,String,boolean#362	0.9984825493171472	0.9984825493171472	0.9984825493171472	(next=rs.nextTransition(millis,saveMillis)) != null	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#toDateTimeZone#?,String,boolean#370	0.9984825493171472	0.9984825493171472	0.9984825493171472	saveMillis != ruleSetCount	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#toDateTimeZone#?,String,boolean#371	0.9984825493171472	0.9984825493171472	0.9984825493171472	tailZone == null && i == ruleSetCount - 1	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#void#addRule#?,Rule#994	0.9984825493171472	0.9984825493171472	0.9984825493171472	!iRules.contains(rule)	_
org.joda.time.tz.DateTimeZoneBuilder#boolean#addTransition#?,ArrayList<Transition>,Transition#418	0.9984825493171472	0.9984825493171472	0.9984825493171472	!(size >= 2)	_
org.joda.time.tz.DateTimeZoneBuilder#boolean#addTransition#?,ArrayList<Transition>,Transition#411	0.9984825493171472	0.9984825493171472	0.9984825493171472	!(!tr.isTransitionFrom(last))	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#long#next#?,long,int,int#865	0.9984825493171472	0.9984825493171472	0.9984825493171472	next > instant	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#long#next#?,long,int,int#860	0.9984825493171472	0.9984825493171472	0.9984825493171472	testInstant != instant	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#long#next#?,long,int,int#867	0.9984825493171472	0.9984825493171472	0.9984825493171472	!(year > iToYear)	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#nextTransition#?,long,int#1101	0.9984825493171472	0.9984825493171472	0.9984825493171472	nextMillis == next	_
org.joda.time.tz.DateTimeZoneBuilder#boolean#addTransition#?,ArrayList<Transition>,Transition#426	0.9984825493171472	0.9984825493171472	0.9984825493171472	newLocal != lastLocal	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#long#next#?,long,int,int#850	0.9984825493171472	0.9984825493171472	0.9984825493171472	year != wallOffset	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#long#next#?,long,int,int#857	0.9984825493171472	0.9984825493171472	0.9984825493171472	testInstant != instant	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#long#next#?,long,int,int#855	0.9984825493171472	0.9984825493171472	0.9984825493171472	year < iFromYear	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#nextTransition#?,long,int#1115	0.9984825493171472	0.9984825493171472	0.9984825493171472	!(iUpperYear < Integer.MAX_VALUE)	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#nextTransition#?,long,int#1110	0.9984825493171472	0.9984825493171472	0.9984825493171472	!(chrono.year().get(nextMillis) >= YEAR_LIMIT)	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#PrecalculatedZone#create#?,String,boolean,ArrayList<Transition>,DSTZone#1390	0.9984825493171472	0.9984825493171472	0.9984825493171472	!(size == 0)	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#int#getToYear#?#827	0.9984825493171472	0.9984825493171472	0.9984825493171472	(iToYear)> 0	_
org.joda.time.tz.DateTimeZoneBuilder$Rule#long#next#?,long,int,int#849	0.9984825493171472	0.9984825493171472	0.9984825493171472	instant == Long.MIN_VALUE	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#firstTransition#?,long#1011	0.9982300884955753	0.9984825493171472	0.9983563189063612	!(iInitialNameKey != null)	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#toDateTimeZone#?,String,boolean#390	0.9982300884955753	0.9984825493171472	0.9983563189063612	!(transitions.size() == 1 && tailZone == null)	_
org.joda.time.tz.DateTimeZoneBuilder#boolean#addTransition#?,ArrayList<Transition>,Transition#405	0.9982300884955753	0.9984825493171472	0.9983563189063612	!(size == 0)	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#Transition#nextTransition#?,long,int#1105	0.9982300884955753	0.9984825493171472	0.9983563189063612	!(nextRule == null)	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#int#getSaveMillis#?#922	0.9982300884955753	0.9984825493171472	0.9983563189063612	(iWallOffset - iStandardOffset)!= 0	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#void#setStandardOffset#?,int#985	0.9982300884955753	0.9982300884955753	0.9982300884955753	iStandardOffset == standardOffset	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#long#getUpperLimit#?,int#1131	0.9982300884955753	0.9982300884955753	0.9982300884955753	iUpperYear == Integer.MAX_VALUE	_
org.joda.time.tz.DateTimeZoneBuilder$RuleSet#long#getUpperLimit#?,int#1132	0.9982300884955753	0.9982300884955753	0.9982300884955753	(Long.MAX_VALUE)> 0	_
org.joda.time.tz.DateTimeZoneBuilder#RuleSet#getLastRuleSet#?#320	0.9982300884955753	0.9982300884955753	0.9982300884955753	!(iRuleSets.size() == 0)	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#toDateTimeZone#?,String,boolean#383	0.9982300884955753	0.9982300884955753	0.9982300884955753	!(transitions.size() == 0)	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#toDateTimeZone#?,String,boolean#349	0.9982300884955753	0.9982300884955753	0.9982300884955753	!(i < ruleSetCount)	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#toDateTimeZone#?,String,boolean#352	0.9982300884955753	0.9982300884955753	0.9982300884955753	!(next == null)	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#toDateTimeZone#?,String,boolean#357	0.9982300884955753	0.9982300884955753	0.9982300884955753	saveMillis == i	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZone#toDateTimeZone#?,String,boolean#333	0.9982300884955753	0.9982300884955753	0.9982300884955753	!(id == null)	_
org.joda.time.tz.DateTimeZoneBuilder$Transition#long#getMillis#?#906	0.9982300884955753	0.9982300884955753	0.9982300884955753	(iMillis)!= 0	_
org.joda.time.tz.DateTimeZoneBuilder#DateTimeZoneBuilder#addCutover#?,int,char,int,int,int,boolean,int#252	0.9982300884955753	0.9982300884955753	0.9982300884955753	!(iRuleSets.size() > 0)	_
org.joda.time.PeriodType#PeriodType#yearMonthDay#?#164	0.9972215205860067	0.9989878542510122	0.9981046874185094	type == null	_
org.joda.time.chrono.BasicYearDateTimeField#long#add#?,long,int#59	0.9952104865137383	0.998735137869972	0.9969728121918552	(instant)< 0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#next#?,long,int,int#550	0.9932075471698113	1.0	0.9966037735849056	offset >= saveMillis	_
org.joda.time.chrono.BasicGJChronology#long#getYearDifference#?,long,long#161	0.9919597989949748	0.9924585218702866	0.9922091604326306	!(minuendRem >= FEB_29 && isLeapYear(minuendYear))	_
org.joda.time.chrono.GregorianChronology#long#calculateFirstDayOfYearMillis#?,int#209	0.990715181932246	0.9914615770969363	0.9910883795145911	leapYears > year	_
org.joda.time.chrono.BasicChronology#int#getDayOfWeek#?,long#540	0.990715181932246	0.990715181932246	0.990715181932246	(7 + (int)((daysSince19700101 + 4) % 7))> 0	_
org.joda.time.chrono.BasicChronology#int#getDayOfWeek#?,long#539	0.9899699097291875	0.990715181932246	0.9903425458307167	daysSince19700101 < -3	_
org.joda.time.chrono.BasicChronology#int#getDayOfWeek#?,long#537	0.9899699097291875	0.9899699097291875	0.9899699097291875	daysSince19700101 > instant	_
org.joda.time.chrono.BasicGJChronology#long#getYearDifference#?,long,long#167	0.9820895522388059	0.9974734714502274	0.9897815118445166	minuendRem < subtrahendRem	_
org.joda.time.chrono.BasicGJChronology#long#getYearDifference#?,long,long#170	0.9820895522388059	0.9952104865137383	0.9886500193762722	(difference)<= 0	_
org.joda.time.chrono.BasicYearDateTimeField#long#getDifferenceAsLong#?,long,long#91	0.9806259314456035	0.9947089947089948	0.9876674630772991	(iChronology.getYearDifference(minuendInstant,subtrahendInstant))<= 0	_
org.joda.time.chrono.BasicGJChronology#long#getYearDifference#?,long,long#157	0.9823339139089327	0.9919597989949748	0.9871468564519537	!(isLeapYear(subtrahendYear))	_
org.joda.time.field.ImpreciseDateTimeField$LinkedDurationField#int#getDifference#?,long,long#190	0.9791666666666667	0.9944584382871535	0.9868125524769101	(ImpreciseDateTimeField.this.getDifference(minuendInstant,subtrahendInstant))== 0	_
org.joda.time.chrono.BaseChronology#int[]#get#?,ReadablePeriod,long,long#262	0.9777117384843983	0.9954614220877459	0.986586580286072	values[i] == size	_
org.joda.time.chrono.BasicChronology#int#getYear#?,long#402	0.9865067466266867	0.9865067466266867	0.9865067466266867	i2 != unitMillis	_
org.joda.time.DateTimeUtils$SystemMillisProvider#long#getMillis#?#515	0.9857677902621723	0.9857677902621723	0.9857677902621723	(System.currentTimeMillis())> 0	_
org.joda.time.field.ImpreciseDateTimeField#int#getDifference#?,long,long#91	0.9772277227722772	0.9934574735782586	0.9853425981752679	(FieldUtils.safeToInt(getDifferenceAsLong(minuendInstant,subtrahendInstant)))== 0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#?#OfYear#?,char,int,int,int,boolean,int#510	0.9842931937172775	0.9847842354701921	0.9845387145937348	iMonthOfYear < millisOfDay	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#?#OfYear#?,char,int,int,int,boolean,int#511	0.9842931937172775	0.9847842354701921	0.9845387145937348	iDayOfMonth < dayOfWeek	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#?#OfYear#?,char,int,int,int,boolean,int#512	0.9842931937172775	0.9847842354701921	0.9845387145937348	iDayOfWeek > dayOfMonth	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#?#OfYear#?,char,int,int,int,boolean,int#514	0.9842931937172775	0.9847842354701921	0.9845387145937348	iMillisOfDay > monthOfYear	_
org.joda.time.tz.DateTimeZoneBuilder$DSTZone#?#DSTZone#?,String,int,Recurrence,Recurrence#1177	0.9845386533665835	0.9845386533665835	0.9845386533665835	iStandardOffset == standardOffset	_
org.joda.time.field.ImpreciseDateTimeField$LinkedDurationField#long#add#?,long,int#182	0.9709788489916379	0.9979777553083924	0.9844783021500152	(ImpreciseDateTimeField.this.add(instant,value))< 0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#?#OfYear#?,char,int,int,int,boolean,int#509	0.9842931937172775	0.9842931937172775	0.9842931937172775	iMode >= mode	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#?#OfYear#?,char,int,int,int,boolean,int#505	0.9842931937172775	0.9842931937172775	0.9842931937172775	!(mode != 'u' && mode != 'w' && mode != 's')	_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#?#Recurrence#?,OfYear,String,int#750	0.9842931937172775	0.9842931937172775	0.9842931937172775	iSaveMillis >= saveMillis	_
org.joda.time.tz.CachedDateTimeZone#CachedDateTimeZone#forZone#?,DateTimeZone#68	0.9828230022404779	0.9830677290836652	0.9829453656620716	!(zone instanceof CachedDateTimeZone)	_
org.joda.time.chrono.BasicGJChronology#long#getYearDifference#?,long,long#156	0.9820895522388059	0.9823339139089327	0.9822117330738693	subtrahendRem >= FEB_29	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#getDifferenceAsLong#?,long,long#280	0.9808695652173913	0.9823339139089327	0.981601739563162	(difference)!= 0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#getDifferenceAsLong#?,long,long#276	0.9808695652173913	0.9818453121114151	0.9813574386644033	!(minuendRem < subtrahendRem)	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#getDifferenceAsLong#?,long,long#258	0.9808695652173913	0.9811133200795229	0.9809914426484572	!(minuendDom == iChronology.getDaysInYearMonth(minuendYear,minuendMonth))	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#getDifferenceAsLong#?,long,long#243	0.9808695652173913	0.9808695652173913	0.9808695652173913	!(minuendInstant < subtrahendInstant)	_
org.joda.time.Period#int#getYears#?#704	0.9719350073855244	0.9884827240861291	0.9802088657358268	(getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX))> 0	_
org.joda.time.chrono.BasicYearDateTimeField#long#getDifferenceAsLong#?,long,long#88	0.979652605459057	0.9806259314456035	0.9801392684523302	!(minuendInstant < subtrahendInstant)	_
org.joda.time.Period#int#getMonths#?#713	0.9719350073855244	0.9879879879879881	0.9799614976867563	(getPeriodType().getIndexedField(this,PeriodType.MONTH_INDEX))> 0	_
org.joda.time.chrono.BaseChronology#int[]#get#?,ReadablePeriod,long,long#261	0.9777117384843983	0.9811133200795229	0.9794125292819607	startInstant < endInstant	_
org.joda.time.chrono.BaseChronology#int[]#get#?,ReadablePeriod,long,long#258	0.9777117384843983	0.9777117384843983	0.9777117384843983	!(i < size)	_
org.joda.time.chrono.BaseChronology#int[]#get#?,ReadablePeriod,long,long#257	0.9757785467128027	0.9777117384843983	0.9767451425986005	startInstant != endInstant	_
org.joda.time.DateTimeZone#?#DateTimeZone#?,String#690	0.9745741792150087	0.9748148148148148	0.9746944970149117	!(id == null)	_
org.joda.time.chrono.BasicChronology#int#getMillisOfDay#?,long#554	0.9622227638313429	0.9801390268123138	0.9711808953218284	((DateTimeConstants.MILLIS_PER_DAY - 1) + (int)((instant + 1) % DateTimeConstants.MILLIS_PER_DAY))!= 0	_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#long#next#?,long,int,int#761	0.9426934097421205	0.998735137869972	0.9707142738060462	(iOfYear.next(instant,standardOffset,saveMillis))< 0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfMonthNext#?,Chronology,long#683	0.9426934097421205	0.998735137869972	0.9707142738060462	(next)< 0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#next#?,long,int,int#583	0.9426934097421205	0.998735137869972	0.9707142738060462	(next - offset)<= 0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#next#?,long,int,int#549	0.9426934097421205	0.9932075471698113	0.9679504784559658	iMode == 'w'	_
org.joda.time.field.PreciseDateTimeField#int#get#?,long#82	0.9554695062923523	0.9724137931034482	0.9639416496979003	(iRange - 1 + (int)(((instant + 1) / getUnitMillis()) % iRange))> 0	_
org.joda.time.chrono.BasicChronology#long#getYearMonthMillis#?,int,int#373	0.9322314049586776	0.9909638554216867	0.9615976301901822	(millis)< 0	_
org.joda.time.field.PreciseDurationField#long#getDifferenceAsLong#?,long,long#115	0.9522431259044862	0.9610516066212269	0.9566473662628565	(difference / iUnitMillis)> 0	_
org.joda.time.field.BaseDurationField#int#getDifference#?,long,long#141	0.9520135037376417	0.9610516066212269	0.9565325551794344	(FieldUtils.safeToInt(getDifferenceAsLong(minuendInstant,subtrahendInstant)))> 0	_
org.joda.time.chrono.GregorianChronology#long#calculateFirstDayOfYearMillis#?,int#203	0.9196366177498253	0.990715181932246	0.9551758998410356	year < 0	_
org.joda.time.chrono.BaseChronology#int[]#get#?,ReadablePeriod,long#278	0.9429185574396943	0.9650452212173063	0.9539818893285004	!(duration != 0)	_
org.joda.time.chrono.GregorianChronology#long#calculateFirstDayOfYearMillis#?,int#217	0.9196366177498253	0.9772277227722772	0.9484321702610512	((year * 365L + (leapYears - DAYS_0000_TO_1970)) * DateTimeConstants.MILLIS_PER_DAY)< 0	_
org.joda.time.field.FieldUtils#long#safeSubtract#?,long,long#106	0.9458552946813609	0.9478991596638654	0.9468772271726131	(diff)> 0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#next#?,long,int,int#576	0.9467625899280575	0.9467625899280575	0.9467625899280575	next != instant	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#next#?,long,int,int#578	0.9467625899280575	0.9467625899280575	0.9467625899280575	next > instant	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#next#?,long,int,int#577	0.9467625899280575	0.9467625899280575	0.9467625899280575	next >= instant	_
