line	original_score	max_predicate_score	total	predicate	label
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#316	0.16666666666666666	1.0	0.5833333333333334	!(dtz == null)	_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#313	0.16666666666666666	1.0	0.5833333333333334	convId != null	_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#314	1.0	0.0	0.5		_
org.joda.time.DateTimeZone#String#getConvertedId#?,String#560	0.16666666666666666	0.25	0.20833333333333331	map == null	_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#319	0.16666666666666666	0.2	0.18333333333333335	dtz != null	_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#302	0.16666666666666666	0.16666666666666666	0.16666666666666666	!(zone == null)	_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#306	0.16666666666666666	0.16666666666666666	0.16666666666666666	!(id.equals("UTC"))	_
org.joda.time.DateTimeZone#String#getConvertedId#?,String#569	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#568	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#567	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#566	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#565	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#564	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#563	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#562	0.25	0.0	0.125		_
org.joda.time.DateTimeZone#String#getConvertedId#?,String#590	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#593	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#594	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#591	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#592	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#595	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#589	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#588	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#587	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#586	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#585	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#584	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#583	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#582	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#581	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#580	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#578	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#577	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#579	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#574	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#573	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#576	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#575	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#570	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#572	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#String#getConvertedId#?,String#571	0.25	0.0	0.125		GT
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#320	0.2	0.0	0.1		_
org.joda.time.DateTimeZone#String#getConvertedId#?,String#559	0.16666666666666666	0.0	0.08333333333333333		_
org.joda.time.DateTimeZone#String#getConvertedId#?,String#597	0.16666666666666666	0.0	0.08333333333333333		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#305	0.16666666666666666	0.0	0.08333333333333333		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#311	0.16666666666666666	0.0	0.08333333333333333		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#312	0.16666666666666666	0.0	0.08333333333333333		_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#154	0.015873015873015872	0.015873015873015872	0.015873015873015872	tz != null	_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#150	0.015384615384615385	0.015873015873015872	0.01562881562881563	obj instanceof SoftReference<?>	_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#145	0.010309278350515464	0.015384615384615385	0.012846946867565424	!(id.equals(obj))	_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#141	0.009523809523809525	0.010309278350515464	0.009916543937162493	!(obj == null)	_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#136	0.009523809523809525	0.009523809523809525	0.009523809523809525	!(id == null)	_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#155	0.015873015873015872	0.0	0.007936507936507936		_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#153	0.015873015873015872	0.0	0.007936507936507936		_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#151	0.015873015873015872	0.0	0.007936507936507936		_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#140	0.009523809523809525	0.0	0.004761904761904762		_
org.joda.time.DateTimeZone#String#getID#?#705	0.0017793594306049821	0.0	8.896797153024911E-4		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#329	0.0	0.0	0.0		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#328	0.0	0.0	0.0		_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#147	0.0	0.0	0.0		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#325	0.0	0.0	0.0		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#324	0.0	0.0	0.0		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#327	0.0	0.0	0.0		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#326	0.0	0.0	0.0		_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#142	0.0	0.0	0.0		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#337	0.0	0.0	0.0		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#333	0.0	0.0	0.0		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#332	0.0	0.0	0.0		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#330	0.0	0.0	0.0		_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#162	0.0	0.0	0.0		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#303	0.0	0.0	0.0		_
org.joda.time.DateTimeZone#DateTimeZone#forTimeZone#?,TimeZone#307	0.0	0.0	0.0		_
