line	original_score	max_predicate_score	total	predicate	label
org.joda.time.tz.CachedDateTimeZone$Info#int#getStandardOffset#?,long#220	0.4	1.0	0.7	(iNextInfo.getStandardOffset(millis))> 0	_
org.joda.time.DateTime#DateTime#toDateTime#?,Chronology#519	0.6666666666666667	0.6666666666666667	0.6666666666666667	!(getChronology() == chronology)	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#int#getStandardOffset#?,long#1550	0.25	1.0	0.625	(iStandardOffsets[i])> 0	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#int#getStandardOffset#?,long#1555	0.19999999999999996	1.0	0.6	(iStandardOffsets[i - 1])>= 0	_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#150	0.03125	1.0	0.515625	!(obj instanceof SoftReference<?>)	_
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset#void#printTo#?,StringBuffer,long,Chronology,int,DateTimeZone,Locale#2115	0.030303030303030276	1.0	0.5151515151515151	displayOffset >= hours	_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#162	1.0	0.0	0.5		_
org.joda.time.tz.CachedDateTimeZone$Info#int#getStandardOffset#?,long#218	0.2857142857142857	0.5	0.39285714285714285	(iStandardOffset)>= 0	_
org.joda.time.tz.CachedDateTimeZone#int#getStandardOffset#?,long#115	0.2857142857142857	0.5	0.39285714285714285	(getInfo(instant).getStandardOffset(instant))> 0	_
org.joda.time.tz.CachedDateTimeZone$Info#int#getStandardOffset#?,long#214	0.2857142857142857	0.4	0.34285714285714286	!(iNextInfo == null || millis < iNextInfo.iPeriodStart)	_
org.joda.time.DateTime#DateTime#withMinuteOfHour#?,int#1662	0.6666666666666667	0.0	0.33333333333333337		_
org.joda.time.DateTime#DateTime#toDateTime#?,Chronology#518	0.6666666666666667	0.0	0.33333333333333337		_
org.joda.time.DateTime#DateTime#toDateTime#?,Chronology#522	0.6666666666666667	0.0	0.33333333333333337		_
org.joda.time.DateTimeZone#DateTimeZone#forOffsetHoursMinutes#?,int,int#266	0.09999999999999998	0.5	0.3	minutesOffset > hoursInMinutes	_
org.joda.time.tz.CachedDateTimeZone$Info#int#getStandardOffset#?,long#215	0.2857142857142857	0.2857142857142857	0.2857142857142857	iStandardOffset == Integer.MIN_VALUE	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#int#getStandardOffset#?,long#1549	0.2857142857142857	0.2857142857142857	0.2857142857142857	!(i >= 0)	_
