line	original_score	max_predicate_score	total	predicate	label
org.joda.time.PeriodType#boolean#setIndexedField#?,ReadablePeriod,int,int[],int#689	0.3333333333333333	0.7071067811865476	0.5202200572599405	realIndex == -1	_
org.joda.time.Period#Period#normalizedStandard#?,PeriodType#1630	0.5	0.5222329678670935	0.5111164839335467	years != 0	GT
org.joda.time.Period#Period#normalizedStandard#?,PeriodType#1629	0.5	0.5	0.5	months >= years	GT
org.joda.time.PeriodType#PeriodType#months#?#373	0.5477225575051661	0.4364357804719848	0.4920791689885754	!(type == null)	_
org.joda.time.Period#Period#normalizedStandard#?,PeriodType#1628	0.4629100498862757	0.5	0.48145502494313785	years != months	GT
org.joda.time.Period#Period#normalizedStandard#?,PeriodType#1627	0.39735970711951313	0.4629100498862757	0.43013487850289445	years != 0 || months != 0	_
org.joda.time.PeriodType#boolean#setIndexedField#?,ReadablePeriod,int,int[],int#690	0.7071067811865476	0.0	0.3535533905932738		_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#549	0.23570226039551587	0.4082482904638631	0.32197527542968946	!(list.remove(DurationFieldType.days()) == false)	_
org.joda.time.PeriodType#PeriodType#yearWeekDay#?#223	0.2886751345948129	0.3333333333333333	0.3110042339640731	type == null	_
org.joda.time.PeriodType#PeriodType#yearDay#?#279	0.2886751345948129	0.3333333333333333	0.3110042339640731	type == null	_
org.joda.time.PeriodType#PeriodType#months#?#381	0.5477225575051661	0.0	0.27386127875258304		_
org.joda.time.PeriodType#PeriodType#months#?#372	0.5477225575051661	0.0	0.27386127875258304		_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#571	0.2581988897471611	0.2886751345948129	0.27343701217098704	!(checkedType != null)	_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#511	0.20412414523193154	0.3333333333333333	0.2687287392826324	cache.isEmpty()	_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#546	0.23570226039551587	0.2886751345948129	0.2621886974951644	!(list.remove(DurationFieldType.weeks()) == false)	_
org.joda.time.Period#Period#normalizedStandard#?,PeriodType#1631	0.5222329678670935	0.0	0.26111648393354675		GT
org.joda.time.Period#Period#withYears#?,int#896	0.5	0.0	0.25		_
org.joda.time.Period#Period#withYears#?,int#895	0.5	0.0	0.25		_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#564	0.23570226039551587	0.2581988897471611	0.2469505750713385	!(list.size() > 0)	_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#552	0.23570226039551587	0.2581988897471611	0.2469505750713385	list.remove(DurationFieldType.hours()) == false	_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#540	0.23570226039551587	0.2581988897471611	0.2469505750713385	list.remove(DurationFieldType.years()) == false	_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#543	0.23570226039551587	0.2581988897471611	0.2469505750713385	!(list.remove(DurationFieldType.months()) == false)	_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#535	0.23570226039551587	0.23570226039551587	0.23570226039551587	!(cached != null)	_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#561	0.23570226039551587	0.23570226039551587	0.23570226039551587	list.remove(DurationFieldType.millis()) == false	_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#558	0.23570226039551587	0.23570226039551587	0.23570226039551587	list.remove(DurationFieldType.seconds()) == false	_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#555	0.23570226039551587	0.23570226039551587	0.23570226039551587	list.remove(DurationFieldType.minutes()) == false	_
org.joda.time.DurationFieldType$StandardDurationFieldType#boolean#equals#?,Object#269	0.23570226039551587	0.23570226039551587	0.23570226039551587	obj instanceof StandardDurationFieldType	_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#532	0.20412414523193154	0.23570226039551587	0.2199132028137237	!(cached instanceof PeriodType)	_
org.joda.time.PeriodType#PeriodType#years#?#355	0.19245008972987526	0.2182178902359924	0.20533398998293384	!(type == null)	_
org.joda.time.PeriodType#PeriodType#weeks#?#391	0.16666666666666666	0.23570226039551587	0.20118446353109126	!(type == null)	_
org.joda.time.Period#Period#normalizedStandard#?,PeriodType#1626	0.39735970711951313	0.0	0.19867985355975656		_
org.joda.time.Period#Period#normalizedStandard#?,PeriodType#1625	0.39735970711951313	0.0	0.19867985355975656		_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#505	0.19245008972987526	0.20412414523193154	0.19828711748090339	!(i < types.length)	_
org.joda.time.PeriodType#PeriodType#yearWeekDayTime#?#194	0.16012815380508713	0.23570226039551587	0.1979152071003015	type == null	_
org.joda.time.PeriodType#PeriodType#yearMonthDay#?#164	0.16012815380508713	0.23570226039551587	0.1979152071003015	type == null	_
org.joda.time.Period#int#getYears#?#737	0.15811388300841897	0.23570226039551584	0.1969080717019674	(getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX))!= 0	_
org.joda.time.Period#int#getMonths#?#746	0.15811388300841897	0.23570226039551584	0.1969080717019674	(getPeriodType().getIndexedField(this,PeriodType.MONTH_INDEX))> 0	_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#506	0.19245008972987526	0.19245008972987526	0.19245008972987526	!(types[i] == null)	_
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#502	0.19245008972987526	0.19245008972987526	0.19245008972987526	!(types == null || types.length == 0)	_
org.joda.time.Period#Period#normalizedStandard#?,PeriodType#1624	0.3779644730092272	0.0	0.1889822365046136		_
org.joda.time.Period#Period#normalizedStandard#?,PeriodType#1623	0.3779644730092272	0.0	0.1889822365046136		_
org.joda.time.Period#Period#normalizedStandard#?,PeriodType#1622	0.3779644730092272	0.0	0.1889822365046136		_
org.joda.time.Period#Period#normalizedStandard#?,PeriodType#1621	0.3779644730092272	0.0	0.1889822365046136		_
org.joda.time.Period#Period#normalizedStandard#?,PeriodType#1620	0.3779644730092272	0.0	0.1889822365046136		_
