line	original_score	max_predicate_score	total	predicate	label
org.joda.time.DateTimeZone#DateTimeZone#forID#?,String#217	0.9979848866498741	0.9997481108312343	0.9988664987405542	offset == 0L	_
org.joda.time.DateTimeZone#int#parseOffset#?,String#643	0.9974811083123426	0.9994962216624685	0.9984886649874056	(-(int)offsetFormatter().withChronology(chrono).parseMillis(str))== 0	_
org.joda.time.DateTimeZone#DateTimeZone#forOffsetHoursMinutes#?,int,int#288	0.9962216624685138	0.9997481108312343	0.9979848866498741	minutesOffset > hoursInMinutes	_
org.joda.time.DateTimeZone#DateTimeZone#forID#?,String#215	0.9979848866498741	0.9979848866498741	0.9979848866498741	id.startsWith("+") || id.startsWith("-")	_
org.joda.time.DateTimeZone#DateTimeZone#forOffsetHoursMinutes#?,int,int#279	0.9952141057934509	1.0	0.9976070528967255	minutesOffset < 0 || minutesOffset > 59	GT
org.joda.time.DateTimeZone#DateTimeZone#forOffsetHoursMinutes#?,int,int#273	0.9952141057934509	0.9997481108312343	0.9974811083123426	hoursOffset == 0 && minutesOffset == 0	_
org.joda.time.DateTimeZone#DateTimeFormatter#offsetFormatter#?#695	0.9974811083123426	0.9974811083123426	0.9974811083123426	!(cOffsetFormatter == null)	_
org.joda.time.DateTimeZone#DateTimeZone#forOffsetHoursMinutes#?,int,int#290	0.9952141057934509	0.9962216624685138	0.9957178841309824	offset >= minutesOffset	_
org.joda.time.DateTimeZone#DateTimeZone#forOffsetHoursMinutes#?,int,int#285	0.9952141057934509	0.9962216624685138	0.9957178841309824	!(hoursInMinutes < 0)	_
org.joda.time.DateTimeZone#DateTimeZone#forOffsetHoursMinutes#?,int,int#276	0.9952141057934509	0.9952141057934509	0.9952141057934509	!(hoursOffset < -23 || hoursOffset > 23)	_
org.joda.time.DateTimeZone#String#printOffset#?,int#671	0.9899244332493703	0.998992443324937	0.9944584382871536	offset != minutes	_
org.joda.time.DateTimeZone#String#printOffset#?,int#666	0.9899244332493703	0.9977329974811083	0.9938287153652393	offset == hours	_
org.joda.time.DateTimeZone#String#printOffset#?,int#657	0.9899244332493703	0.996977329974811	0.9934508816120906	!(offset >= 0)	_
org.joda.time.DateTimeZone#DateTimeZone#fixedOffsetZone#?,String,int#382	0.9906801007556675	0.9957178841309824	0.9931989924433249	!(ref != null)	_
org.joda.time.DateTimeZone#DateTimeZone#fixedOffsetZone#?,String,int#384	0.9929471032745592	0.9929471032745592	0.9929471032745592	zone != null	_
org.joda.time.DateTimeZone#DateTimeZone#forOffsetMillis#?,int#304	0.9926952141057934	0.9926952141057934	0.9926952141057934	!(millisOffset < -MAX_MILLIS || millisOffset > MAX_MILLIS)	_
org.joda.time.DateTimeZone#DateTimeZone#fixedOffsetZone#?,String,int#377	0.9906801007556675	0.992191435768262	0.9914357682619648	!(iFixedOffsetCache == null)	_
org.joda.time.DateTimeZone#DateTimeZone#fixedOffsetZone#?,String,int#374	0.9906801007556675	0.9906801007556675	0.9906801007556675	!(offset == 0)	_
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset#int#parseInto#?,DateTimeParserBucket,String,int#2341	0.981360201511335	0.998992443324937	0.9901763224181359	offset < position	_
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset#int#parseInto#?,DateTimeParserBucket,String,int#2342	0.981360201511335	0.998992443324937	0.9901763224181359	limit >= offset	_
