line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math3.distribution.LogNormalDistribution#double#sample#?#312	-5.247966413014956E-4	0.0	-2.623983206507478E-4		_
org.apache.commons.math3.util.FastMath#double#cos#?,double#2315	-5.247966413014956E-4	0.0	-2.623983206507478E-4		_
org.apache.commons.math3.util.FastMath#double#exp#?,double,double,double[]#873	-5.247966413014956E-4	0.0	-2.623983206507478E-4		_
org.apache.commons.math3.distribution.GammaDistribution#double#sample#?#416	-5.247966413014956E-4	0.0	-2.623983206507478E-4		_
org.apache.commons.math3.util.FastMath#double#sin#?,double#2256	-7.871949619522435E-4	0.0	-3.9359748097612176E-4		_
org.apache.commons.math3.util.FastMath#double#log#?,double,double[]#1149	-0.0013119916032537393	0.0	-6.559958016268696E-4		_
org.apache.commons.math3.distribution.NormalDistribution#double#sample#?#256	-0.0023615848858567303	0.0	-0.0011807924429283652		_
org.apache.commons.math3.distribution.AbstractRealDistribution#void#reseedRandomGenerator#?,long#247	-0.006297559695617948	0.0	-0.003148779847808974		_
org.apache.commons.math3.random.RandomDataGenerator#void#reSeed#?,long#648	-0.007871949619522435	0.0	-0.003935974809761217		_
org.apache.commons.math3.random.RandomDataImpl#void#reSeed#?,long#461	-0.007871949619522435	0.0	-0.003935974809761217		_
org.apache.commons.math3.random.RandomDataGenerator#void#initRan#?#725	-0.00839674626082393	0.0	-0.004198373130411965		_
org.apache.commons.math3.random.RandomDataGenerator#RandomGenerator#getRan#?#715	-0.00839674626082393	0.0	-0.004198373130411965		_
org.apache.commons.math3.random.Well19937c#?#Well19937c#?,long#79	-0.00839674626082393	0.0	-0.004198373130411965		_
org.apache.commons.math3.random.AbstractWell#?#AbstractWell#?,int,int,int,int,long#132	-0.010233534505379166	0.0	-0.005116767252689583		_
org.apache.commons.math3.random.Well19937c#int#next#?,int#111	-0.011283127787982157	0.0	-0.005641563893991079		_
org.apache.commons.math3.random.BitsStreamGenerator#double#nextGaussian#?#115	-0.01338231435318814	0.0	-0.00669115717659407		_
org.apache.commons.math3.util.FastMath$CodyWaite#?#CodyWaite#?,double#3838	-0.016268695880346365	0.0	-0.008134347940173182		_
org.apache.commons.math3.util.FastMathLiteralArrays#double[][]#loadLnMant#?#6174	-0.025715035423773288	0.0	-0.012857517711886644		_
org.apache.commons.math3.util.FastMathLiteralArrays#double[]#loadExpFracA#?#6158	-0.02781422198897927	0.0	-0.013907110994489635		_
org.apache.commons.math3.util.FastMathLiteralArrays#double[]#loadExpFracB#?#6166	-0.02781422198897927	0.0	-0.013907110994489635		_
org.apache.commons.math3.util.FastMathLiteralArrays#double[]#loadExpIntB#?#6150	-0.02781422198897927	0.0	-0.013907110994489635		_
org.apache.commons.math3.util.FastMathLiteralArrays#double[]#loadExpIntA#?#6142	-0.02781422198897927	0.0	-0.013907110994489635		_
org.apache.commons.math3.random.BitsStreamGenerator#double#nextDouble#?#87	-0.02807662030963002	0.0	-0.01403831015481501		_
org.apache.commons.math3.random.AbstractWell#void#setSeed#?,int[]#155	-0.04723169771713461	0.0	-0.023615848858567306		_
org.apache.commons.math3.random.AbstractWell#void#setSeed#?,long#179	-0.05011807924429284	0.0	-0.02505903962214642		_
org.apache.commons.math3.random.AbstractWell#?#AbstractWell#?,int,int,int,int,int[]#100	-0.05221726580949882	0.0	-0.02610863290474941		_
org.apache.commons.math3.random.BitsStreamGenerator#void#clear#?#167	-0.06481238520073472	0.0	-0.03240619260036736		_
org.apache.commons.math3.random.BitsStreamGenerator#?#BitsStreamGenerator#?#38	-0.06481238520073472	0.0	-0.03240619260036736		_
org.apache.commons.math3.util.FastMath$CodyWaite#int#getK#?#3850	-0.07058514825505116	0.0	-0.03529257412752558		_
org.apache.commons.math3.util.FastMath$CodyWaite#double#getRemB#?#3862	-0.07058514825505116	0.0	-0.03529257412752558		_
org.apache.commons.math3.util.FastMath$CodyWaite#double#getRemA#?#3856	-0.07058514825505116	0.0	-0.03529257412752558		_
org.apache.commons.math3.util.FastMath#double#cosQ#?,double,double#1841	-0.08265547100498556	0.0	-0.04132773550249278		_
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1824	-0.08291786932563631	0.0	-0.04145893466281816		_
org.apache.commons.math3.util.FastMath#double#polySine#?,double#1678	-0.08921542902125426	0.0	-0.04460771451062713		_
org.apache.commons.math3.util.FastMath#double#polyCosine#?,double#1698	-0.08921542902125426	0.0	-0.04460771451062713		_
org.apache.commons.math3.util.FastMath#double#exp#?,double#831	-0.10128575177118866	0.0	-0.05064287588559433		_
org.apache.commons.math3.util.FastMath#double#log#?,double#1120	-0.10233534505379166	0.0	-0.05116767252689583		_
org.apache.commons.math3.util.FastMath#double#sqrt#?,double#379	-0.27236945683547625	0.0	-0.13618472841773813		_
