line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#double#initializeStep#?,boolean,int,double[],double,double[],double[],double[],double[]#252	0.5	1.0	0.75	(forward ? initialStep : -initialStep)> 0	_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#void#setInitialStepSize#?,double#212	0.5	0.5	0.5	initialStep <= initialStepSize	_
org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#380	0.047619047619047616	0.5	0.27380952380952384	interpolatedDerivatives[i] == dot1	_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#void#setStepSizeControl#?,double,double,double,double#157	0.011627906976744186	0.3333333333333333	0.17248062015503876	minStep >= relativeTolerance	_
org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#void#integrate#?,ExpandableStatefulODE,double#254	0.025	0.25	0.13425925925925924	stepSize > error	_
org.apache.commons.math.ode.events.EventState#boolean#evaluateStep#?,StepInterpolator#267	0.058823529411764705	0.2	0.12631578947368421	ta < t1	_
org.apache.commons.math.ode.nonstiff.DormandPrince853Integrator#double#estimateError#?,double[][],double[],double[],double#275	0.041666666666666664	0.2	0.12083333333333333	error2 <= error1	_
org.apache.commons.math.util.FastMath#double#ceil#?,double#3373	0.09090909090909091	0.1111111111111111	0.10101010101010101	y < x	_
org.apache.commons.math.ode.events.EventState#boolean#reset#?,double,double[]#333	0.1111111111111111	0.1111111111111111	0.09126984126984126	nextAction == EventHandler.Action.RESET_STATE	_
org.apache.commons.math.ode.AbstractIntegrator#double#acceptStep#?,AbstractStepInterpolator,double[],double[],double#343	0.08333333333333333	0.08333333333333333	0.08333333333333333	(eventT)!= 0	GT
org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?#287	0.0625	0.06666666666666667	0.06458333333333333	(nextX)!= 0	_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#setSoftCurrentTime#?,double#334	0.0625	0.0625	0.0625	this.softCurrentTime >= softCurrentTime	_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#setSoftPreviousTime#?,double#320	0.0625	0.0625	0.0625	this.softPreviousTime == softPreviousTime	_
org.apache.commons.math.ode.events.EventState#void#stepAccepted#?,double,double[]#303	0.058823529411764705	0.058823529411764705	0.058823529411764705	previousEventTime >= t	_
org.apache.commons.math.ode.events.EventState#double#getEventTime#?#285	0.058823529411764705	0.058823529411764705	0.058823529411764705	(pendingEvent ? pendingEventTime : (forward ? Double.POSITIVE_INFINITY : Double.NEGATIVE_INFINITY))!= 0	_
org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver#double#solve#?,int,UnivariateRealFunction,double,double,AllowedSolution#386	0.05263157894736842	0.0625	0.05756578947368421	(super.solve(maxEval,f,min,max))> 0	_
org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolator#void#doFinalize#?#405	0.047619047619047616	0.058823529411764705	0.05322128851540616	yTmp[j] > pT	_
org.apache.commons.math.ode.events.EventState#?#EventState#?,EventHandler,double,double,int,UnivariateRealSolver#106	0.05263157894736842	0.05263157894736842	0.05263157894736842	this.maxIterationCount == maxIterationCount	_
org.apache.commons.math.ode.events.EventState#void#reinitializeBegin#?,StepInterpolator#157	0.05263157894736842	0.05263157894736842	0.05263157894736842	!(g0 == 0)	_
org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver#double#guessX#?,double,double[],double[],int,int#375	0.043478260869565216	0.043478260869565216	0.043478260869565216	x0 > targetY	_
org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolator#void#reinitialize#?,AbstractIntegrator,double[],double[][],boolean,EquationsMapper,EquationsMapper[]#298	0.041666666666666664	0.041666666666666664	0.041666666666666664	k < v.length	_
org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolator#?#DormandPrince853StepInterpolator#?,DormandPrince853StepInterpolator#246	0.041666666666666664	0.041666666666666664	0.041666666666666664	interpolator.currentState == null	_
org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver#?#BracketingNthOrderBrentSolver#?,double,int#86	0.04	0.04	0.04	this.maximalOrder >= maximalOrder	_
org.apache.commons.math.ode.nonstiff.DormandPrince853Integrator#int#getOrder#?#247	0.038461538461538464	0.038461538461538464	0.038461538461538464	(8)>= 0	_
