line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#VectorialPointValuePair#doOptimize#?#390	0.045454545454545414	1.0	0.5217391304347826	lmPar >= xNorm	_
org.apache.commons.math.optimization.fitting.GaussianFitter$ParameterGuesser#WeightedObservedPoint[]#getInterpolationPointsForY#?,WeightedObservedPoint[],int,int,double#274	0.33333333333333337	0.33333333333333337	0.33333333333333337	minY > maxY	_
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#void#determineLMParameter#?,double[],double,double[],double[],double[],double[]#533	0.0625	0.5	0.275	parl > dxNorm	_
org.apache.commons.math.analysis.function.Gaussian$Parametric#void#validateParameters#?,double[]#182	0.33333333333333337	0.33333333333333337	0.21666666666666667	param[2] <= 0	_
org.apache.commons.math.optimization.fitting.WeightedObservedPoint#?#WeightedObservedPoint#?,double,double,double#48	0.04761904761904767	0.33333333333333337	0.19047619047619052	this.weight == x	_
org.apache.commons.math.optimization.fitting.GaussianFitter$ParameterGuesser#double[]#basicGuess#?,WeightedObservedPoint[]#183	0.33333333333333337	0.16666666666666663	0.16666666666666669		_
org.apache.commons.math.optimization.fitting.GaussianFitter$ParameterGuesser#int#findMaxY#?,WeightedObservedPoint[]#199	0.16666666666666663	0.16666666666666663	0.16666666666666663	points[i].getY() > points[maxYIdx].getY()	_
org.apache.commons.math.optimization.fitting.GaussianFitter$ParameterGuesser#double#interpolateXAtY#?,WeightedObservedPoint[],int,int,double#223	0.16666666666666663	0.16666666666666663	0.16666666666666663	!(idxStep == 0)	_
org.apache.commons.math.optimization.fitting.GaussianFitter$ParameterGuesser#double[]#guess#?#156	0.16666666666666663	0.16666666666666663	0.16666666666666663	parameters == null	_
org.apache.commons.math.optimization.fitting.GaussianFitter$ParameterGuesser#?#ParameterGuesser#?,WeightedObservedPoint[]#144	0.16666666666666663	0.16666666666666663	0.14583333333333331	!(observations.length < 3)	_
org.apache.commons.math.analysis.function.Gaussian$Parametric#double#value#?,double,double[]#132	0.1428571428571429	0.1428571428571429	0.1428571428571429	(Gaussian.value(diff,param[0],i2s2))> 0	_
org.apache.commons.math.analysis.function.Gaussian#double#value#?,double,double,double#197	0.07692307692307687	0.09999999999999998	0.08846153846153842	(norm * FastMath.exp(-xMinusMean * xMinusMean * i2s2))> 0	_
org.apache.commons.math.optimization.fitting.WeightedObservedPoint#double#getX#?#64	0.050000000000000044	0.125	0.08750000000000002	(x)== 0	_
org.apache.commons.math.optimization.fitting.GaussianFitter#double[]#fit#?#121	0.16666666666666663	0.0	0.08333333333333331		GT
org.apache.commons.math.optimization.fitting.GaussianFitter$ParameterGuesser#boolean#isBetween#?,double,double,double#291	0.16666666666666663	0.0	0.08333333333333331		_
org.apache.commons.math.optimization.fitting.GaussianFitter$ParameterGuesser#Comparator<WeightedObservedPoint>#createWeightedObservedPointComparator#?#302	0.16666666666666663	0.0	0.08333333333333331		_
org.apache.commons.math.analysis.function.Gaussian$Parametric#double[]#gradient#?,double,double[]#161	0.1428571428571429	0.0	0.07142857142857145		_
org.apache.commons.math.optimization.fitting.GaussianFitter#?#GaussianFitter#?,DifferentiableMultivariateVectorialOptimizer#68	0.125	0.0	0.0625		_
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#void#determineLMDirection#?,double[],double[],double[],double[]#688	0.04761904761904767	0.07692307692307687	0.06227106227106227	cos > dpj	_
org.apache.commons.math.optimization.fitting.WeightedObservedPoint#double#getY#?#71	0.050000000000000044	0.052631578947368474	0.05131578947368426	(y)!= 0	_
org.apache.commons.math.optimization.fitting.WeightedObservedPoint#double#getWeight#?#57	0.050000000000000044	0.050000000000000044	0.050000000000000044	(weight)> 0	_
org.apache.commons.math.optimization.fitting.CurveFitter#void#addObservedPoint#?,double,double#67	0.09999999999999998	0.0	0.04999999999999999		_
org.apache.commons.math.optimization.fitting.CurveFitter#WeightedObservedPoint[]#getObservations#?#100	0.09090909090909094	0.0	0.04545454545454547		_
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#void#qrDecomposition#?#828	0.022222222222222254	0.06666666666666665	0.04375000000000001	weightedResidualJacobian[j][permutation[k + dk]] >= ak2	_
