line	original_score	max_predicate_score	total	predicate	label
org.joda.time.format.DateTimeParserBucket$SavedField#int#compareTo#?,SavedField#488	0.4666666666666667	0.5384615384615384	0.5025641025641026	(compareReverse(iField.getDurationField(),other.getDurationField()))< 0	_
org.joda.time.chrono.GJChronology#long#getDateTimeMillis#?,int,int,int,int#338	0.4117647058823529	0.4117647058823529	0.4117647058823529	!(instant < iCutoverMillis)	_
org.joda.time.format.DateTimeFormat#void#parsePatternTo#?,DateTimeFormatterBuilder,String#530	0.6666666666666667	0.05555555555555558	0.33333333333333337		_
org.joda.time.chrono.BasicChronology#int#getWeekOfWeekyear#?,long,int#518	0.30434782608695654	0.30434782608695654	0.30434782608695654	(getWeeksInYear(year - 1))!= 0	_
org.joda.time.LocalDate#int#get#?,DateTimeFieldType#496	0.30434782608695654	0.30434782608695654	0.30434782608695654	(fieldType.getField(getChronology()).get(getLocalMillis()))!= 0	_
org.joda.time.LocalDate#boolean#isSupported#?,DateTimeFieldType#512	0.2592592592592593	0.2592592592592593	0.25031928480204346	DATE_DURATION_TYPES.contains(durType) || durType.getField(getChronology()).getUnitMillis() >= getChronology().days().getUnitMillis()	_
org.joda.time.LocalDate#String#toString#?#1735	0.4666666666666667	0.0	0.23333333333333334		_
org.joda.time.field.BaseDurationField#int#compareTo#?,DurationField#150	0.21875	0.21875	0.21875	(0)>= 0	_
org.joda.time.format.DateTimeFormatter#LocalDateTime#parseLocalDateTime#?,String#803	0.19999999999999996	0.19999999999999996	0.19999999999999996	bucket.getZone() == null	_
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField#int#getMaximumValueForSet#?,long,int#111	0.18918918918918914	0.18918918918918914	0.18918918918918914	(value > 52 ? getMaximumValue(instant) : 52)>= 0	_
org.joda.time.format.DateTimeParserBucket#int#compareReverse#?,DurationField,DurationField#503	0.037234042553191515	0.33333333333333337	0.18012820512820515	(-a.compareTo(b))== 0	_
org.joda.time.chrono.GJChronology$CutoverField#long#roundFloor#?,long#853	0.17500000000000004	0.22580645161290325	0.17500000000000004	!(instant < iCutover)	_
org.joda.time.format.DateTimeParserBucket#int#getOffset#?#173	0.16279069767441856	0.1842105263157895	0.17350061199510403	(iOffset)<= 0	_
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField#long#roundFloor#?,long#65	0.125	0.21212121212121215	0.16856060606060608	(super.roundFloor(instant + 3 * DateTimeConstants.MILLIS_PER_DAY) - 3 * DateTimeConstants.MILLIS_PER_DAY)>= 0	_
org.joda.time.chrono.BasicWeekyearDateTimeField#long#set#?,long,int#180	0.16666666666666663	0.16666666666666663	0.16666666666666663	workInstant != instant	_
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField#int#getMinimumValue#?#79	0.16666666666666663	0.16666666666666663	0.16666666666666663	(1)> 0	_
org.joda.time.DateTimeZone#DateTimeZone#fixedOffsetZone#?,String,int#349	0.17948717948717952	0.17948717948717952	0.14712063892391763	offset == 0	_
org.joda.time.chrono.BasicChronology#int#getWeekyear#?,long#498	0.1428571428571429	0.1428571428571429	0.1428571428571429	(getYear(instant - (2 * DateTimeConstants.MILLIS_PER_WEEK)))!= 0	_
org.joda.time.DateTimeZone#String#printOffset#?,int#645	0.11290322580645162	0.17500000000000004	0.14218750000000002	offset == hours	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#yearMonthDay#?#1326	0.09333333333333338	0.18918918918918914	0.14126126126126126	!(ymd == null)	_
org.joda.time.format.DateTimeFormatter#LocalDate#parseLocalDate#?,String#759	0.28	0.0	0.14		_
org.joda.time.LocalDateTime#LocalDate#toLocalDate#?#698	0.2692307692307693	0.0	0.13461538461538464		_
org.joda.time.chrono.GJChronology$CutoverField#int#get#?,long#632	0.13461538461538458	0.13461538461538458	0.13461538461538458	(iGregorianField.get(instant))!= 0	_
org.joda.time.LocalDate#boolean#equals#?,Object#575	0.13461538461538458	0.13461538461538458	0.13212250712250712	iChronology.equals(other.iChronology)	_
org.joda.time.chrono.GJChronology#boolean#equals#?,Object#404	0.25	0.0	0.125		_
org.joda.time.chrono.GJChronology#GJChronology#getInstanceUTC#?#123	0.24137931034482762	0.0	0.12068965517241381		_
org.joda.time.chrono.BasicChronology#int#getWeeksInYear#?,int#329	0.11864406779661019	0.11864406779661019	0.11864406779661019	((int)((firstWeekMillis2 - firstWeekMillis1) / DateTimeConstants.MILLIS_PER_WEEK))>= 0	_
org.joda.time.chrono.GJChronology#Chronology#withZone#?,DateTimeZone#320	0.11111111111111116	0.11111111111111116	0.10858585858585862	zone == getZone()	_
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField#int#get#?,long#54	0.1029411764705882	0.1029411764705882	0.1029411764705882	(iChronology.getWeekOfWeekyear(instant))> 0	_
org.joda.time.chrono.GJChronology$CutoverField#long#set#?,long,int#724	0.0482758620689655	0.14583333333333337	0.09705459770114944	(instant)> 0	_
org.joda.time.chrono.BasicChronology#long#getFirstWeekOfYearMillis#?,int#344	0.08139534883720934	0.10447761194029848	0.0929364803887539	(jan1millis + (8 - jan1dayOfWeek) * (long)DateTimeConstants.MILLIS_PER_DAY)> 0	_
org.joda.time.chrono.GJChronology#GJChronology#getInstance#?,DateTimeZone,ReadableInstant,int#206	0.09210526315789469	0.09210526315789469	0.09210526315789469	minDaysInFirstWeek == chrono.getMinimumDaysInFirstWeek() && cutoverInstant.equals(chrono.getGregorianCutover())	_
org.joda.time.chrono.GJChronology#int#getMinimumDaysInFirstWeek#?#393	0.09210526315789469	0.09210526315789469	0.09210526315789469	(iGregorianChronology.getMinimumDaysInFirstWeek())!= 0	_
org.joda.time.LocalDate#?#LocalDate#?,long,Chronology#285	0.07216494845360821	0.109375	0.0907699742268041	iLocalMillis == localMillis	_
org.joda.time.chrono.BasicWeekyearDateTimeField#long#roundFloor#?,long#239	0.061224489795918324	0.11538461538461542	0.08830455259026687	(instant)> 0	_
org.joda.time.format.DateTimeParserBucket#DateTimeZone#getZone#?#152	0.15909090909090906	0.0	0.07954545454545453		_
org.joda.time.chrono.BasicChronology#int#getWeekOfWeekyear#?,long#508	0.06930693069306926	0.06930693069306926	0.06930693069306926	(getWeekOfWeekyear(instant,getYear(instant)))>= 0	_
org.joda.time.field.DecoratedDurationField#long#getUnitMillis#?#101	0.06666666666666665	0.06666666666666665	0.06666666666666665	(iField.getUnitMillis())!= 0	_
org.joda.time.DateTimeZone#DateTimeZone#forOffsetMillis#?,int#283	0.13207547169811318	0.0	0.06603773584905659		_
org.joda.time.chrono.GJChronology#DateTimeZone#getZone#?#293	0.06481481481481477	0.06481481481481477	0.06157407407407406	!((base=getBase()) != null)	_
org.joda.time.LocalDateTime#?#LocalDateTime#?,long,Chronology#278	0.05384615384615388	0.06481481481481477	0.05933048433048432	iLocalMillis <= instant	_
org.joda.time.DateTimeUtils#DateTimeZone#getZone#?,DateTimeZone#269	0.06140350877192979	0.06140350877192979	0.0580455043859649	!(zone == null)	_
org.joda.time.DateTimeFieldType$StandardDateTimeFieldType#DateTimeField#getField#?,Chronology#504	0.11475409836065575	0.0	0.05737704918032788		_
org.joda.time.format.DateTimeFormatterBuilder$Composite#void#printTo#?,StringBuffer,ReadablePartial,Locale#2551	0.05691056910569103	0.05691056910569103	0.05691056910569103	locale == null	_
org.joda.time.chrono.GJChronology$CutoverField#DurationField#getRangeDurationField#?#755	0.11290322580645162	0.0	0.05645161290322581		_
org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber#void#printTo#?,StringBuffer,ReadablePartial,Locale#1427	0.05600000000000005	0.05600000000000005	0.05600000000000005	partial.isSupported(iFieldType)	_
org.joda.time.base.AbstractInstant#boolean#equals#?,Object#259	0.08974358974358976	0.08974358974358976	0.05584358170565068	this == readableInstant	_
org.joda.time.chrono.GJChronology$CutoverField#DurationField#getDurationField#?#751	0.11111111111111116	0.0	0.05555555555555558		_
org.joda.time.chrono.BasicChronology#int#getMinimumDaysInFirstWeek#?#185	0.05555555555555558	0.05555555555555558	0.05555555555555558	(iMinDaysInFirstWeek)> 0	_
org.joda.time.format.DateTimeFormatter#void#printTo#?,StringBuffer,ReadablePartial#532	0.055118110236220486	0.055118110236220486	0.055118110236220486	!(partial == null)	_
org.joda.time.chrono.GJChronology#Chronology#withUTC#?#307	0.10769230769230764	0.0	0.05384615384615382		_
org.joda.time.format.DateTimeFormatterBuilder$NumberFormatter#int#parseInto#?,DateTimeParserBucket,String,int#1316	0.030701754385964897	0.08139534883720934	0.05285045219638246	value < length	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#date#?#854	0.10447761194029848	0.0	0.05223880597014924		_
org.joda.time.LocalDate#?#LocalDate#?,int,int,int,Chronology#400	0.04861111111111116	0.04861111111111116	0.04861111111111116	iLocalMillis <= instant	_
org.joda.time.format.DateTimeFormat#boolean#isNumericToken#?,String#633	0.04761904761904767	0.046511627906976716	0.046511627906976716	tokenLen > 0	_
org.joda.time.chrono.GJChronology#Instant#getGregorianCutover#?#384	0.09210526315789469	0.0	0.046052631578947345		_
org.joda.time.Instant#Instant#toInstant#?#131	0.09090909090909094	0.0	0.04545454545454547		_
org.joda.time.LocalDate#long#getLocalMillis#?#548	0.042944785276073594	0.046666666666666634	0.044805725971370114	(iLocalMillis)> 0	_
org.joda.time.format.DateTimeFormat#DateTimeFormatter#createFormatterForPattern#?,String#674	0.044303797468354444	0.04402515723270439	0.04402515723270439	!(pattern == null || pattern.length() == 0)	_
org.joda.time.field.PreciseDurationDateTimeField#int#getMaximumValueForSet#?,long,int#163	0.04347826086956519	0.04347826086956519	0.04347826086956519	(getMaximumValue(instant))!= 0	_
org.joda.time.LocalDateTime#long#getLocalMillis#?#586	0.037837837837837784	0.04268292682926833	0.04026038233355306	(iLocalMillis)> 0	_
org.joda.time.chrono.BasicChronology#int#getDayOfWeek#?,long#535	0.009957325746799417	0.06976744186046513	0.03986238380363227	daysSince19700101 == instant	_
org.joda.time.DateTimeZone#long#getMillisKeepLocal#?,DateTimeZone,long#1031	0.035175879396984966	0.042424242424242475	0.03880006091061372	(oldInstant)> 0	_
org.joda.time.chrono.BasicWeekyearDateTimeField#int#get#?,long#60	0.038461538461538436	0.038461538461538436	0.038461538461538436	(iChronology.getWeekyear(instant))>= 0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#roundFloor#?,long#345	0.03482587064676612	0.037837837837837784	0.03633185424230195	(iChronology.getYearMonthMillis(year,month))> 0	_
org.joda.time.format.DateTimeFormatter#DateTimeFormatter#withChronology#?,Chronology#255	0.038461538461538436	0.038461538461538436	0.035818446955887706	!(iChrono == chrono)	_
org.joda.time.chrono.GJDayOfWeekDateTimeField#int#getMaximumValue#?#112	0.03529411764705881	0.03529411764705881	0.03529411764705881	(DateTimeConstants.SUNDAY)>= 0	_
org.joda.time.chrono.GJDayOfWeekDateTimeField#int#getMinimumValue#?#103	0.03488372093023251	0.03488372093023251	0.03488372093023251	(DateTimeConstants.MONDAY)> 0	_
org.joda.time.chrono.BasicChronology#long#getDateTimeMillis#?,int,int,int,int#159	0.02491103202846978	0.042944785276073594	0.03392790865227169	(getDateMidnightMillis(year,monthOfYear,dayOfMonth) + millisOfDay)>= 0	_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendWeekOfWeekyear#?,int#757	0.0625	0.0	0.03125		_
org.joda.time.format.DateTimeFormatterBuilder$Composite#int#parseInto#?,DateTimeParserBucket,String,int#2591	0.023178807947019875	0.03431372549019607	0.02874626671860797	position == len	_
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral#void#printTo#?,StringBuffer,ReadablePartial,Locale#1161	0.05691056910569103	0.0	0.028455284552845517		_
org.joda.time.tz.FixedDateTimeZone#int#hashCode#?#102	0.027888446215139417	0.028225806451612878	0.028057126333376148	(getID().hashCode() + 37 * iStandardOffset + 31 * iWallOffset)>= 0	_
org.joda.time.format.DateTimeParserBucket#long#computeMillis#?,boolean,String#362	0.03056768558951961	0.03056768558951961	0.02796500221504966	iZone == null	GT
org.joda.time.format.DateTimeFormatter#String#print#?,ReadablePartial#612	0.05555555555555558	0.0	0.02777777777777779		_
org.joda.time.format.DateTimeParserBucket$SavedField#long#set#?,long,boolean#473	0.027131782945736482	0.028455284552845517	0.027435189446234076	(millis)> 0	_
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral#int#parseInto#?,DateTimeParserBucket,String,int#1192	0.026819923371647514	0.026819923371647514	0.026819923371647514	(position + 1)> 0	_
org.joda.time.chrono.BasicChronology#long#getYearMonthMillis#?,int,int#373	0.02583025830258301	0.027559055118110187	0.026694656710346598	(millis)> 0	_
org.joda.time.field.BaseDateTimeField#int#getMaximumValue#?,long#792	0.026548672566371723	0.026548672566371723	0.026548672566371723	(getMaximumValue())!= 0	_
org.joda.time.format.DateTimeParserBucket#void#sort#?,SavedField[],int#402	0.026415094339622636	0.026415094339622636	0.026415094339622636	i < high	_
org.joda.time.format.DateTimeFormat#String#parseToken#?,String,int[]#611	0.02631578947368418	0.02631578947368418	0.026144907723855082	!inLiteral && (c >= 'A' && c <= 'Z' || c >= 'a' && c <= 'z')	_
org.joda.time.format.DateTimeFormatter#Chronology#selectChronology#?,Chronology#916	0.03867403314917128	0.03867403314917128	0.024461467526269376	iChrono != null	_
org.joda.time.format.DateTimeParserBucket#void#saveField#?,SavedField#263	0.023972602739726012	0.023972602739726012	0.023972602739726012	iSavedFieldsCount > savedFieldsCount	_
org.joda.time.format.DateTimeParserBucket$SavedField#?#SavedField#?,DateTimeField,int#452	0.023972602739726012	0.023972602739726012	0.023972602739726012	iValue == value	_
org.joda.time.format.DateTimeFormatter#?#DateTimeFormatter#?,DateTimePrinter,DateTimeParser,Locale,boolean,Chronology,DateTimeZone,Integer,int#134	0.022875816993464082	0.022875816993464082	0.022875816993464082	iDefaultYear == defaultYear	_
org.joda.time.format.DateTimeParserBucket#?#DateTimeParserBucket#?,long,Chronology,Locale,Integer,int#125	0.02208201892744477	0.02208201892744477	0.02208201892744477	iDefaultYear == defaultYear	_
org.joda.time.format.DateTimeFormatter#DateTimeParser#requireParser#?#901	0.02208201892744477	0.02208201892744477	0.02208201892744477	!(parser == null)	_
org.joda.time.format.DateTimeFormat#DateTimeFormatter#forPattern#?,String#170	0.04402515723270439	0.0	0.022012578616352196		_
org.joda.time.LocalDate#Chronology#getChronology#?#557	0.03977272727272729	0.0	0.019886363636363646		_
org.joda.time.chrono.BasicYearDateTimeField#long#roundFloor#?,long#123	0.018433179723502335	0.020618556701030966	0.01952586821226665	(iChronology.getYearMillis(get(instant)))> 0	_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendSignedDecimal#?,DateTimeFieldType,int,int#457	0.018867924528301883	0.018867924528301883	0.018608274190756446	!(minDigits <= 1)	_
org.joda.time.LocalDateTime#Chronology#getChronology#?#595	0.03626943005181349	0.0	0.018134715025906745		_
org.joda.time.format.FormatUtils#void#appendPaddedInteger#?,StringBuffer,int,int#82	0.016949152542372836	0.016949152542372836	0.016928682551379637	value < 10000	_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendWeekyear#?,int,int#769	0.033333333333333326	0.0	0.016666666666666663		_
org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber#?#PaddedNumber#?,DateTimeFieldType,int,boolean,int#1397	0.00952380952380949	0.020408163265306145	0.014965986394557818	iMinPrintedDigits != maxParsedDigits	_
org.joda.time.field.PreciseDurationDateTimeField#long#roundFloor#?,long#93	0.014403292181069949	0.014644351464435101	0.014523821822752525	(instant - instant % iUnitMillis)!= 0	_
org.joda.time.format.DateTimeFormatterBuilder$Composite#int#estimatePrintedLength#?#2504	0.014170040485829927	0.014170040485829927	0.014170040485829927	(iPrintedLengthEstimate)>= 0	_
org.joda.time.field.ImpreciseDateTimeField$LinkedDurationField#long#getUnitMillis#?#160	0.014170040485829927	0.014170040485829927	0.014170040485829927	(iUnitMillis)!= 0	_
org.joda.time.chrono.BasicGJChronology#long#setYear#?,long,int#179	0.007972665148063829	0.019718309859154903	0.013845487503609366	!(dayOfYear > (31 + 28))	_
org.joda.time.format.DateTimeFormatter#DateTimePrinter#requirePrinter#?#656	0.013182674199623379	0.013182674199623379	0.013182674199623379	!(printer == null)	_
org.joda.time.chrono.BasicChronology#int#getYear#?,long#422	0.012820512820512775	0.012820512820512775	0.012820512820512775	yearStart <= instant	_
org.joda.time.chrono.BasicChronology#int#getMillisOfDay#?,long#552	0.007407407407407418	0.017199017199017175	0.012303212303212296	((int)(instant % DateTimeConstants.MILLIS_PER_DAY))<= 0	_
org.joda.time.chrono.GregorianChronology#long#calculateFirstDayOfYearMillis#?,int#212	0.01526717557251911	0.01526717557251911	0.012263217415889205	isLeapYear(year)	_
org.joda.time.format.DateTimeParserBucket#void#saveField#?,DateTimeFieldType,int#234	0.023972602739726012	0.0	0.011986301369863006		_
org.joda.time.format.DateTimeParserBucket#void#setZone#?,DateTimeZone#164	0.02208201892744477	0.0	0.011041009463722384		_
org.joda.time.format.DateTimeFormatterBuilder$Composite#?#Composite#?,List<Object>#2481	0.0074906367041198685	0.01273885350318471	0.01011474510365229	printEst > size	_
org.joda.time.field.PreciseDurationField#long#getUnitMillis#?#63	0.010086455331412059	0.010086455331412059	0.010086455331412059	(iUnitMillis)!= 0	_
org.joda.time.chrono.AssembledChronology#DateTimeField#weekOfWeekyear#?#240	0.019444444444444486	0.0	0.009722222222222243		_
org.joda.time.DateTimeFieldType#DateTimeFieldType#millisOfDay#?#173	0.01933701657458564	0.0	0.00966850828729282		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendDecimal#?,DateTimeFieldType,int,int#405	0.010204081632653073	0.010204081632653073	0.009586345749061975	!(minDigits <= 1)	_
org.joda.time.chrono.BasicChronology#long#getYearMillis#?,int#360	0.004590163934426239	0.014344262295082011	0.009467213114754125	(getYearInfo(year).iFirstDayMillis)== 0	_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendMonthOfYear#?,int#779	0.01851851851851849	0.0	0.009259259259259245		_
org.joda.time.field.BaseDateTimeField#boolean#isSupported#?#69	0.01754385964912286	0.0	0.00877192982456143		_
org.joda.time.chrono.BasicGJChronology#long#getTotalMillisByYearMonth#?,int,int#140	0.007727975270479082	0.009554140127388533	0.008641057698933807	(MAX_TOTAL_MILLIS_BY_MONTH_ARRAY[month - 1])== 0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#set#?,long,int#303	0.008027522935779796	0.0090673575129534	0.008547440224366598	(iChronology.getYearMonthDayMillis(thisYear,month,thisDom) + iChronology.getMillisOfDay(instant))> 0	_
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral#?#CharacterLiteral#?,char#1141	0.008438818565400852	0.008438818565400852	0.008438818565400852	iValue == value	_
org.joda.time.DateTimeFieldType$StandardDateTimeFieldType#DurationFieldType#getDurationType#?#452	0.016867469879518038	0.0	0.008433734939759019		_
org.joda.time.format.DateTimeFormatterBuilder$NumberFormatter#?#NumberFormatter#?,DateTimeFieldType,int,boolean#1254	0.008368200836820106	0.008368200836820106	0.008368200836820106	iMaxParsedDigits == maxParsedDigits	_
org.joda.time.field.PreciseDurationDateTimeField#long#set#?,long,int#80	0.0078125	0.008883248730964466	0.008347874365482233	(instant + (value - get(instant)) * iUnitMillis)> 0	_
org.joda.time.chrono.BasicChronology#int#getMonthOfYear#?,long#435	0.008235294117647007	0.008235294117647007	0.008235294117647007	(getMonthOfYear(millis,getYear(millis)))> 0	_
