line	original_score	max_predicate_score	total	predicate	label
org.joda.time.PeriodType#PeriodType#months#?#373	0.9982574060243964	0.9981331673926571	0.9981952867085268	!(type == null)	_
org.joda.time.PeriodType#PeriodType#yearWeekDay#?#223	0.9985059760956175	0.9985059760956175	0.9981333065349947	type == null	_
org.joda.time.PeriodType#PeriodType#yearDay#?#279	0.9985059760956175	0.9985059760956175	0.9981333065349947	type == null	_
org.joda.time.Period#Period#normalizedStandard#?,PeriodType#1630	0.9980089596814335	0.9980089596814335	0.9978847983279027	years != 0	GT
org.joda.time.PeriodType#PeriodType#forFields#?,DurationFieldType[]#549	0.9985059760956175	0.9992524296037878	0.9977628607646268	!(list.remove(DurationFieldType.days()) == false)	_
org.joda.time.PeriodType#boolean#setIndexedField#?,ReadablePeriod,int,int[],int#689	0.9992524296037877	0.9992524296037877	0.9966514998787406	realIndex == -1	_
org.joda.time.DurationFieldType$StandardDurationFieldType#boolean#equals#?,Object#269	0.9962732919254659	0.9962732919254659	0.9962732919254659	obj instanceof StandardDurationFieldType	_
org.joda.time.PeriodType#PeriodType#years#?#355	0.9940505701536936	0.9955312810327706	0.9947909255932321	!(type == null)	_
org.joda.time.PeriodType#PeriodType#weeks#?#391	0.9918377442493198	0.9962732919254659	0.9940555180873929	!(type == null)	_
org.joda.time.PeriodType#PeriodType#yearMonthDay#?#164	0.9962732919254659	0.9962732919254659	0.99368780760386	type == null	_
org.joda.time.PeriodType#PeriodType#yearWeekDayTime#?#194	0.9962732919254659	0.9962732919254659	0.99368780760386	type == null	_
org.joda.time.PeriodType#PeriodType#hours#?#427	0.990367992096814	0.9940505701536936	0.9922092811252539	!(type == null)	_
org.joda.time.PeriodType#PeriodType#minutes#?#445	0.991102323282254	0.9933118652464702	0.9922070942643622	!(type == null)	_
org.joda.time.PeriodType#PeriodType#yearDayTime#?#252	0.9918377442493198	0.9925742574257426	0.9922060008375312	!(type == null)	_
org.joda.time.PeriodType#PeriodType#seconds#?#463	0.991102323282254	0.9925742574257426	0.9918382903539983	!(type == null)	_
org.joda.time.PeriodType#PeriodType#days#?#409	0.9889025893958077	0.9933118652464702	0.991107227321139	!(type == null)	_
org.joda.time.PeriodType#PeriodType#yearMonthDayTime#?#135	0.9823615874571288	0.9852579852579852	0.983809786357557	!(type == null)	_
org.joda.time.Period#int#getYears#?#737	0.971650109038042	0.991102323282254	0.981376216160148	(getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX))< 0	_
org.joda.time.PeriodType#PeriodType#withFieldRemoved#?,int,String#816	0.9845322857844341	0.991102323282254	0.9799676873719798	indices[i] != i	_
org.joda.time.Period#int#getMonths#?#746	0.971650109038042	0.9874415168677665	0.9795458129529042	(getPeriodType().getIndexedField(this,PeriodType.MONTH_INDEX))> 0	_
org.joda.time.Period#int#getMinutes#?#783	0.9714147286821706	0.9840490797546013	0.977731904218386	(getPeriodType().getIndexedField(this,PeriodType.MINUTE_INDEX))== 0	_
org.joda.time.Period#int#getHours#?#774	0.9714147286821706	0.9835663478047583	0.9774905382434644	(getPeriodType().getIndexedField(this,PeriodType.HOUR_INDEX))== 0	_
org.joda.time.Period#int#getMillis#?#801	0.9714147286821706	0.9833251593918588	0.9773699440370147	(getPeriodType().getIndexedField(this,PeriodType.MILLI_INDEX))== 0	_
org.joda.time.Period#int#getSeconds#?#792	0.9709443099273608	0.9835663478047583	0.9772553288660595	(getPeriodType().getIndexedField(this,PeriodType.SECOND_INDEX))== 0	_
org.joda.time.Period#int#getDays#?#764	0.9714147286821706	0.9830840892375582	0.9772494089598645	(getPeriodType().getIndexedField(this,PeriodType.DAY_INDEX))== 0	_
org.joda.time.Period#int#getWeeks#?#755	0.9714147286821706	0.9823615874571288	0.9768881580696497	(getPeriodType().getIndexedField(this,PeriodType.WEEK_INDEX))> 0	_
org.joda.time.PeriodType#PeriodType#dayTime#?#306	0.975194552529183	0.9773336582988057	0.9762641054139943	!(type == null)	_
org.joda.time.PeriodType#int#hashCode#?#852	0.975194552529183	0.975194552529183	0.975194552529183	i < iTypes.length	_
org.joda.time.base.AbstractPeriod#int[]#getValues#?#97	0.969770253929867	0.9790039062500001	0.9743870800899336	result[i] == i	_
org.joda.time.PeriodType#PeriodType#millis#?#481	0.9695357833655707	0.972356935014549	0.9709463591900598	!(type == null)	_
org.joda.time.PeriodType#PeriodType#time#?#334	0.9577262956770958	0.9584130019120458	0.9580696487945708	!(type == null)	_
org.joda.time.PeriodType#int#getIndexedField#?,ReadablePeriod,int#675	0.9358226371061843	0.9674306393244873	0.9516266382153358	((realIndex == -1 ? 0 : period.getValue(realIndex)))< 0	_
org.joda.time.chrono.BaseChronology#int[]#get#?,ReadablePeriod,long#278	0.9435294117647058	0.961169702780441	0.945650157371035	!(duration != 0)	_
org.joda.time.base.BasePeriod#void#checkAndUpdate#?,DurationFieldType,int[],int#397	0.9291010194624651	0.9538534728829686	0.9414772461727169	values[index] < index	_
org.joda.time.base.BasePeriod#int#getValue#?,int#329	0.8828709819462791	0.9549892831626579	0.9189301325544685	(iValues[index])< 0	_
org.joda.time.base.AbstractPeriod#int#indexOf#?,DurationFieldType#137	0.9161526159469957	0.9207807118254879	0.9184666638862418	(getPeriodType().indexOf(type))> 0	_
org.joda.time.PeriodType#int#indexOf#?,DurationFieldType#650	0.9163619744058501	0.9203580445260501	0.9183600094659501	(i)!= 0	_
org.joda.time.field.FieldUtils#int#safeAdd#?,int,int#70	0.841199916089784	0.9773336582988057	0.9092667871942948	(sum)< 0	_
org.joda.time.DateTimeUtils#PeriodType#getPeriodType#?,PeriodType#318	0.9088848594741614	0.9088848594741614	0.901587835624681	!(type == null)	_
org.joda.time.field.FieldUtils#long#safeSubtract#?,long,long#106	0.845100105374078	0.9570405727923628	0.9010703390832204	(diff)== 0	_
org.joda.time.PeriodType#PeriodType#standard#?#103	0.8881506090808416	0.8903197158081706	0.8892351624445061	!(type == null)	_
org.joda.time.field.BaseDurationField#int#getDifference#?,long,long#141	0.8597770154373927	0.9064195298372514	0.883098272637322	(FieldUtils.safeToInt(getDifferenceAsLong(minuendInstant,subtrahendInstant)))== 0	_
org.joda.time.field.PreciseDurationField#long#getDifferenceAsLong#?,long,long#115	0.8603304012014589	0.9058052857465552	0.883067843474007	(difference / iUnitMillis)== 0	_
org.joda.time.base.AbstractPeriod#int#size#?#56	0.8828709819462791	0.8828709819462791	0.8828709819462791	(getPeriodType().size())> 0	_
org.joda.time.PeriodType#int#size#?#617	0.87478184991274	0.87478184991274	0.87478184991274	(iTypes.length)>= 0	_
org.joda.time.field.FieldUtils#int#safeToInt#?,long#204	0.8137175324675324	0.8819001539476578	0.8478088432075951	((int)value)== 0	_
org.joda.time.DurationFieldType$StandardDurationFieldType#int#hashCode#?#278	0.764391917651544	0.764391917651544	0.764391917651544	((1 << iOrdinal))!= 0	_
org.joda.time.field.PreciseDurationField#long#add#?,long,int#105	0.6054658009965272	0.6206469586751276	0.6130563798358275	(FieldUtils.safeAdd(instant,addition))> 0	_
org.joda.time.DateTimeUtils#Chronology#getChronology#?,Chronology#284	0.607852053963923	0.607852053963923	0.5916699994274264	!(chrono == null)	_
org.joda.time.field.FieldUtils#long#safeAdd#?,long,long#88	0.5667043527416619	0.5840372851733178	0.5753708189574898	(sum)> 0	_
org.joda.time.Period#Period#withYears#?,int#896	0.9977606369743717	0.0	0.49888031848718584		_
org.joda.time.Period#?#Period#?,long,PeriodType,Chronology#444	0.9940505701536936	0.0	0.4970252850768468		_
org.joda.time.PeriodType#PeriodType#withYearsRemoved#?#725	0.9940505701536936	0.0	0.4970252850768468		_
org.joda.time.PeriodType#PeriodType#withHoursRemoved#?#761	0.9933118652464702	0.0	0.4966559326232351		_
org.joda.time.PeriodType#PeriodType#withMinutesRemoved#?#770	0.9925742574257426	0.0	0.4962871287128713		_
org.joda.time.PeriodType#PeriodType#withSecondsRemoved#?#779	0.9889025893958077	0.0	0.49445129469790383		_
org.joda.time.PeriodType#PeriodType#withMillisRemoved#?#788	0.978048780487805	0.0	0.4890243902439025		_
org.joda.time.Period#?#Period#?,int,int,int,int,int,int,int,int#329	0.9593301435406699	0.0	0.47966507177033496		_
org.joda.time.PeriodType#String#getName#?#608	0.9556720686367969	0.0	0.47783603431839844		_
org.joda.time.base.BasePeriod#?#BasePeriod#?,long,PeriodType,Chronology#257	0.9529467680608364	0.0	0.4764733840304182		_
org.joda.time.field.ImpreciseDateTimeField$LinkedDurationField#boolean#isPrecise#?#157	0.9522678698646403	0.0	0.47613393493232015		_
org.joda.time.PeriodType#?#PeriodType#?,String,DurationFieldType[],int[]#595	0.9382311651848386	0.0	0.4691155825924193		_
org.joda.time.base.BasePeriod#?#BasePeriod#?,int,int,int,int,int,int,int,int,PeriodType#92	0.9382311651848385	0.0	0.46911558259241926		_
org.joda.time.base.BasePeriod#int[]#setPeriodInternal#?,int,int,int,int,int,int,int,int#459	0.9382311651848385	0.0	0.46911558259241926		_
org.joda.time.DurationFieldType#DurationFieldType#weeks#?#160	0.8999102333931778	0.0	0.4499551166965889		_
org.joda.time.base.BasePeriod#PeriodType#checkPeriodType#?,PeriodType#308	0.8948895335862531	0.0	0.44744476679312656		_
org.joda.time.DurationFieldType$StandardDurationFieldType#DurationField#getField#?,Chronology#296	0.8936928905727658	0.0	0.4468464452863829		_
org.joda.time.DurationFieldType#DurationFieldType#hours#?#132	0.8905174328225627	0.0	0.44525871641128134		_
org.joda.time.DurationFieldType#DurationFieldType#years#?#187	0.88972709119148	0.0	0.44486354559574		_
org.joda.time.DurationFieldType#DurationFieldType#minutes#?#123	0.8869719088697191	0.0	0.44348595443485955		_
org.joda.time.DurationFieldType#DurationFieldType#seconds#?#114	0.8797718297498902	0.0	0.4398859148749451		_
org.joda.time.base.AbstractPeriod#?#AbstractPeriod#?#45	0.8791931593948695	0.0	0.43959657969743476		_
org.joda.time.base.BasePeriod#PeriodType#getPeriodType#?#318	0.87784588441331	0.0	0.438922942206655		_
org.joda.time.DurationFieldType#DurationFieldType#millis#?#105	0.8706035605731653	0.0	0.4353017802865827		_
org.joda.time.DurationFieldType#DurationFieldType#months#?#178	0.8419063615368465	0.0	0.42095318076842325		_
org.joda.time.DurationFieldType#DurationFieldType#days#?#151	0.8321228470637062	0.0	0.4160614235318531		_
org.joda.time.field.PreciseDurationField#boolean#isPrecise#?#54	0.8232395811948264	0.0	0.4116197905974132		_
org.joda.time.base.AbstractPeriod#DurationFieldType#getFieldType#?,int#68	0.7896809767625049	0.0	0.39484048838125246		_
org.joda.time.chrono.ISOChronology#ISOChronology#getInstanceUTC#?#77	0.778187463613429	0.0	0.3890937318067145		_
org.joda.time.PeriodType#DurationFieldType#getFieldType#?,int#628	0.7768306857807051	0.0	0.38841534289035257		_
org.joda.time.chrono.AssembledChronology#DurationField#weeks#?#236	0.7402621377146021	0.0	0.37013106885730107		_
org.joda.time.chrono.AssembledChronology#DurationField#months#?#256	0.6267583619881212	0.0	0.3133791809940606		_
org.joda.time.chrono.AssembledChronology#DurationField#days#?#220	0.6140888208269525	0.0	0.30704441041347624		_
org.joda.time.chrono.AssembledChronology#void#setFields#?#372	0.0	0.0	0.0		_
