line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.renderer.category.StatisticalBarRenderer#void#drawHorizontalItem#?,Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,StatisticalCategoryDataset,int,int#354	1.0	1.0	1.0	!(entities != null)	GT
org.jfree.chart.renderer.category.StatisticalBarRenderer#void#drawItem#?,Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,int#207	1.0	1.0	0.92	orientation == PlotOrientation.HORIZONTAL	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#void#add#?,Number,Number,Comparable,Comparable#321	0.4	1.0	0.76	this.maximumRangeValueIncStdDev <= sd	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#int#getRowCount#?#264	0.6666666666666667	0.6666666666666667	0.6666666666666667	(this.data.getRowCount())!= 0	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Number#getMeanValue#?,int,int#110	0.6666666666666667	0.6666666666666667	0.6666666666666667	masd != null	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Number#getStdDevValue#?,int,int#172	0.6666666666666667	0.6666666666666667	0.6666666666666667	masd != null	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#int#getColumnCount#?#273	0.6666666666666667	0.6666666666666667	0.6666666666666667	(this.data.getColumnCount())> 0	_
org.jfree.chart.renderer.category.StatisticalBarRenderer#void#drawVerticalItem#?,Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,StatisticalCategoryDataset,int,int#392	0.6666666666666667	0.6666666666666667	0.6666666666666667	!(seriesCount > 1)	GT
org.jfree.chart.renderer.category.BarRenderer#void#calculateBarWidth#?,CategoryPlot,Rectangle2D,int,CategoryItemRendererState#539	0.5	0.8	0.64	!(rows > 1)	_
org.jfree.chart.axis.AxisState#double#getCursor#?#91	0.08163265306122447	1.0	0.6326530612244897	(this.cursor)< 0	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Range#getRangeBounds#?,boolean#379	0.5714285714285714	0.5714285714285714	0.5714285714285714	!Double.isNaN(this.minimumRangeValueIncStdDev) && !Double.isNaN(this.maximumRangeValueIncStdDev)	_
org.jfree.chart.renderer.category.BarRenderer#double#getLowerClip#?#459	0.5	0.5714285714285714	0.5428571428571428	(this.lowerClip)< 0	_
org.jfree.chart.renderer.category.BarRenderer#double#getUpperClip#?#470	0.5	0.5	0.5	(this.upperClip)>= 0	_
org.jfree.chart.axis.AxisState#void#cursorUp#?,double#130	0.1428571428571429	0.6666666666666667	0.4571428571428572	this.cursor <= units	_
org.jfree.data.Range#Range#expandToInclude#?,Range,double#234	0.36363636363636365	0.36363636363636365	0.36363636363636365	!(value > range.getUpperBound())	_
org.jfree.data.KeyedObjects#int#getIndex#?,Comparable#136	0.23529411764705888	0.4	0.3095652173913043	(result)> 0	_
org.jfree.data.KeyedObjects2D#void#setObject#?,Object,Comparable,Comparable#228	0.36363636363636365	0.36363636363636365	0.29818181818181816	rowIndex >= 0	_
org.jfree.chart.renderer.category.BarRenderer#double#getMaximumBarWidth#?#293	0.2857142857142857	0.2857142857142857	0.2857142857142857	(this.maximumBarWidth)>= 0	_
org.jfree.data.general.DatasetUtilities#Range#findRangeBounds#?,CategoryDataset,boolean#743	0.4	0.4	0.2671186440677966	dataset instanceof RangeInfo	_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#int#getRowCount#?#695	0.2666666666666667	0.2666666666666667	0.2666666666666667	(this.rowCount)!= 0	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Number#getValue#?,int,int#126	0.6666666666666667	0.0	0.2666666666666667		_
org.jfree.data.statistics.MeanAndStandardDeviation#Number#getStandardDeviation#?#104	0.6666666666666667	0.0	0.2666666666666667		_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Comparable#getColumnKey#?,int#215	0.6666666666666667	0.0	0.2666666666666667		_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#CategoryItemLabelGenerator#getItemLabelGenerator#?,int,int#297	0.2666666666666667	0.2666666666666667	0.2666666666666667	generator == null	_
org.jfree.data.KeyedObjects2D#Object#getObject#?,int,int#110	0.2666666666666667	0.2666666666666667	0.2666666666666667	rowData != null	_
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#Comparable#getRowKey#?,int#246	0.6666666666666667	0.0	0.2666666666666667		_
org.jfree.data.statistics.MeanAndStandardDeviation#Number#getMean#?#95	0.6666666666666667	0.0	0.2666666666666667		_
org.jfree.data.KeyedObjects2D#int#getColumnCount#?#95	0.25	0.2666666666666667	0.26	(this.columnKeys.size())!= 0	_
org.jfree.data.KeyedObjects2D#int#getRowCount#?#86	0.25	0.2666666666666667	0.26	(this.rowKeys.size())> 0	_
org.jfree.chart.axis.CategoryAxis#double#calculateCategoryGapSize#?,int,Rectangle2D,RectangleEdge#716	0.2222222222222222	0.3076923076923077	0.2512820512820513	(result)> 0	_
org.jfree.chart.renderer.category.BarRenderer#LegendItem#getLegendItem#?,int,int#674	0.25	0.25	0.25	!(getLegendItemToolTipGenerator() != null)	_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#CategoryAxis#getDomainAxis#?,CategoryPlot,int#1542	0.25	0.25	0.25	!(result == null)	_
org.jfree.chart.axis.CategoryAxis#double#calculateCategorySize#?,int,Rectangle2D,RectangleEdge#678	0.2222222222222222	0.2666666666666667	0.24888888888888894	result < available	_
org.jfree.chart.axis.CategoryAxis#double#getCategoryMargin#?#275	0.2222222222222222	0.25	0.23888888888888887	(this.categoryMargin)> 0	_
org.jfree.chart.renderer.category.CategoryItemRendererState#double#getBarWidth#?#82	0.21052631578947367	0.25	0.23421052631578948	(this.barWidth)> 0	_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#int#getPassCount#?#248	0.2222222222222222	0.2222222222222222	0.2222222222222222	(1)>= 0	_
org.jfree.data.KeyedObjects#Object#getObject#?,int#89	0.2222222222222222	0.2222222222222222	0.2222222222222222	item >= 0 && item < this.data.size()	_
org.jfree.chart.renderer.category.CategoryItemRendererState#void#setBarWidth#?,double#94	0.2222222222222222	0.2222222222222222	0.2222222222222222	this.barWidth <= width	_
org.jfree.chart.axis.ValueTick#double#getValue#?#112	0.08163265306122447	0.3076923076923077	0.21726844583987442	(this.value)< 0	_
org.jfree.chart.LegendItem#void#setFillPaintTransformer#?,GradientPaintTransformer#767	0.21052631578947367	0.21052631578947367	0.21052631578947367	!(transformer == null)	_
org.jfree.chart.axis.NumberAxis#double#calculateLowestVisibleTickValue#?#602	0.08510638297872342	0.2666666666666667	0.1940425531914894	(index * unit)< 0	_
org.jfree.chart.axis.CategoryAxis#double#getCategoryStart#?,int,int,Rectangle2D,RectangleEdge#605	0.18181818181818177	0.21052631578947367	0.19298245614035084	result >= categorySize	_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#void#drawRangeMarker#?,Graphics2D,CategoryPlot,ValueAxis,Marker,Rectangle2D#1028	0.19999999999999996	0.19999999999999996	0.18666666666666662	orientation == PlotOrientation.HORIZONTAL	_
org.jfree.chart.plot.CategoryPlot#boolean#render#?,Graphics2D,Rectangle2D,int,PlotRenderingInfo#2865	0.18181818181818177	0.18181818181818177	0.18181818181818177	column < columnCount	_
org.jfree.chart.axis.CategoryAxis#double#calculateTextBlockHeight#?,TextBlock,CategoryLabelPosition,Graphics2D#1095	0.18181818181818177	0.18181818181818177	0.18181818181818177	(h)>= 0	_
org.jfree.chart.axis.Axis#void#drawAxisLine#?,Graphics2D,double,Rectangle2D,RectangleEdge#1224	0.18181818181818177	0.18181818181818177	0.18181818181818177	edge == RectangleEdge.LEFT	_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#int#getColumnCount#?#705	0.18181818181818177	0.18181818181818177	0.18181818181818177	(this.columnCount)>= 0	_
org.jfree.chart.renderer.RendererState#EntityCollection#getEntityCollection#?#88	0.18181818181818177	0.18181818181818177	0.18181818181818177	!(owner != null)	_
