id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula
1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0
2	17.0	17.0	18.0	22.0	20.0	18.0	21.0	24.0	20.0	18.0	21.0	22.0	44.0	24.0	44.0	28.0	17.0	17.0	18.0	21.0
3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	10.0
5	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0
6	14.0	12.0	14.0	14.0	14.0	12.0	14.0	14.0	14.0	12.0	14.0	13.0	3.0	2.0	3.0	2.0	14.0	12.0	14.0	12.0
7	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
8	2.0	6.0	2.0	3.0	2.0	6.0	2.0	3.0	2.0	6.0	2.0	5.0	2.0	6.0	2.0	5.0	2.0	6.0	2.0	5.0
9	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0
10	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
12	6.0	56.0	6.0	9.0	6.0	56.0	6.0	9.0	6.0	56.0	6.0	9.0	6.0	56.0	6.0	25.0	6.0	56.0	6.0	25.0
13	4.0	6.0	6.0	3.0	4.0	6.0	6.0	6.0	4.0	6.0	6.0	3.0	4.0	6.0	6.0	3.0	4.0	6.0	6.0	3.0
