line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.TypeValidator#void#registerMismatch#?,JSType,JSType,JSError#687	0.16666666666666663	0.16666666666666663	0.16666666666666663	paramItA.hasNext() && paramItB.hasNext()	_
com.google.javascript.rhino.jstype.JSType#boolean#checkEquivalenceHelper#?,JSType,EquivalenceMethod#620	0.25	0.25	0.15012580594433084	isTemplateType() && that.isTemplateType()	_
com.google.javascript.jscomp.TypeInference#void#resolvedTemplateType#?,Map<TemplateType,JSType>,TemplateType,JSType#1148	0.19999999999999996	0.19999999999999996	0.13777777777777772	!(previous == null)	_
com.google.javascript.jscomp.TypeValidator#void#registerIfMismatch#?,JSType,JSType,JSError#699	0.0714285714285714	0.16666666666666663	0.12857142857142853	!(found != null && required != null && !found.isSubtype(required))	_
com.google.javascript.rhino.jstype.TemplateTypeMapReplacer#JSType#caseTemplateType#?,TemplateType#70	0.11764705882352944	0.11764705882352944	0.09725490196078432	hasVisitedType(type) || !replacements.hasTemplateType(type)	_
com.google.javascript.jscomp.TypeInference#void#updateTypeOfParameters#?,Node,FunctionType#1021	0.0357142857142857	0.125	0.08928571428571427	!(iArgument.isFunction() && iArgumentType.isFunctionType() && iArgument.getJSDocInfo() == null)	_
com.google.javascript.jscomp.TypeInference#Map<TemplateType,JSType>#inferTemplateTypesFromParameters#?,FunctionType,Node#1040	0.11111111111111116	0.11111111111111116	0.0746666666666667	NodeUtil.isGet(callTarget)	_
com.google.javascript.jscomp.TypeInference#void#maybeResolveTemplatedType#?,JSType,JSType,Map<TemplateType,JSType>#1077	0.0714285714285714	0.0714285714285714	0.06190476190476191	argFunctionType != null && argFunctionType.isSubtype(paramType)	_
com.google.javascript.jscomp.TypeInference#JSType#getPropertyType#?,JSType,String,Node,FlowScope#1354	0.09999999999999998	0.09999999999999998	0.060310197751066295	!restrictedObjType.getTemplateTypeMap().isEmpty() && propertyType.hasAnyTemplateTypes()	_
com.google.javascript.rhino.jstype.ModificationVisitor#JSType#caseFunctionType#?,FunctionType#94	0.09523809523809523	0.09523809523809523	0.057536170810507076	!type.isOrdinaryFunction()	_
com.google.javascript.jscomp.TypeInference#void#maybeResolveTemplateTypeFromNodes#?,Iterator<Node>,Iterator<Node>,Map<TemplateType,JSType>#1133	0.0444444444444444	0.046511627906976716	0.045684754521963786	!(declParam.isVarArgs())	_
com.google.javascript.rhino.jstype.ArrowType#boolean#isSubtype#?,JSType#120	0.0625	0.0625	0.037890625	thatParamType == null || !thatParamType.isSubtype(thisParamType)	_
com.google.javascript.jscomp.TypeValidator#String#getReadableJSTypeName#?,Node,boolean#753	0.0357142857142857	0.0357142857142857	0.0357142857142857	objectType != null && !objectType.hasOwnProperty(propName)	_
com.google.javascript.rhino.jstype.ModificationVisitor#JSType#caseUnionType#?,UnionType#205	0.040000000000000036	0.040000000000000036	0.0330909090909091	replacement != alternative	_
com.google.javascript.jscomp.FunctionTypeBuilder#FunctionTypeBuilder#inferInheritance#?,JSDocInfo#352	0.04878048780487809	0.04878048780487809	0.029639350196841496	isConstructor || isInterface	_
com.google.javascript.rhino.jstype.TemplateTypeMap#boolean#hasTemplateKey#?,TemplateType#114	0.0444444444444444	0.0444444444444444	0.02703841387856254	entry == templateKey	_
com.google.javascript.jscomp.TypeInference#void#backwardsInferenceFromCallSite#?,Node,FunctionType#966	0.04347826086956519	0.04347826086956519	0.026705194543377428	updatedFnType	_
com.google.javascript.rhino.jstype.TemplateTypeMapReplacer#boolean#hasVisitedType#?,TemplateType#99	0.06666666666666665	0.0	0.02666666666666666		_
com.google.javascript.jscomp.TypeInference#void#maybeResolveTemplateTypeFromNodes#?,Iterable<Node>,Iterable<Node>,Map<TemplateType,JSType>#1119	0.0444444444444444	0.0	0.01777777777777776		_
com.google.javascript.jscomp.TypeInference$TemplateTypeReplacer#JSType#caseTemplateType#?,TemplateType#1172	0.04347826086956519	0.0	0.017391304347826077		_
com.google.javascript.rhino.jstype.JSType#JSType#collapseUnion#?#900	0.040000000000000036	0.0	0.016000000000000014		_
com.google.javascript.rhino.jstype.ModificationVisitor#JSType#caseObjectType#?,ObjectType#147	0.037735849056603765	0.0	0.015094339622641506		_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseFunctionType#?,JsDocToken#1986	0.0066225165562914245	0.01754385964912286	0.013175322411990287	!(isThis || isNew)	_
com.google.javascript.jscomp.TypeInference#boolean#inferTemplatedTypesForCall#?,Node,FunctionType#1187	0.020000000000000018	0.020000000000000018	0.012618238021638329	!(keys.isEmpty())	GT
com.google.javascript.jscomp.ClosureCodingConvention#Bind#describeFunctionBind#?,Node,boolean#401	0.0029112081513827937	0.014705882352941124	0.009664749180429233	!(name != null)	_
com.google.javascript.jscomp.JSError#String#toString#?#203	0.023809523809523836	0.0	0.009523809523809535		_
com.google.javascript.jscomp.CodingConventions$DefaultCodingConvention#Bind#describeFunctionBind#?,Node,boolean#431	0.0029069767441860517	0.014285714285714235	0.009409124906507093	!(name != null)	_
com.google.javascript.rhino.jstype.ObjectType#T#visit#?,Visitor<T>#512	0.023255813953488413	0.0	0.009302325581395366		_
com.google.javascript.rhino.jstype.JSTypeRegistry#JSType#createFromTypeNodesInternal#?,Node,String,StaticScope<JSType>#1739	0.0092592592592593	0.010204081632653073	0.00868055555555558	!(arg.getType() == Token.EQUALS)	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseResultType#?,JsDocToken#2138	0.00877192982456143	0.00877192982456143	0.008624502432551973	!(match(JsDocToken.STRING) && "void".equals(stream.getString()))	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseParametersType#?,JsDocToken#2101	0.007299270072992692	0.008547008547008517	0.008047913157402187	!(match(JsDocToken.EQUALS))	_
com.google.javascript.jscomp.TypeInference$TemplateTypeReplacer#?#TemplateTypeReplacer#?,JSTypeRegistry,Map<TemplateType,JSType>#1166	0.020000000000000018	0.0	0.008000000000000007		_
com.google.javascript.rhino.jstype.ArrowType#boolean#checkArrowEquivalenceHelper#?,ArrowType,EquivalenceMethod#216	0.010526315789473717	0.010526315789473717	0.00667860126506743	!returnType.checkEquivalenceHelper(that.returnType,eqMethod)	_
com.google.javascript.rhino.jstype.FunctionType#String#toStringHelper#?,boolean#963	0.0037037037037036535	0.008403361344537785	0.006523498288204132	!(hasKnownTypeOfThis)	_
com.google.javascript.rhino.jstype.TemplateTypeMap#boolean#hasTemplateType#?,TemplateType#142	0.014184397163120588	0.0	0.005673758865248235		_
com.google.javascript.jscomp.TypeInference#FlowScope#dereferencePointer#?,Node,FlowScope#1310	7.680491551459445E-4	0.008547008547008517	0.0054349535944627995	!(n.isQualifiedName())	_
com.google.javascript.rhino.jstype.FunctionType#void#appendArgString#?,StringBuilder,Node,boolean#987	0.005952380952380931	0.005952380952380931	0.00534134007585334	!(p.isOptionalArg())	_
com.google.javascript.rhino.jstype.PrototypeObjectType#String#toStringHelper#?,boolean#227	0.006369426751592355	0.006369426751592355	0.005215384273951918	hasReferenceName()	_
com.google.javascript.jscomp.TypeValidator#void#expectArgumentMatchesParameter#?,NodeTraversal,Node,JSType,JSType,Node,int#425	0.005780346820809301	0.005780346820809301	0.004817280605133156	!argType.isSubtype(paramType)	_
com.google.javascript.rhino.jstype.NoObjectType#String#getReferenceName#?#100	0.011904761904761862	0.0	0.004761904761904745		_
com.google.javascript.rhino.Node#String#getQualifiedName#?#1581	0.007575757575757569	0.007575757575757569	0.004745404557951405	left == null	_
com.google.javascript.rhino.jstype.ProxyObjectType#boolean#isNominalType#?#169	0.010309278350515427	0.0	0.004123711340206171		_
