line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#Node#optimizeSubtree#?,Node#145	0.007751937984496124	Infinity	Infinity	!(result == node)	_
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#Node#tryFoldSimpleFunctionCall#?,Node#226	Infinity	Infinity	Infinity		GT
com.google.javascript.rhino.Node#NodeMismatch#checkTreeEqualsImpl#?,Node#1458	0.14285714285714285	0.14285714285714285	0.11434131617617856	res != null	_
com.google.javascript.rhino.Node#String#checkTreeEquals#?,Node#1429	0.14285714285714285	0.14285714285714285	0.11434125441345658	diff != null	_
com.google.javascript.rhino.Node#String#propToString#?,int#141	0.2	0.0	0.039999999999999994		_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#973	0.022222222222222223	0.043478260869565216	0.03811594202898551	!(lineno != -1)	_
com.google.javascript.rhino.Token#String#name#?,int#196	0.14285714285714285	0.0	0.028571428571428564		_
com.google.javascript.rhino.Node#int[]#getSortedPropTypes#?#885	0.022222222222222223	0.022222222222222223	0.02222222222222222	x != null	_
com.google.javascript.rhino.Node#void#toStringTreeHelper#?,Node,int,Appendable#1030	0.0196078431372549	0.0196078431372549	0.0196078431372549	i != level	_
com.google.javascript.rhino.Node$NodeMismatch#?#NodeMismatch#?,Node,Node#2148	0.09090909090909091	0.0	0.018181818181818177		_
com.google.javascript.rhino.IR#Node#add#?,Node,Node#390	0.05	0.0	0.009999999999999998		_
com.google.javascript.rhino.InputId#String#toString#?#74	0.05	0.0	0.009999999999999998		_
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#Node#tryFoldLiteralConstructor#?,Node#1375	0.007874015748031496	0.008130081300813009	0.008042526579111945	!(isASTNormalized() && Token.NAME == constructorNameNode.getType())	_
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#Node#tryFoldImmediateCallToBoundFunction#?,Node#237	0.007751937984496124	0.007751937984496124	0.007751937984496124	!(bind != null)	_
com.google.javascript.rhino.Node$IntPropListItem#String#toString#?#352	0.029411764705882353	0.0	0.005882352941176469		_
com.google.javascript.jscomp.PeepholeOptimizationsPass#void#visit#?,Node#190	0.005025125628140704	0.0064516129032258064	0.0056097208158541875	somethingChanged	_
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#Node#tryReplaceUndefined#?,Node#398	0.005025125628140704	0.005025125628140704	0.005025125628140704	!(isASTNormalized() && NodeUtil.isUndefined(n) && !NodeUtil.isLValue(n))	_
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#Node#tryReplaceIf#?,Node#306	0.004784688995215311	0.004784688995215311	0.004784688995215311	!(child.isIf())	_
com.google.javascript.rhino.Node$ObjectPropListItem#String#toString#?#320	0.022222222222222223	0.0	0.004444444444444444		_
com.google.javascript.jscomp.SourceFile#String#toString#?#303	0.022222222222222223	0.0	0.004444444444444444		_
com.google.javascript.rhino.Node#void#appendStringTree#?,Appendable#1025	0.018867924528301886	0.0	0.0037735849056603765		_
