line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.InlineCostEstimator$CompiledSizeEstimator#char#getLastChar#?#81	1.990684056428001	1.9908171413361724	1.990790524354538	(last)<= 0	_
com.google.javascript.jscomp.InlineCostEstimator$CompiledSizeEstimator#?#CompiledSizeEstimator#?,int#62	1.990684056428001	1.990684056428001	1.990684056428001	this.maxCost == costThreshhold	_
com.google.javascript.jscomp.InlineCostEstimator$CompiledSizeEstimator#int#getCost#?#71	1.990684056428001	1.990684056428001	1.990684056428001	(cost)> 0	_
com.google.javascript.jscomp.InlineCostEstimator#int#getCost#?,Node,int#48	1.990684056428001	1.990684056428001	1.990684056428001	(estimator.getCost())>= 0	_
com.google.javascript.jscomp.InlineCostEstimator$CompiledSizeEstimator#void#append#?,String#88	1.990684056428001	1.990684056428001	1.990684056428001	!(maxCost <= cost)	_
com.google.javascript.jscomp.CodeConsumer#void#endStatement#?,boolean#143	1.5381953686451957	1.5381953686451957	1.5381953686451957	statementStarted	_
com.google.javascript.jscomp.CodePrinter$MappedCodePrinter#char#getLastChar#?#207	1.5278147458078255	1.535134415757253	1.5336704817673676	((code.length() > 0) ? code.charAt(code.length() - 1) : '\0')== 0	_
com.google.javascript.jscomp.CodeConsumer#void#add#?,String#194	1.5284801703486823	1.5284801703486823	1.5284801703486823	!(c == '/' && getLastChar() == '/')	_
com.google.javascript.jscomp.CodeConsumer#void#maybeEndStatement#?#154	1.5271493212669682	1.5271493212669682	1.5271493212669682	!(statementNeedsEnded)	_
com.google.javascript.jscomp.CodeGenerator#void#add#?,Node,Context#384	1.6181793984562152	1.530609528879425	1.5266968325791856	preferLineBreaks	_
com.google.javascript.jscomp.CodePrinter$Builder#Builder#setLineLengthThreshold#?,int#613	1.5180995475113122	1.5180995475113122	1.5180995475113122	this.lineLengthThreshold >= threshold	_
com.google.javascript.jscomp.CodePrinter$CompactCodePrinter#void#endFile#?#516	1.5150385946233698	1.5150385946233698	1.5150385946233698	!preferLineBreakAtEndOfFile	_
com.google.javascript.jscomp.CodePrinter#String#toSource#?,Node,Format,boolean,boolean,int,SourceMap,SourceMap.DetailLevel,Charset,boolean#715	1.509049773755656	1.5158371040723981	1.5144796380090497	!(createSourceMap)	_
com.google.javascript.jscomp.CodePrinter$MappedCodePrinter#void#endSourceMapping#?,Node#114	1.509049773755656	1.5149055097151982	1.51373436252329	!(createSrcMap && !mappings.isEmpty() && mappings.peek().node == node)	_
com.google.javascript.jscomp.CodePrinter$MappedCodePrinter#void#startSourceMapping#?,Node#93	1.509049773755656	1.5149055097151982	1.51373436252329	!(createSrcMap && node.getSourceFileName() != null && node.getLineno() > 0 && sourceMapDetailLevel.apply(node))	_
com.google.javascript.jscomp.CodePrinter$MappedCodePrinter#?#MappedCodePrinter#?,int,boolean,SourceMap.DetailLevel#62	1.509049773755656	1.5091828586638276	1.5091562416821933	this.lineLengthThreshold == lineLengthThreshold	_
com.google.javascript.jscomp.CodePrinter$Builder#String#build#?#658	1.509049773755656	1.509049773755656	1.509049773755656	!(root == null)	_
com.google.javascript.jscomp.CodeGenerator#?#CodeGenerator#?,CodeConsumer,Charset#51	1.509049773755656	1.509049773755656	1.509049773755656	outputCharset == null || outputCharset == Charsets.US_ASCII	_
com.google.javascript.jscomp.Compiler#void#initOptions#?,CompilerOptions#245	1.4245408570668086	1.4245408570668086	1.421932392866649	outStream == null	_
com.google.javascript.rhino.Node#int#getChildCount#?#1410	1.1666223050306095	1.4291988288528081	1.3759382486026084	(c)== 0	_
com.google.javascript.jscomp.parsing.IRFactory#Node#transformTree#?,AstRoot,StaticSourceFile,String,Config,ErrorReporter#185	1.142267766835241	1.3839499600745275	1.3356135214266702	!(node.getComments() != null)	_
com.google.javascript.jscomp.parsing.IRFactory#int#transformTokenType#?,int#1313	1.2332978440244875	1.2332978440244875	1.2332978440244875	(Token.EXPR_RESULT)> 0	_
com.google.javascript.jscomp.parsing.TypeSafeDispatcher#T#process#?,AstNode#204	1.820335373968592	1.2332978440244875	1.2328187383550704	node instanceof ExpressionStatement	_
com.google.javascript.jscomp.ComposeWarningsGuard$GuardComparator#int#compare#?,WarningsGuard,WarningsGuard#65	1.1883151450625498	1.1883151450625498	1.1883151450625498	(priorityDiff)!= 0	_
com.google.javascript.jscomp.WarningsGuard#int#getPriority#?#84	1.1880489752462071	1.1880489752462071	1.1880489752462071	(Priority.DEFAULT.value)> 0	_
com.google.javascript.jscomp.ComposeWarningsGuard#void#addGuard#?,WarningsGuard#90	1.1856534468991216	1.185786531807293	1.1857599148256588	!(composeGuard.demoteErrors)	_
com.google.javascript.jscomp.SuppressDocWarningsGuard#int#getPriority#?#99	1.1856534468991216	1.1856534468991216	1.1856534468991216	(WarningsGuard.Priority.SUPPRESS_DOC.value)> 0	_
com.google.javascript.jscomp.Compiler#int#getErrorCount#?#2069	1.1743412297045515	1.1756720787862656	1.1754059089699227	(errorManager.getErrorCount())== 0	_
com.google.javascript.jscomp.parsing.IRFactory#void#maybeSetLengthFrom#?,Node,AstNode#371	1.142267766835241	1.1763375033271228	1.1695235560287465	!(config.isIdeMode)	_
com.google.javascript.jscomp.CompilerInput#Node#getAstRoot#?,AbstractCompiler#118	1.1656907106734096	1.1656907106734096	1.1656907106734096	root != null	_
com.google.javascript.rhino.InputId#int#hashCode#?#61	1.1630290125099814	1.1643598615916955	1.1640936917753526	(id.hashCode())< 0	_
com.google.javascript.jscomp.CompilerInput#?#CompilerInput#?,SourceAst,InputId,boolean#78	1.1636944370508384	1.1636944370508384	1.163667820069204	ast != null && ast.getSourceFile() != null	_
com.google.javascript.jscomp.PrepareAst$PrepareAnnotations#boolean#shouldTraverse#?,NodeTraversal,Node,Node#131	1.1606334841628958	1.1606334841628958	1.1606334841628958	!(n.isObjectLit())	_
