line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.analysis.solvers.BrentSolver#double#solve#?,UnivariateRealFunction,double,double#173	0.9990069513406157	0.9990069513406157	0.9989077943231129	!(Math.abs(yMax) <= functionValueAccuracy)	_
org.apache.commons.math.analysis.solvers.BrentSolver#double#solve#?,UnivariateRealFunction,double,double,double,double,double,double#283	0.9950544015825915	0.9985111662531017	0.9978198133189996	oldDelta < y0	_
org.apache.commons.math.ode.events.EventState#double#getEventTime#?#271	0.9603818615751789	0.9654510556621881	0.9644372168447862	(pendingEventTime)> 0	_
org.apache.commons.math.ode.events.EventState#boolean#evaluateStep#?,StepInterpolator#183	0.9603818615751789	0.964988009592326	0.9638835884082433	tb > ga	GT
org.apache.commons.math.ode.events.EventState#void#stepAccepted#?,double,double[]#286	0.9603818615751789	0.9645254074784276	0.9635135067171245	g0 < t	_
org.apache.commons.math.ode.events.EventState#void#reinitializeBegin#?,double,double[]#152	0.9594659036719122	0.9645254074784276	0.9635135067171245	g0 < tStart	_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#double#getCurrentTime#?#235	0.9558194774346794	0.9608404966571156	0.9598362928126283	(currentTime)>= 0	_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#storeTime#?,double#220	0.9499527856468367	0.9612995699952223	0.9590302131255452	h < t	_
org.apache.commons.math.ode.events.EventState#?#EventState#?,EventHandler,double,double,int#99	0.9567284831193533	0.9567284831193533	0.9567284831193534	this.maxIterationCount <= maxIterationCount	_
org.apache.commons.math.ConvergingAlgorithmImpl#void#setMaximalIterationCount#?,int#93	0.9558194774346794	0.9558194774346794	0.9558194774346795	maximalIterationCount <= count	_
org.apache.commons.math.ConvergingAlgorithmImpl#void#setAbsoluteAccuracy#?,double#78	0.9558194774346794	0.9558194774346794	0.9558194774346795	absoluteAccuracy <= accuracy	_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#double[]#getInterpolatedState#?#272	0.9540066382171645	0.9540066382171645	0.9540066382171645	dirtyState	_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#setInterpolatedTime#?,double#245	0.9499527856468367	0.9499527856468367	0.9499527856468367	interpolatedTime >= time	_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#void#setResult#?,double,int#141	0.9349442379182156	0.9349442379182156	0.9349442379182156	this.result == newResult	_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#void#verifyInterval#?,double,double#208	0.9327770050996755	0.9327770050996755	0.9327770050996755	!(lower >= upper)	_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#?#UnivariateRealSolverImpl#?,int,double#94	0.9289012003693444	0.9289012003693444	0.9289012003693444	this.defaultFunctionValueAccuracy <= defaultAbsoluteAccuracy	_
org.apache.commons.math.ConvergingAlgorithmImpl#?#ConvergingAlgorithmImpl#?,int,double#63	0.9183021451392058	0.9233593391463973	0.9223479003449591	this.defaultRelativeAccuracy < defaultAbsoluteAccuracy	_
org.apache.commons.math.ode.sampling.DummyStepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#99	0.9901574803149606	0.0	0.19803149606299209		_
org.apache.commons.math.ode.sampling.DummyStepInterpolator#?#DummyStepInterpolator#?,double[],boolean#66	0.9886977886977887	0.0	0.1977395577395577		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#?#AbstractStepInterpolator#?,double[],boolean#120	0.9848262359275576	0.0	0.19696524718551148		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#boolean#isForward#?#251	0.9585516912815626	0.0	0.19171033825631248		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#shift#?#211	0.9499527856468367	0.0	0.1899905571293673		_
org.apache.commons.math.analysis.solvers.BrentSolver#?#BrentSolver#?#56	0.9423887587822015	0.0	0.18847775175644027		_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#void#clearResult#?#165	0.9397477814105558	0.0	0.18794955628211113		_
org.apache.commons.math.MathRuntimeException#IllegalArgumentException#createIllegalArgumentException#?,String,Object#305	0.9099954771596562	0.0	0.1819990954319312		_
