line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.plot.CategoryPlot#void#setRenderer#?,CategoryItemRenderer#1612	0.25	0.0	0.25		_
org.jfree.chart.plot.CategoryPlot#void#setRenderer#?,int,CategoryItemRenderer,boolean#1662	0.14285714285714285	0.0	0.14285714285714285		_
org.jfree.chart.plot.CategoryPlot#void#setDataset#?,CategoryDataset#1338	0.07142857142857142	0.0	0.07142857142857142		_
org.jfree.chart.plot.CategoryPlot#?#CategoryPlot#?#566	0.07142857142857142	0.0	0.07142857142857142		_
org.jfree.chart.plot.CategoryPlot#int#getIndexOf#?,CategoryItemRenderer#1726	0.02702702702702703	0.02702702702702703	0.05405405405405406	(this.renderers.indexOf(renderer))<= 0	_
org.jfree.chart.plot.CategoryPlot#void#setDataset#?,int,CategoryDataset#1350	0.045454545454545456	0.0	0.045454545454545456		_
org.jfree.chart.util.SortOrder#?#SortOrder#?,String#74	0.043478260869565216	0.0	0.043478260869565216		_
org.jfree.chart.axis.CategoryAnchor#?#CategoryAnchor#?,String#75	0.04	0.0	0.04		_
org.jfree.chart.renderer.category.LineAndShapeRenderer#?#LineAndShapeRenderer#?#200	0.037037037037037035	0.0	0.037037037037037035		_
org.jfree.chart.LegendItemCollection#int#getItemCount#?#106	0.014084507042253521	0.021739130434782608	0.03582363747703613	(this.items.size())== 0	_
org.jfree.chart.plot.DefaultDrawingSupplier#int[]#intArray#?,double,double,double,double#531	0.017543859649122806	0.017543859649122806	0.03508771929824561	a < b	_
org.jfree.chart.plot.DefaultDrawingSupplier#int[]#intArray#?,double,double,double#516	0.017543859649122806	0.017543859649122806	0.03508771929824561	a != b	_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#LegendItemCollection#getLegendItems#?#1790	0.02702702702702703	0.0	0.02702702702702703		GT
org.jfree.chart.plot.CategoryPlot#void#mapDatasetToRangeAxis#?,int,int#1506	0.013157894736842105	0.013157894736842105	0.02631578947368421	index >= axisIndex	_
org.jfree.chart.plot.CategoryPlot#void#mapDatasetToDomainAxis#?,int,int#1409	0.013157894736842105	0.013157894736842105	0.02631578947368421	index >= axisIndex	_
org.jfree.chart.renderer.category.LineAndShapeRenderer#?#LineAndShapeRenderer#?,boolean,boolean#210	0.023809523809523808	0.0	0.023809523809523808		_
org.jfree.chart.plot.DatasetRenderingOrder#?#DatasetRenderingOrder#?,String#80	0.023255813953488372	0.0	0.023255813953488372		_
org.jfree.chart.axis.AxisLocation#?#AxisLocation#?,String#84	0.022222222222222223	0.0	0.022222222222222223		_
org.jfree.chart.plot.PlotOrientation#?#PlotOrientation#?,String#72	0.02040816326530612	0.0	0.02040816326530612		_
org.jfree.chart.util.DefaultShadowGenerator#?#DefaultShadowGenerator#?,int,Color,float,int,double#91	0.00909090909090909	0.009174311926605505	0.018265221017514596	size == distance	_
org.jfree.chart.plot.DefaultDrawingSupplier#Shape[]#createStandardSeriesShapes#?#287	0.017543859649122806	0.0	0.017543859649122806		_
org.jfree.chart.ChartColor#Paint[]#createDefaultPaintArray#?#149	0.017543859649122806	0.0	0.017543859649122806		_
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#void#setPlot#?,CategoryPlot#292	0.014084507042253521	0.0	0.014084507042253521		_
