line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.plot.PiePlot#double#getMaximumLabelWidth#?#1447	0.999438832772166	0.999438832772166	1.998877665544332	(this.maximumLabelWidth)> 0	_
org.jfree.chart.plot.PiePlot#double#getInteriorGap#?#669	0.999438832772166	0.999438832772166	1.998877665544332	(this.interiorGap)> 0	_
org.jfree.chart.plot.PiePlot#double#getLabelGap#?#1422	0.999438832772166	0.999438832772166	1.998877665544332	(this.labelGap)> 0	_
org.jfree.chart.LegendItemCollection#int#getItemCount#?#103	0.9646464646464646	0.9943883277216611	1.9590347923681257	(this.items.size())== 0	_
org.jfree.chart.text.TextBlock#void#draw#?,Graphics2D,float,float,TextBlockAnchor#209	0.9652076318742986	0.9809203142536476	1.9461279461279462	x >= y	_
org.jfree.chart.text.TextUtilities#int#nextLineBreak#?,String,int,float,BreakIterator,TextMeasurer#235	0.9708193041526375	0.9708193041526375	1.941638608305275	(BreakIterator.DONE)<= 0	_
org.jfree.chart.text.G2TextMeasurer#float#getStringWidth#?,String,int,int#74	0.9708193041526375	0.9708193041526375	1.941638608305275	start <= end	_
org.jfree.chart.block.RectangleConstraint#?#RectangleConstraint#?,double,Range,LengthConstraintType,double,Range,LengthConstraintType#149	0.9624017957351291	0.9758698092031426	1.9382716049382718	w <= h	_
org.jfree.chart.text.TextUtilities#void#drawRotatedString#?,String,Graphics2D,float,float,TextAnchor,double,float,float#516	0.9652076318742986	0.9713804713804713	1.93658810325477	x >= y	_
org.jfree.chart.text.TextFragment#void#draw#?,Graphics2D,float,float,TextAnchor,float,float,double#204	0.9652076318742986	0.9713804713804713	1.93658810325477	anchorX > anchorY	_
org.jfree.chart.text.TextLine#void#draw#?,Graphics2D,float,float,TextAnchor,float,float,double#154	0.9652076318742986	0.9708193041526375	1.936026936026936	anchorX >= anchorY	_
org.jfree.chart.text.TextBlock#void#draw#?,Graphics2D,float,float,TextBlockAnchor,float,float,double#228	0.9652076318742986	0.9708193041526375	1.936026936026936	anchorX > anchorY	_
org.jfree.chart.text.TextFragment#float#calculateBaselineOffset#?,Graphics2D,TextAnchor#236	0.9652076318742986	0.9652076318742986	1.9304152637485972	(result)>= 0	_
org.jfree.chart.text.TextBlock#float[]#calculateOffsets#?,TextBlockAnchor,double,double#265	0.9652076318742986	0.9652076318742986	1.9304152637485972	width >= height	_
org.jfree.chart.text.TextLine#float#calculateBaselineOffset#?,Graphics2D,TextAnchor#226	0.9652076318742986	0.9652076318742986	1.9304152637485972	(result)> 0	_
org.jfree.chart.text.TextUtilities#void#drawRotatedString#?,String,Graphics2D,float,float,double,float,float#474	0.9646464646464646	0.9652076318742986	1.9298540965207631	textX >= textY	_
org.jfree.chart.util.RectangleInsets#double#trimHeight#?,double#522	0.9646464646464646	0.9646464646464646	1.9292929292929293	(height - calculateTopInset(height) - calculateBottomInset(height))!= 0	_
org.jfree.chart.util.RectangleInsets#double#trimWidth#?,double#500	0.9646464646464646	0.9646464646464646	1.9292929292929293	(width - calculateLeftInset(width) - calculateRightInset(width))>= 0	_
org.jfree.chart.block.AbstractBlock#double#trimToContentHeight#?,double#400	0.9646464646464646	0.9646464646464646	1.9292929292929293	(Math.max(result,0.0))> 0	_
