line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.JSError#int#getCharno#?#199	2.8030722391364518	2.8112371990035983	5.61430943814005	(charno)> 0	_
com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator#int#compare#?,ErrorWithLevel,ErrorWithLevel#129	2.8027954608358705	2.804040963188486	5.6068364240243564	(p1.error.description.compareTo(p2.error.description))== 0	_
com.google.javascript.jscomp.JSError#?#JSError#?,String,Node,int,int,DiagnosticType,CheckLevel,String#141	2.5880154995848326	2.8052864655411014	5.393301965125934	lineno < charno	_
com.google.javascript.rhino.jstype.JSTypeRegistry#JSType#getType#?,StaticScope<JSType>,String,String,int,int#867	2.681843343481871	2.6839191807362304	5.365762524218102	lineno < charno	_
com.google.javascript.rhino.JSDocInfoBuilder#void#markTypeNode#?,Node,int,int,int,boolean#176	2.648353169111542	2.6534735676722945	5.301826736783836	lineno < startCharno	_
com.google.javascript.rhino.Node#Node#newString#?,String,int,int#615	2.6479380016606697	2.6495986714641573	5.297536673124827	lineno < charno	_
com.google.javascript.jscomp.JSError#JSError#make#?,String,int,int,DiagnosticType,String#84	2.6354829781345144	2.63672848048713	5.272211458621644	lineno == charno	_
com.google.javascript.rhino.Node#?#Node#?,int,int,int#540	2.6144478272903404	2.6144478272903404	5.228895654580681	nodeType != lineno	_
com.google.javascript.rhino.JSDocInfoBuilder#void#markAnnotation#?,String,int,int#146	2.5348740658732356	2.574453362856352	5.109327428729587	lineno < charno	_
com.google.javascript.rhino.Node#int#getChildCount#?#1542	2.1722944921118184	2.399529476889012	4.57182396900083	(c)== 0	_
com.google.javascript.rhino.jstype.InstanceObjectType#int#hashCode#?#174	2.2474398007196235	2.3164959867146413	4.563935787434264	(getReferenceName().hashCode())> 0	_
com.google.javascript.rhino.Node$IntPropListItem#int#getIntValue#?#436	2.270689177968447	2.270689177968447	4.541378355936894	(intValue)!= 0	_
com.google.javascript.rhino.Node#int#getIntProp#?,int#912	2.2124273456960974	2.295460835870468	4.507888181566566	(0)== 0	_
com.google.javascript.rhino.InputId#int#hashCode#?#60	2.1794907279269307	2.2727650152228067	4.452255743149737	(id.hashCode())< 0	_
com.google.javascript.rhino.jstype.JSType#int#hashCode#?#396	2.21298090229726	2.21298090229726	4.42596180459452	(System.identityHashCode(this))>= 0	_
com.google.javascript.jscomp.WarningsGuard#int#getPriority#?#83	2.202878494326045	2.202878494326045	4.40575698865209	(Priority.DEFAULT.value)!= 0	_
com.google.javascript.jscomp.ComposeWarningsGuard$GuardComparator#int#compare#?,WarningsGuard,WarningsGuard#61	2.200249100470523	2.2030168834763355	4.403265983946858	(priorityDiff)!= 0	_
com.google.javascript.jscomp.SuppressDocWarningsGuard#int#getPriority#?#91	2.2003874896208138	2.2003874896208138	4.4007749792416275	(WarningsGuard.Priority.SUPPRESS_DOC.value)> 0	_
com.google.javascript.jscomp.Tracer#long#stop#?#440	2.17492388596734	2.17492388596734	4.34984777193468	(stop(-1))<= 0	_
com.google.javascript.jscomp.Tracer#long#stop#?,int#407	2.17492388596734	2.17492388596734	4.34984777193468	(0)<= 0	_
com.google.javascript.jscomp.BasicErrorManager#int#getErrorCount#?#75	2.172017713811237	2.173816772765015	4.345834486576252	(errorCount)<= 0	_
com.google.javascript.rhino.Node#int#getCharno#?#1286	2.1249654027124274	2.191945751453086	4.316911154165513	(extractCharno(sourcePosition))> 0	_
com.google.javascript.rhino.Node#int#extractCharno#?,int#1358	2.1245502352615553	2.1916689731525048	4.31621920841406	(lineCharNo & COLUMN_MASK)!= 0	_
com.google.javascript.rhino.Node#int#getLineno#?#1282	2.1249654027124274	2.1572100747301413	4.282175477442569	(extractLineno(sourcePosition))> 0	_
com.google.javascript.rhino.Node#int#extractLineno#?,int#1346	2.1245502352615553	2.15693329642956	4.281483531691116	(lineCharNo >>> COLUMN_BITS)!= 0	_
com.google.javascript.rhino.Node#PropListItem#createProp#?,int,int,PropListItem#956	2.130916136174924	2.130916136174924	4.261832272349848	propType > value	_
com.google.javascript.rhino.Node#void#putIntProp#?,int,int#945	2.1307777470246334	2.1307777470246334	4.261555494049267	propType > value	_
com.google.javascript.rhino.Node#int#mergeLineCharNo#?,int,int#1332	2.1072515914752286	2.1476612233600885	4.254912814835317	lineno > charno	_
com.google.javascript.rhino.Node#int#getType#?#623	2.106698034874066	2.106698034874066	4.213396069748132	(type)> 0	_
com.google.javascript.rhino.Node$AbstractPropListItem#int#getType#?#378	2.090783282590645	2.090783282590645	4.18156656518129	(propType)> 0	_
com.google.javascript.rhino.jstype.FunctionType#int#getMaxArguments#?#250	1.8556601162468862	1.9313589814558538	3.78701909770274	(params.getChildCount())!= 0	_
com.google.javascript.rhino.jstype.FunctionType#int#getMinArguments#?#231	1.8556601162468862	1.8998062551895931	3.755466371436479	(min)<= 0	_
com.google.javascript.rhino.jstype.ArrowType#int#hashCode#?#185	1.7293108220315527	1.7293108220315527	3.4586216440631055	(hashCode)!= 0	_
com.google.javascript.rhino.jstype.FunctionType#int#hashCode#?#792	1.7293108220315527	1.7293108220315527	3.4586216440631055	(isInterface() ? getReferenceName().hashCode() : call.hashCode())!= 0	_
com.google.javascript.rhino.JSDocInfoBuilder#void#markName#?,String,int,int#189	1.71298090229726	1.7139496263492942	3.426930528646554	lineno < charno	_
com.google.javascript.rhino.JSDocInfo#int#getExtendedInterfacesCount#?#1190	1.6922225297536673	1.6926376972045392	3.3848602269582067	(0)>= 0	_
com.google.javascript.rhino.JSDocInfo#int#getParameterCount#?#887	1.6597010794353722	1.6638527539440908	3.3235538333794628	(0)<= 0	_
com.google.javascript.jscomp.DiagnosticType#int#hashCode#?#120	1.5905065042900637	1.5909216717409356	3.181428176030999	(key.hashCode())<= 0	_
com.google.javascript.jscomp.Scope#void#undeclare#?,Var#504	2.994187655687794	0.0	2.994187655687794		_
com.google.javascript.rhino.jstype.FunctionType#JSType#getPropertyType#?,String#496	2.975089952947689	0.0	2.975089952947689		_
com.google.javascript.rhino.jstype.ArrowType#boolean#isSubtype#?,JSType#80	2.9734292831442013	0.0	2.9734292831442013		_
com.google.javascript.rhino.jstype.FunctionType#boolean#defineProperty#?,String,JSType,boolean,Node#551	2.973290893993911	0.0	2.973290893993911		_
com.google.javascript.rhino.JSDocInfoBuilder#boolean#recordBaseType#?,JSTypeExpression#531	2.96858566288403	0.0	2.96858566288403		_
com.google.javascript.rhino.JSDocInfo#void#setBaseType#?,JSTypeExpression#1024	2.96858566288403	0.0	2.96858566288403		_
com.google.javascript.jscomp.LinkedFlowScope#JSType#getTypeOfThis#?#128	2.9651259341267644	0.0	2.9651259341267644		_
com.google.javascript.jscomp.NodeUtil#JSType#getObjectLitKeyTypeFromValueType#?,Node,JSType#2160	2.964987544976474	0.0	2.964987544976474		_
com.google.javascript.jscomp.NodeUtil#String#getObjectLitKeyName#?,Node#2146	2.964987544976474	0.0	2.964987544976474		_
com.google.javascript.jscomp.parsing.JsDocInfoParser$ExtendedTypeInfo#?#ExtendedTypeInfo#?,JSTypeExpression,int,int#1243	2.962773318571824	0.0	2.962773318571824		_
com.google.javascript.rhino.JSDocInfoBuilder#boolean#isInterfaceRecorded#?#860	2.9622197619706614	0.0	2.9622197619706614		_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseAndRecordTypeNameNode#?,JsDocToken,int,int,boolean#1080	2.9503182950456686	0.0	2.9503182950456686		_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseTypeNameAnnotation#?,JsDocToken#1571	2.9503182950456686	0.0	2.9503182950456686		_
com.google.javascript.jscomp.Scope$Var#Scope#getScope#?#195	2.9357874342651535	0.0	2.9357874342651535		_
com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder#void#processObjectLitProperties#?,NodeTraversal,Node,ObjectType#613	2.9220869083863823	0.0	2.9220869083863823		_
com.google.javascript.rhino.jstype.PrototypeObjectType#void#setPrettyPrint#?,boolean#400	2.912399667866039	0.0	2.912399667866039		_
com.google.javascript.rhino.jstype.JSTypeRegistry#ObjectType#createAnonymousObjectType#?#1295	2.912399667866039	0.0	2.912399667866039		_
com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder#void#defineObjectLiteral#?,NodeTraversal,Node#557	2.908524771657902	0.0	2.908524771657902		_
com.google.javascript.jscomp.TypeInference#FlowScope#traverseObjectLiteral#?,Node,FlowScope#679	2.908524771657902	0.0	2.908524771657902		_
com.google.javascript.jscomp.PrepareAst$PrepareAnnotations#void#normalizeObjectLiteralKeyAnnotations#?,Node,Node,Node#223	2.907832825906449	0.0	2.907832825906449		_
com.google.javascript.rhino.jstype.ObjectType#JSType#findPropertyType#?,String#375	2.8938555217270965	0.0	2.8938555217270965		_
com.google.javascript.rhino.jstype.SimpleSlot#boolean#isTypeInferred#?#71	2.8812621090506503	0.0	2.8812621090506503		_
com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder#void#checkForClassDefiningCalls#?,NodeTraversal,Node,Node#1254	2.878079158593966	0.0	2.878079158593966		_
com.google.javascript.jscomp.ClosureCodingConvention#ObjectLiteralCast#getObjectLiteralCast#?,NodeTraversal,Node#292	2.878079158593966	0.0	2.878079158593966		_
com.google.javascript.jscomp.TypeInference#FlowScope#tightenTypesAfterAssertions#?,FlowScope,Node#817	2.878079158593966	0.0	2.878079158593966		_
com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder#void#checkForCallingConventionDefiningCalls#?,Node,Map<String,String>#1243	2.878079158593966	0.0	2.878079158593966		_
com.google.javascript.jscomp.TypeInference#FlowScope#traverseCall#?,Node,FlowScope#796	2.878079158593966	0.0	2.878079158593966		_
com.google.javascript.jscomp.DefaultCodingConvention#DelegateRelationship#getDelegateRelationship#?,Node#141	2.878079158593966	0.0	2.878079158593966		_
com.google.javascript.jscomp.DefaultCodingConvention#void#checkForCallingConventionDefiningCalls#?,Node,Map<String,String>#160	2.878079158593966	0.0	2.878079158593966		_
com.google.javascript.rhino.jstype.ObjectType#boolean#defineInferredProperty#?,String,JSType,Node#290	2.8685303072239137	0.0	2.8685303072239137		_
