line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#double#initializeStep#?,boolean,int,double[],double,double[],double[],double[],double[]#248	0.010309278350515464	1.0	1.0103092783505154	(forward ? initialStep : -initialStep)> 0	_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#void#setInitialStepSize#?,double#208	0.5	0.0	0.5		_
org.apache.commons.math.ode.AbstractIntegrator#void#addEventHandler#?,EventHandler,double,double,int#127	0.0625	0.0625	0.125	maxCheckInterval >= convergence	_
org.apache.commons.math.ode.events.EventState#double#getEventTime#?#284	0.058823529411764705	0.058823529411764705	0.11764705882352941	(pendingEvent ? pendingEventTime : (forward ? Double.POSITIVE_INFINITY : Double.NEGATIVE_INFINITY))!= 0	_
org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver#double#solve#?,int,UnivariateRealFunction,double,double,AllowedSolution#384	0.05263157894736842	0.0625	0.11513157894736842	(super.solve(maxEval,f,min,max))>= 0	_
org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolator#void#computeInterpolatedStateAndDerivatives#?,double,double#316	0.047619047619047616	0.06666666666666667	0.11428571428571428	theta <= oneMinusThetaH	_
org.apache.commons.math.ode.AbstractIntegrator#void#addEventHandler#?,EventHandler,double,double,int,UnivariateRealSolver#138	0.05555555555555555	0.05555555555555555	0.1111111111111111	maxCheckInterval != convergence	_
org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?#143	0.04	0.06666666666666667	0.10666666666666666	(nextX)!= 0	_
org.apache.commons.math.ode.events.EventState#?#EventState#?,EventHandler,double,double,int,UnivariateRealSolver#102	0.05263157894736842	0.05263157894736842	0.10526315789473684	maxCheckInterval >= convergence	_
org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver#double#guessX#?,double,double[],double[],int,int#362	0.043478260869565216	0.043478260869565216	0.08695652173913043	(x0)>= 0	_
org.apache.commons.math.ode.nonstiff.DormandPrince853Integrator#double#estimateError#?,double[][],double[],double[],double#254	0.041666666666666664	0.041666666666666664	0.08333333333333333	(FastMath.abs(h) * error1 / FastMath.sqrt(mainSetDimension * den))> 0	_
org.apache.commons.math.ode.AbstractIntegrator#double#acceptStep#?,AbstractStepInterpolator,double[],double[],double#276	0.007462686567164179	0.07142857142857142	0.0788912579957356	(eventT)>= 0	GT
org.apache.commons.math.ode.nonstiff.DormandPrince853Integrator#int#getOrder#?#246	0.038461538461538464	0.038461538461538464	0.07692307692307693	(8)>= 0	_
org.apache.commons.math.ode.events.EventState#boolean#reset#?,double,double[]#327	0.07142857142857142	0.0	0.07142857142857142		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#setSoftCurrentTime#?,double#333	0.0625	0.0	0.0625		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#setSoftPreviousTime#?,double#319	0.0625	0.0	0.0625		_
org.apache.commons.math.ode.events.EventState#boolean#stop#?#316	0.05555555555555555	0.0	0.05555555555555555		_
org.apache.commons.math.ode.events.EventState#boolean#evaluateStep#?,StepInterpolator#188	0.05263157894736842	0.0	0.05263157894736842		_
org.apache.commons.math.ode.events.EventState#void#stepAccepted#?,double,double[]#296	0.05263157894736842	0.0	0.05263157894736842		_
org.apache.commons.math.ode.events.EventState#void#reinitializeBegin#?,StepInterpolator#152	0.05263157894736842	0.0	0.05263157894736842		_
org.apache.commons.math.ode.nonstiff.DormandPrince853Integrator#?#DormandPrince853Integrator#?,double,double,double,double#219	0.043478260869565216	0.0	0.043478260869565216		_
org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolator#void#reinitialize#?,AbstractIntegrator,double[],double[][],boolean,EquationsMapper,EquationsMapper[]#286	0.041666666666666664	0.0	0.041666666666666664		_
org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolator#void#storeTime#?,double#308	0.041666666666666664	0.0	0.041666666666666664		_
org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolator#StepInterpolator#doCopy#?#277	0.041666666666666664	0.0	0.041666666666666664		_
org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolator#?#DormandPrince853StepInterpolator#?,DormandPrince853StepInterpolator#242	0.041666666666666664	0.0	0.041666666666666664		_
org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolator#void#doFinalize#?#389	0.041666666666666664	0.0	0.041666666666666664		_
org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolator#?#DormandPrince853StepInterpolator#?#230	0.038461538461538464	0.0	0.038461538461538464		_
org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver#?#BracketingNthOrderBrentSolver#?,double,int#81	0.038461538461538464	0.0	0.038461538461538464		_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#computeObjectiveValue#?,double#152	0.007936507936507936	0.0196078431372549	0.027544351073762838	(function.value(point))== 0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getStartValue#?#121	0.012345679012345678	0.013513513513513514	0.025859192525859193	(searchStart)> 0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#void#verifySequence#?,double,double,double#267	0.012658227848101266	0.01282051282051282	0.025478740668614087	lower < initial	_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils#void#verifySequence#?,double,double,double#353	0.012048192771084338	0.012345679012345678	0.024393871783430016	lower <= initial	_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#void#setStepSizeControl#?,double,double,double,double#155	0.011627906976744186	0.012195121951219513	0.0238230289279637	minimalStep < maximalStep	_
org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#?#EmbeddedRungeKuttaIntegrator#?,String,boolean,double[],double[][],double[],RungeKuttaStepInterpolator,double,double,double,double#114	0.023809523809523808	0.0	0.023809523809523808		_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#solve#?,int,FUNC,double,double#194	0.010416666666666666	0.012658227848101266	0.02307489451476793	(solve(maxEval,f,min,max,min + 0.5 * (max - min)))> 0	_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#double#filterStep#?,double,boolean,boolean#319	0.010309278350515464	0.011904761904761904	0.022214040255277366	(filteredH)>= 0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getMin#?#109	0.008	0.013333333333333334	0.021333333333333336	(searchMin)> 0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getRelativeAccuracy#?#133	0.009615384615384616	0.009615384615384616	0.019230769230769232	(relativeAccuracy)>= 0	_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#double#getPreviousTime#?#358	0.008064516129032258	0.010526315789473684	0.01859083191850594	(softPreviousTime)== 0	_
org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#void#setMinReduction#?,double#344	0.01818181818181818	0.0	0.01818181818181818		_
org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#void#setSafety#?,double#186	0.01818181818181818	0.0	0.01818181818181818		_
org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#void#setMaxGrowth#?,double#358	0.01818181818181818	0.0	0.01818181818181818		_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getAbsoluteAccuracy#?#127	0.00909090909090909	0.00909090909090909	0.01818181818181818	(absoluteAccuracy)!= 0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getFunctionValueAccuracy#?#139	0.009009009009009009	0.009009009009009009	0.018018018018018018	(functionValueAccuracy)!= 0	_
org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#void#integrate#?,ExpandableStatefulODE,double#193	0.017543859649122806	0.0	0.017543859649122806		_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#solve#?,int,FUNC,double,double,double#185	0.007874015748031496	0.009615384615384616	0.017489400363416112	(doSolve())> 0	_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#double#getGlobalPreviousTime#?#341	0.007462686567164179	0.009433962264150943	0.01689664883131512	(globalPreviousTime)<= 0	_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#double#getCurrentTime#?#367	0.0078125	0.008620689655172414	0.016433189655172414	(softCurrentTime)>= 0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#double#getMax#?#115	0.008	0.008064516129032258	0.016064516129032258	(searchMax)> 0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#void#setup#?,int,FUNC,double,double,double#171	0.007874015748031496	0.008064516129032258	0.015938531877063754	min < max	_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#double#getGlobalCurrentTime#?#349	0.007462686567164179	0.00819672131147541	0.01565940787863959	(globalCurrentTime)>= 0	_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#?#BaseAbstractUnivariateRealSolver#?,double,double,double#92	0.007575757575757576	0.008064516129032258	0.015640273704789834	relativeAccuracy < absoluteAccuracy	_
org.apache.commons.math.ode.AbstractIntegrator#double#integrate#?,FirstOrderDifferentialEquations,double,double[],double,double[]#198	0.006756756756756757	0.008620689655172414	0.01537744641192917	t0 < t	_
org.apache.commons.math.ode.ExpandableStatefulODE#double#getTime#?#180	0.006896551724137931	0.007936507936507936	0.014833059660645867	(time)== 0	_
org.apache.commons.math.util.FastMath#int#max#?,int,int#3494	0.005747126436781609	0.008695652173913044	0.014442778610694653	a < b	_
org.apache.commons.math.ode.ExpandableStatefulODE#int#getTotalDimension#?#95	0.0070921985815602835	0.0072992700729927005	0.014391468654552984	(primaryMapper.getDimension())> 0	_
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils#void#verifyInterval#?,double,double#335	0.006993006993006993	0.007246376811594203	0.014239383804601196	lower < upper	_
org.apache.commons.math.util.FastMathLiteralArrays#double[][]#loadLnMant#?#6173	0.0136986301369863	0.0	0.0136986301369863		_
org.apache.commons.math.ode.EquationsMapper#int#getDimension#?#64	0.006622516556291391	0.006666666666666667	0.013289183222958058	(dimension)!= 0	_
org.apache.commons.math.ode.EquationsMapper#?#EquationsMapper#?,int,int#49	0.006493506493506494	0.006535947712418301	0.013029454205924794	firstIndex != dimension	_
org.apache.commons.math.util.FastMath#double#ulp#?,double#3031	0.006172839506172839	0.006172839506172839	0.012345679012345678	(abs(x - Double.longBitsToDouble(Double.doubleToLongBits(x) ^ 1)))> 0	_
org.apache.commons.math.util.FastMathLiteralArrays#double[]#loadExpFracA#?#6157	0.011904761904761904	0.0	0.011904761904761904		_
org.apache.commons.math.util.FastMathLiteralArrays#double[]#loadExpIntA#?#6141	0.011904761904761904	0.0	0.011904761904761904		_
org.apache.commons.math.util.FastMathLiteralArrays#double[]#loadExpIntB#?#6149	0.011904761904761904	0.0	0.011904761904761904		_
org.apache.commons.math.util.FastMathLiteralArrays#double[]#loadExpFracB#?#6165	0.011904761904761904	0.0	0.011904761904761904		_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#?#AdaptiveStepsizeIntegrator#?,String,double,double,double,double#108	0.011627906976744186	0.0	0.011627906976744186		_
org.apache.commons.math.util.FastMath#double#pow#?,double,double#1419	0.005405405405405406	0.006134969325153374	0.01154037473055878	x > y	_
org.apache.commons.math.util.FastMath#double#ceil#?,double#3361	0.0055248618784530384	0.005952380952380952	0.01147724283083399	(y)!= 0	_
org.apache.commons.math.ode.nonstiff.RungeKuttaStepInterpolator#?#RungeKuttaStepInterpolator#?,RungeKuttaStepInterpolator#80	0.01020408163265306	0.0	0.01020408163265306		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#?#AbstractStepInterpolator#?,AbstractStepInterpolator#171	0.009900990099009901	0.0	0.009900990099009901		_
org.apache.commons.math.ode.nonstiff.RungeKuttaStepInterpolator#void#reinitialize#?,AbstractIntegrator,double[],double[][],boolean,EquationsMapper,EquationsMapper[]#130	0.009900990099009901	0.0	0.009900990099009901		_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#void#sanityChecks#?,ExpandableStatefulODE,double#219	0.009900990099009901	0.0	0.009900990099009901		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#reinitialize#?,double[],boolean,EquationsMapper,EquationsMapper[]#246	0.009900990099009901	0.0	0.009900990099009901		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#StepInterpolator#copy#?#265	0.009900990099009901	0.0	0.009900990099009901		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#finalizeStep#?#481	0.009708737864077669	0.0	0.009708737864077669		_
org.apache.commons.math.ode.nonstiff.AdaptiveStepsizeIntegrator#void#resetInternalState#?#352	0.009615384615384616	0.0	0.009615384615384616		_
org.apache.commons.math.ode.nonstiff.RungeKuttaStepInterpolator#?#RungeKuttaStepInterpolator#?#57	0.009433962264150943	0.0	0.009433962264150943		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#?#AbstractStepInterpolator#?#111	0.009259259259259259	0.0	0.009259259259259259		_
org.apache.commons.math.util.Precision#boolean#equals#?,double,double,int#266	0.002785515320334262	0.006024096385542169	0.00880961170587643	x > y	_
org.apache.commons.math.util.FastMath#double#min#?,double,double#3469	0.0041841004184100415	0.004524886877828055	0.008708987296238096	a > b	_
org.apache.commons.math.analysis.solvers.AbstractUnivariateRealSolver#?#AbstractUnivariateRealSolver#?,double#36	0.00847457627118644	0.0	0.00847457627118644		_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#?#BaseAbstractUnivariateRealSolver#?,double#64	0.008	0.0	0.008		_
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#void#incrementEvaluationCount#?#292	0.007936507936507936	0.0	0.007936507936507936		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#boolean#isForward#?#383	0.007352941176470588	0.0	0.007352941176470588		_
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#817	0.002304147465437788	0.004830917874396135	0.007135065339833923	x > extra	_
org.apache.commons.math.ode.ExpandableStatefulODE#double[]#getCompleteState#?#282	0.0070921985815602835	0.0	0.0070921985815602835		_
org.apache.commons.math.ode.AbstractIntegrator#void#setEquations#?,ExpandableStatefulODE#191	0.0070921985815602835	0.0	0.0070921985815602835		_
org.apache.commons.math.ode.ExpandableStatefulODE#void#computeDerivatives#?,double,double[],double[]#111	0.0070921985815602835	0.0	0.0070921985815602835		_
org.apache.commons.math.ode.AbstractIntegrator#void#computeDerivatives#?,double,double[],double[]#248	0.0070921985815602835	0.0	0.0070921985815602835		_
org.apache.commons.math.ode.EquationsMapper#void#insertEquationData#?,double[],double[]#91	0.0070921985815602835	0.0	0.0070921985815602835		_
org.apache.commons.math.ode.ExpandableStatefulODE#EquationsMapper[]#getSecondaryMappers#?#162	0.0070921985815602835	0.0	0.0070921985815602835		_
org.apache.commons.math.ode.AbstractIntegrator#void#setStateInitialized#?,boolean#260	0.0070921985815602835	0.0	0.0070921985815602835		_
org.apache.commons.math.ode.ExpandableStatefulODE#EquationsMapper#getPrimaryMapper#?#154	0.007042253521126761	0.0	0.007042253521126761		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#double[]#getInterpolatedState#?#411	0.007042253521126761	0.0	0.007042253521126761		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#evaluateCompleteInterpolatedState#?#400	0.007042253521126761	0.0	0.007042253521126761		_
org.apache.commons.math.ode.ExpandableStatefulODE#?#ExpandableStatefulODE#?,FirstOrderDifferentialEquations#72	0.006896551724137931	0.0	0.006896551724137931		_
org.apache.commons.math.ode.ExpandableStatefulODE#void#setPrimaryState#?,double[]#189	0.006896551724137931	0.0	0.006896551724137931		_
org.apache.commons.math.ode.AbstractIntegrator#void#sanityChecks#?,ExpandableStatefulODE,double#382	0.006896551724137931	0.0	0.006896551724137931		_
org.apache.commons.math.ode.ExpandableStatefulODE#void#setTime#?,double#173	0.006896551724137931	0.0	0.006896551724137931		_
org.apache.commons.math.ode.EquationsMapper#void#extractEquationData#?,double[],double[]#76	0.006711409395973154	0.0	0.006711409395973154		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#setInterpolatedTime#?,double#377	0.006666666666666667	0.0	0.006666666666666667		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#shift#?#288	0.006666666666666667	0.0	0.006666666666666667		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#storeTime#?,double#297	0.006666666666666667	0.0	0.006666666666666667		_
org.apache.commons.math.ode.AbstractIntegrator#void#setMaxEvaluations#?,int#168	0.006622516556291391	0.0	0.006622516556291391		_
org.apache.commons.math.ode.AbstractIntegrator#?#AbstractIntegrator#?,String#85	0.006622516556291391	0.0	0.006622516556291391		_
org.apache.commons.math.util.FastMath#long#abs#?,long#3004	0.0027624309392265192	0.0037313432835820895	0.006493774222808609	((x < 0l) ? -x : x)== 0	_
org.apache.commons.math.ode.AbstractIntegrator#void#resetEvaluations#?#184	0.0064516129032258064	0.0	0.0064516129032258064		_
org.apache.commons.math.ode.sampling.AbstractStepInterpolator#void#allocateInterpolatedArrays#?,int#211	0.006289308176100629	0.0	0.006289308176100629		_
