line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.complex.Complex#String#toString#?#1178	1.0	0.0	1.0		_
org.apache.commons.math.complex.Complex#double#getReal#?#363	0.13303802104754786	0.2672612419124244	0.40029926295997226	(real)== 0	_
org.apache.commons.math.complex.Complex#Complex#atan#?#578	0.35355339059327373	0.0	0.35355339059327373		_
org.apache.commons.math.complex.Complex#double#getImaginary#?#354	0.13245323570650439	0.21320071635561041	0.3456539520621148	(imaginary)== 0	_
org.apache.commons.math.complex.Complex#Complex#divide#?,Complex#250	0.34299717028501764	0.0	0.34299717028501764		GT
org.apache.commons.math.util.FastMath#double#atan2#?,double,double#2972	0.0827605888602368	0.25	0.3327605888602368	(Math.PI)> 0	_
org.apache.commons.math.complex.Complex#double#abs#?#115	0.11952286093343936	0.17677669529663687	0.2962995562300762	(FastMath.abs(real) * FastMath.sqrt(1 + q * q))> 0	_
org.apache.commons.math.complex.Complex#?#Complex#?,double,double#98	0.10976425998969035	0.13483997249264842	0.24460423248233876	real < imaginary	GT
org.apache.commons.math.complex.Complex#Complex#createComplex#?,double,double#1126	0.07905694150420949	0.13608276348795434	0.21513970499216384	realPart == imaginaryPart	_
org.apache.commons.math.complex.Complex#Complex#log#?#745	0.1543033499620919	0.0	0.1543033499620919		_
org.apache.commons.math.complex.Complex#Complex#add#?,Complex#156	0.14744195615489714	0.0	0.14744195615489714		_
org.apache.commons.math.complex.Complex#Complex#subtract#?,Complex#487	0.1414213562373095	0.0	0.1414213562373095		_
org.apache.commons.math.complex.Complex#Complex#multiply#?,Complex#416	0.11952286093343936	0.0	0.11952286093343936		_
org.apache.commons.math.complex.Complex#boolean#isInfinite#?#387	0.10660035817780521	0.0	0.10660035817780521		_
org.apache.commons.math.complex.Complex#boolean#equals#?,Object#318	0.09284766908852593	0.0	0.09284766908852593		_
org.apache.commons.math.util.FastMath#double#log#?,double#1255	0.04428074427700476	0.046423834544262965	0.09070457882126773	(log(x,null))> 0	_
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1265	0.035578403348241	0.040291148201269014	0.07586955154951001	(a + b)>= 0	_
org.apache.commons.math.util.MathUtils#void#checkNotNull#?,Object#2333	0.0636929755298482	0.0	0.0636929755298482		_
org.apache.commons.math.util.FastMath#double#sqrt#?,double#301	0.02853650727676748	0.028939954008661634	0.05747646128542912	(Math.sqrt(a))> 0	_
org.apache.commons.math.util.FastMath#double#abs#?,double#3409	0.024210875062207954	0.02918542027088895	0.05339629533309691	((x < 0.0) ? -x : (x == 0.0) ? 0.0 : x)== 0	_
org.apache.commons.math.util.FastMath#void#splitReciprocal#?,double,double#1119	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#void#quadMult#?,double,double,double#1154	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#double#slowCos#?,double,double#1834	0.0	0.0	0.0	(ys[0] + ys[1])<= 0	_
org.apache.commons.math.util.FastMath#double[]#slowLog#?,double#1742	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#double#expint#?,int,double#1208	0.0	0.0	0.0	(ys[0] + ys[1])<= 0	_
org.apache.commons.math.util.FastMath#void#splitMult#?,double,double,double#1081	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#void#split#?,double,double#1045	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#void#resplit#?,double#1061	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#double#slowSin#?,double,double#1792	0.0	0.0	0.0	(ys[0] + ys[1])<= 0	_
org.apache.commons.math.util.FastMath#double#slowexp#?,double,double#1011	0.0	0.0	0.0	(ys[0] + ys[1])< 0	_
org.apache.commons.math.util.FastMath#void#buildSinCosTables#?#1873	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#void#splitAdd#?,double,double,double#1094	0.0	0.0	0.0		_
