line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.stat.Frequency#double#getPct#?,Object#302	1.0	1.0	2.0	(getCumPct((Comparable<?>)v))> 0	GT
org.apache.commons.math.stat.Frequency#double#getPct#?,long#341	1.0	1.0	2.0	(getPct(Long.valueOf(v)))> 0	_
org.apache.commons.math.stat.Frequency#double#getPct#?,int#330	0.5	1.0	1.5	(getPct(Long.valueOf(v)))> 0	_
org.apache.commons.math.stat.Frequency#long#getCumFreq#?,long#443	0.33333333333333337	0.33333333333333337	0.6666666666666667	(getCumFreq(Long.valueOf(v)))> 0	_
org.apache.commons.math.stat.Frequency#long#getCumFreq#?,Comparable<?>#381	0.16666666666666663	0.33333333333333337	0.5	(getCumFreq(((Integer)v).longValue()))!= 0	_
org.apache.commons.math.stat.Frequency$NaturalComparator#int#compare#?,Comparable<T>,Comparable<T>#560	0.19999999999999996	0.25	0.44999999999999996	(o1.compareTo((T)o2))> 0	_
org.apache.commons.math.stat.Frequency#double#getPct#?,Comparable<?>#315	0.19999999999999996	0.25	0.44999999999999996	((double)getCount(v) / (double)sumFreq)> 0	_
org.apache.commons.math.stat.Frequency#long#getSumFreq#?#214	0.16666666666666663	0.19999999999999996	0.3666666666666666	(result)!= 0	_
org.apache.commons.math.stat.Frequency#long#getCount#?,Comparable<?>#243	0.16666666666666663	0.19999999999999996	0.3666666666666666	(result)!= 0	_
org.apache.commons.math.stat.Frequency#double#getCumPct#?,Comparable<?>#490	0.16666666666666663	0.19999999999999996	0.3666666666666666	((double)getCumFreq(v) / (double)sumFreq)>= 0	_
org.apache.commons.math.stat.Frequency#void#addValue#?,long#176	0.25	0.0	0.25		_
org.apache.commons.math.stat.Frequency#void#addValue#?,Comparable<?>#132	0.1428571428571429	0.0	0.1428571428571429		_
org.apache.commons.math.stat.Frequency#void#addValue#?,int#157	0.1428571428571429	0.0	0.1428571428571429		_
