line	original_score	max_predicate_score	total	predicate	label
org.joda.time.PeriodType#boolean#setIndexedField#?,ReadablePeriod,int,int[],int#687	0.05	1.0	1.05	index >= newValue	_
org.joda.time.Period#Period#withMillis#?,int#966	1.0	0.0	1.0		_
org.joda.time.format.FormatUtils#int#calculateDigitCount#?,long#335	0.011764705882352941	0.5	0.5117647058823529	(calculateDigitCount(-value) + 1)!= 0	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#long#getFieldValue#?,ReadablePeriod#1380	0.011494252873563218	0.5	0.5114942528735632	(value)< 0	_
org.joda.time.base.AbstractPeriod#int#get#?,DurationFieldType#112	0.011111111111111112	0.25	0.2611111111111111	(getValue(index))< 0	_
org.joda.time.Period#Period#millis#?,int#225	0.16666666666666666	0.0	0.16666666666666666		_
org.joda.time.Period#Period#seconds#?,int#211	0.125	0.0	0.125		_
org.joda.time.format.PeriodFormatterBuilder$SimpleAffix#int#calculatePrintedLength#?,int#863	0.043478260869565216	0.043478260869565216	0.08695652173913043	(iText.length())!= 0	_
org.joda.time.Period#Period#years#?,int#109	0.07142857142857142	0.0	0.07142857142857142		_
org.joda.time.format.PeriodFormatterBuilder$Literal#int#calculatePrintedLength#?,ReadablePeriod,Locale#1552	0.03333333333333333	0.034482758620689655	0.067816091954023	(iText.length())!= 0	_
org.joda.time.base.BasePeriod#int[]#setPeriodInternal#?,int,int,int,int,int,int,int,int#452	0.004081632653061225	0.0625	0.06658163265306122	years > months	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#getFieldType#?#1530	0.029411764705882353	0.03225806451612903	0.061669829222011384	(iFieldType)== 0	_
org.joda.time.format.PeriodFormatterBuilder$Separator#int#calculatePrintedLength#?,ReadablePeriod,Locale#1632	0.02127659574468085	0.02127659574468085	0.0425531914893617	(sum)!= 0	_
org.joda.time.format.PeriodFormatterBuilder$SimpleAffix#void#printTo#?,StringBuffer,int#867	0.041666666666666664	0.0	0.041666666666666664		_
org.joda.time.format.PeriodFormatterBuilder$Composite#int#calculatePrintedLength#?,ReadablePeriod,Locale#1796	0.011627906976744186	0.02857142857142857	0.04019933554817276	(sum)== 0	_
org.joda.time.format.PeriodFormatterBuilder$Composite#int#countFieldsToPrint#?,ReadablePeriod,int,Locale#1787	0.01282051282051282	0.02702702702702703	0.039847539847539845	(sum)<= 0	_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendSeparatorIfFieldsAfter#?,String#651	0.038461538461538464	0.0	0.038461538461538464		_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendSecondsWithOptionalMillis#?#499	0.038461538461538464	0.0	0.038461538461538464		_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#countFieldsToPrint#?,ReadablePeriod,int,Locale#1078	0.012987012987012988	0.024390243902439025	0.03737725688945201	(0)<= 0	_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendSuffix#?,String#551	0.037037037037037035	0.0	0.037037037037037035		_
org.joda.time.format.PeriodFormatterBuilder#void#appendField#?,int,int#533	0.01282051282051282	0.023809523809523808	0.036630036630036625	type == minPrinted	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#calculatePrintedLength#?,ReadablePeriod,Locale#1088	0.011764705882352941	0.023255813953488372	0.03502051983584131	(0)>= 0	GT
org.joda.time.format.PeriodFormatterBuilder$SimpleAffix#?#SimpleAffix#?,String#859	0.03333333333333333	0.0	0.03333333333333333		_
org.joda.time.format.PeriodFormatterBuilder$Literal#void#printTo#?,StringBuffer,ReadablePeriod,Locale#1556	0.03225806451612903	0.0	0.03225806451612903		_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#?#FieldFormatter#?,FieldFormatter,PeriodFieldAffix#1064	0.029411764705882353	0.0	0.029411764705882353		_
org.joda.time.format.PeriodFormatterBuilder#PeriodFormatterBuilder#appendSeparator#?,String,String,String[],boolean,boolean#729	0.027777777777777776	0.0	0.027777777777777776		_
