line	original_score	max_predicate_score	total	predicate	label
org.joda.time.tz.DateTimeZoneBuilder$OfYear#?#OfYear#?,char,int,int,int,boolean,int#504	0.9876001033324723	0.9878584345130457	1.975458537845518	monthOfYear > dayOfMonth	_
org.joda.time.tz.DateTimeZoneBuilder#long#readMillis#?,DataInput#182	0.9855334538878843	0.9883750968741927	1.973908550762077	(w * 1000L)<= 0	_
org.joda.time.field.PreciseDurationField#int#hashCode#?#141	0.947300439163007	0.9798501679152674	1.9271506070782745	(hash)<= 0	_
org.joda.time.field.ScaledDurationField#int#hashCode#?#146	0.947300439163007	0.972875226039783	1.9201756652027901	(hash)>= 0	_
org.joda.time.tz.DateTimeZoneBuilder$DSTZone#int#getOffset#?,long#1186	0.9418754843709636	0.9762335313872385	1.9181090157582021	(iStandardOffset + findMatchingRecurrence(instant).getSaveMillis())== 0	_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#long#next#?,long,int,int#760	0.9395505037458021	0.9563420304830793	1.8958925342288815	standardOffset < saveMillis	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#next#?,long,int,int#547	0.9395505037458021	0.9563420304830793	1.8958925342288815	standardOffset < saveMillis	_
org.joda.time.field.MillisDurationField#int#hashCode#?#154	0.947300439163007	0.947300439163007	1.894600878326014	((int)getUnitMillis())!= 0	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#long#getUnitMillis#?#297	0.94678377680186	0.94678377680186	1.89356755360372	(iField.getUnitMillis())> 0	_
org.joda.time.field.UnsupportedDurationField#long#getUnitMillis#?#217	0.9465254456212865	0.9465254456212865	1.893050891242573	(0)>= 0	_
org.joda.time.field.ScaledDurationField#long#getUnitMillis#?#108	0.945233789718419	0.945233789718419	1.890467579436838	(getWrappedField().getUnitMillis() * iScalar)>= 0	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#int#getOffset#?,long#1527	0.9085507620769827	0.9762335313872385	1.8847842934642212	(iTailZone.getOffset(instant))== 0	_
org.joda.time.tz.DateTimeZoneBuilder$DSTZone#long#nextTransition#?,long#1198	0.9416171531903901	0.9416171531903901	1.8832343063807802	((start > end) ? end : start)!= 0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfMonthNext#?,Chronology,long#670	0.9395505037458021	0.9395505037458021	1.8791010074916041	(next)> 0	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#long#nextTransition#?,long#1569	0.9062257814518212	0.9416171531903901	1.8478429346422112	(iTailZone.nextTransition(instant))!= 0	_
org.joda.time.chrono.GregorianChronology#long#calculateFirstDayOfYearMillis#?,int#200	0.9126840609661586	0.9315422371480238	1.8442262981141824	((year * 365L + (leapYears - DAYS_0000_TO_1970)) * DateTimeConstants.MILLIS_PER_DAY)> 0	_
org.joda.time.field.PreciseDurationDateTimeField#long#remainder#?,long#125	0.9057091190906742	0.9369671919400672	1.8426763110307414	(instant % iUnitMillis)== 0	_
org.joda.time.tz.CachedDateTimeZone#int#hashCode#?#130	0.894600878326014	0.9320588995091708	1.8266597778351847	(iZone.hashCode())> 0	_
org.joda.time.field.MillisDurationField#long#getUnitMillis#?#79	0.9121673986050116	0.9121673986050116	1.8243347972100232	(1)>= 0	_
org.joda.time.DateTimeZone#int#hashCode#?#1226	0.890984241797985	0.9318005683285973	1.8227848101265822	(57 + getID().hashCode())>= 0	_
org.joda.time.DateTimeZone#int#getOffsetFromLocal#?,long#880	0.810126582278481	0.9767501937483855	1.7868767760268665	(offsetAdjusted)== 0	GT
org.joda.time.format.FormatUtils#void#appendPaddedInteger#?,StringBuffer,int,int#49	0.8504262464479463	0.9212089899250839	1.7716352363730303	value == size	_
org.joda.time.format.DateTimeFormatterBuilder$Composite#int#estimatePrintedLength#?#2607	0.8700594161715319	0.8700594161715319	1.7401188323430639	(iPrintedLengthEstimate)> 0	_
org.joda.time.field.ImpreciseDateTimeField$LinkedDurationField#long#getUnitMillis#?#159	0.8682510979075174	0.8682510979075174	1.7365021958150348	(iUnitMillis)!= 0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfWeek#?,Chronology,long#716	0.8419013174890209	0.8419013174890209	1.6838026349780417	(instant)!= 0	_
org.joda.time.tz.DateTimeZoneBuilder$OfYear#long#setDayOfMonth#?,Chronology,long#705	0.8416429863084474	0.8416429863084474	1.6832859726168947	(instant)> 0	_
org.joda.time.tz.DateTimeZoneBuilder$Recurrence#int#getSaveMillis#?#775	0.8416429863084474	0.8416429863084474	1.6832859726168947	(iSaveMillis)> 0	_
org.joda.time.DateTimeUtils#long#getInstantMillis#?,ReadableInstant#145	0.8369930250581246	0.8457762851976234	1.682769310255748	(instant.getMillis())> 0	_
org.joda.time.chrono.BasicYearDateTimeField#long#add#?,long,int#57	0.8313097390855076	0.838801343322139	1.6701110824076466	(set(instant,newYear))>= 0	_
org.joda.time.tz.CachedDateTimeZone$Info#int#getOffset#?,long#203	0.6698527512270731	0.998966675277706	1.668819426504779	(iNextInfo.getOffset(millis))== 0	_
org.joda.time.field.BaseDateTimeField#long#add#?,long,int#252	0.8333763885300955	0.834151382071816	1.6675277706019116	(getDurationField().add(instant,value))> 0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#add#?,long,int#91	0.8271764401963317	0.8344097132523896	1.6615861534487213	(datePart + timePart)>= 0	_
org.joda.time.chrono.ZonedChronology#long#localToUTC#?,long#138	0.8287264272797726	0.8310514079049341	1.6597778351847068	(instant)>= 0	_
org.joda.time.chrono.ZonedChronology#long#getDateTimeMillis#?,int,int,int,int,int,int,int#118	0.8284680960991991	0.8310514079049341	1.6595195040041333	(localToUTC(getBase().getDateTimeMillis(year,monthOfYear,dayOfMonth,hourOfDay,minuteOfHour,secondOfMinute,millisOfSecond)))> 0	_
org.joda.time.chrono.GJDayOfWeekDateTimeField#int#get#?,long#55	0.8183931800568329	0.8183931800568329	1.6367863601136659	(iChronology.getDayOfWeek(instant))!= 0	_
org.joda.time.field.PreciseDurationField#long#getUnitMillis#?#62	0.8160681994316714	0.8160681994316714	1.6321363988633428	(iUnitMillis)>= 0	_
org.joda.time.chrono.BasicChronology#int#getDayOfWeek#?,long#530	0.8127098940842159	0.8168431929733919	1.6295530870576078	(1 + (int)((daysSince19700101 + 3) % 7))!= 0	_
org.joda.time.field.FieldUtils#int#safeAdd#?,int,int#63	0.8114182381813485	0.8168431929733919	1.6282614311547405	val1 > val2	_
org.joda.time.field.MillisDurationField#long#add#?,long,int#116	0.8124515629036425	0.8152932058899509	1.6277447687935935	(FieldUtils.safeAdd(instant,value))>= 0	_
