line	original_score	max_predicate_score	total	predicate	label
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#parseInt#?,String,int,int#1348	0.98527865404837	1.0	1.98527865404837	(Integer.parseInt(text.substring(position,position + length)))>= 0	_
org.joda.time.format.PeriodFormatterBuilder$Separator#int#parseInto#?,ReadWritablePeriod,String,int,Locale#1701	0.98527865404837	0.9997332622032542	1.9850119162516242	(~oldPos)<= 0	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#getFieldType#?#1528	0.991796771632707	0.9925847457627119	1.984381517395419	(iFieldType)> 0	_
org.joda.time.format.PeriodFormatterBuilder$SimpleAffix#int#scan#?,String,int#882	0.9883966244725738	0.991796771632707	1.980193396105281	(~position)!= 0	_
org.joda.time.format.PeriodFormatterBuilder$SimpleAffix#int#parse#?,String,int#873	0.9889182058047494	0.9889182058047494	1.9778364116094989	(position + textLength)>= 0	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#void#setFieldValue#?,ReadWritablePeriod,int,int#1497	0.98527865404837	0.9912721502248083	1.9765508042731783	field > value	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#parseInto#?,ReadWritablePeriod,String,int,Locale#1182	0.984502232729183	0.991796771632707	1.97629900436189	(~suffixPos)> 0	_
org.joda.time.format.PeriodFormatterBuilder$Literal#int#parseInto#?,ReadWritablePeriod,String,int,Locale#1564	0.9878755930416446	0.9878755930416446	1.9757511860832893	(position + iText.length())>= 0	_
org.joda.time.format.PeriodFormatterBuilder#void#appendField#?,int,int#533	0.9803818990321737	0.9897016107736994	1.970083509805873	type == minPrinted	_
org.joda.time.format.PeriodFormatterBuilder$Composite#int#parseInto#?,ReadWritablePeriod,String,int,Locale#1821	0.984502232729183	0.984502232729183	1.969004465458366	(position)>= 0	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#?#FieldFormatter#?,int,int,int,boolean,int,FieldFormatter[],PeriodFieldAffix,PeriodFieldAffix#1051	0.9803818990321737	0.9829530553370049	1.9633349543691785	minPrintedDigits < printZeroSetting	_
org.joda.time.field.ScaledDurationField#int#hashCode#?#146	0.9522357723577237	0.9709844559585492	1.923220228316273	(hash)>= 0	_
org.joda.time.field.PreciseDurationField#int#hashCode#?#141	0.9522357723577237	0.9522357723577237	1.9044715447154474	(hash)!= 0	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#long#getUnitMillis#?#297	0.9517521584560691	0.9517521584560691	1.9035043169121382	(iField.getUnitMillis())> 0	_
org.joda.time.field.UnsupportedDurationField#long#getUnitMillis#?#217	0.9515105356689515	0.9515105356689515	1.903021071337903	(0)== 0	_
org.joda.time.field.ScaledDurationField#long#getUnitMillis#?#108	0.9503042596348884	0.9503042596348884	1.9006085192697768	(getWrappedField().getUnitMillis() * iScalar)>= 0	_
org.joda.time.field.MillisDurationField#long#getUnitMillis#?#79	0.926118112181863	0.926118112181863	1.852236224363726	(1)>= 0	_
org.joda.time.base.AbstractPeriod#int#indexOf#?,DurationFieldType#113	0.9217904574520412	0.926118112181863	1.8479085696339044	(getPeriodType().indexOf(type))== 0	_
org.joda.time.PeriodType#int#indexOf#?,DurationFieldType#647	0.9213372664700099	0.9247471009129039	1.8460843673829137	(i)> 0	_
org.joda.time.tz.CachedDateTimeZone#int#hashCode#?#130	0.9061895551257254	0.936063936063936	1.8422534911896613	(iZone.hashCode())> 0	_
