line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.plot.MultiplePiePlot#CategoryDataset#getDataset#?#166	Infinity	0.0	Infinity		_
org.jfree.data.general.AbstractDataset#boolean#hasListener#?,EventListener#160	0.5	0.0	0.5		_
org.jfree.chart.plot.MultiplePiePlot#?#MultiplePiePlot#?#135	0.5	0.0	0.5		_
org.jfree.chart.JFreeChart#void#removeSubtitle#?,Title#795	0.3333333333333333	0.0	0.3333333333333333		_
org.jfree.chart.title.LegendTitle#boolean#equals#?,Object#542	0.3333333333333333	0.0	0.3333333333333333		_
org.jfree.chart.plot.MultiplePiePlot#?#MultiplePiePlot#?,CategoryDataset#145	0.3333333333333333	0.0	0.3333333333333333		GT
org.jfree.chart.JFreeChart#void#removeLegend#?#664	0.3333333333333333	0.0	0.3333333333333333		_
org.jfree.chart.JFreeChart#void#setTitle#?,TextTitle#571	0.25	0.0	0.25		_
org.jfree.chart.JFreeChart#void#setBackgroundPaint#?,Paint#960	0.25	0.0	0.25		_
org.jfree.chart.JFreeChart#LegendTitle#getLegend#?#628	0.2	0.0	0.2		_
org.jfree.chart.JFreeChart#LegendTitle#getLegend#?,int#641	0.2	0.0	0.2		_
org.jfree.chart.JFreeChart#void#fireChartChanged#?#1486	0.16666666666666666	0.0	0.16666666666666666		_
org.jfree.chart.plot.AbstractPieLabelDistributor#?#AbstractPieLabelDistributor#?#61	0.03225806451612903	0.0	0.03225806451612903		_
org.jfree.chart.plot.PiePlot#?#PiePlot#?,PieDataset#529	0.03225806451612903	0.0	0.03225806451612903		_
org.jfree.chart.plot.PieLabelDistributor#?#PieLabelDistributor#?,int#63	0.03225806451612903	0.0	0.03225806451612903		_
org.jfree.chart.labels.StandardPieSectionLabelGenerator#?#StandardPieSectionLabelGenerator#?,String,NumberFormat,NumberFormat#141	0.029411764705882353	0.0	0.029411764705882353		_
org.jfree.chart.labels.StandardPieSectionLabelGenerator#?#StandardPieSectionLabelGenerator#?#90	0.029411764705882353	0.0	0.029411764705882353		_
org.jfree.chart.StrokeMap#?#StrokeMap#?#76	0.02702702702702703	0.0	0.02702702702702703		_
org.jfree.chart.labels.AbstractPieItemLabelGenerator#?#AbstractPieItemLabelGenerator#?,String,NumberFormat,NumberFormat#96	0.02702702702702703	0.0	0.02702702702702703		_
org.jfree.chart.PaintMap#?#PaintMap#?#78	0.02631578947368421	0.0	0.02631578947368421		_
org.jfree.chart.title.TextTitle#?#TextTitle#?,String,Font#187	0.021739130434782608	0.0	0.021739130434782608		_
org.jfree.chart.JFreeChart#?#JFreeChart#?,Plot#327	0.018518518518518517	0.0	0.018518518518518517		_
org.jfree.chart.title.TextTitle#?#TextTitle#?,String,Font,Paint,RectangleEdge,HorizontalAlignment,VerticalAlignment,RectangleInsets#230	0.016666666666666666	0.0	0.016666666666666666		_
org.jfree.chart.JFreeChart#?#JFreeChart#?,String,Font,Plot,boolean#393	0.01282051282051282	0.0	0.01282051282051282		_
org.jfree.chart.block.LineBorder#?#LineBorder#?#82	0.012658227848101266	0.0	0.012658227848101266		_
org.jfree.chart.JFreeChart#void#notifyListeners#?,ChartChangeEvent#1497	0.012658227848101266	0.0	0.012658227848101266		_
org.jfree.chart.title.Title#void#setPosition#?,RectangleEdge#216	0.012658227848101266	0.0	0.012658227848101266		_
