line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.testing.TestErrorReporter#void#warning#?,String,String,int,String,int#64	1.0	0.0	1.0		_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseTypeName#?,JsDocToken#1949	1.0	0.0	1.0		_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#reportGenericTypeSyntaxWarning#?#2404	0.16666666666666663	0.0	0.16666666666666663		_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#reportTypeSyntaxWarning#?,String#2399	0.04255319148936165	0.0	0.04255319148936165		_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseContextTypeExpression#?,JsDocToken#1908	0.020618556701030966	0.0	0.020618556701030966		GT
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseFunctionType#?,JsDocToken#2011	0.020618556701030966	0.0	0.020618556701030966		_
com.google.javascript.jscomp.parsing.JsDocInfoParser$ErrorReporterParser#void#addTypeWarning#?,String,int,int#83	0.017857142857142905	0.0	0.017857142857142905		_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseBasicTypeExpression#?,JsDocToken#1931	0.009478672985781977	0.0	0.009478672985781977		_
com.google.javascript.jscomp.parsing.JsDocTokenStream#JsDocToken#getJsDocToken#?#122	0.005780346820809301	0.0	0.005780346820809301		_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getLineno#?#225	4.5197740112989937E-4	0.004683840749414525	0.0051358181505444245	(lineno)== 0	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#?#JsDocTokenStream#?,String,int#41	0.004282655246252709	0.0	0.004282655246252709		_
com.google.javascript.rhino.jstype.SimpleSourceFile#String#getName#?#57	0.003724394785847296	0.0	0.003724394785847296		_
com.google.javascript.rhino.jstype.SimpleSourceFile#?#SimpleSourceFile#?,String,boolean#51	0.0037105751391465214	0.0	0.0037105751391465214		_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getCharno#?#228	4.5197740112989937E-4	0.002989536621823663	0.0034415140229535623	(lineno == initLineno ? initCharno + charno : charno)== 0	_
com.google.javascript.jscomp.testing.TestErrorReporter#?#TestErrorReporter#?,String[],String[]#45	0.0032414910858995505	0.0	0.0032414910858995505		_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getChar#?#342	4.4903457566236593E-4	4.4933722758933037E-4	8.983718032516963E-4	(ungetBuffer[ungetCursor])>= 0	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getOffset#?#446	4.486316733961493E-4	4.4873233116449196E-4	8.973640045606412E-4	(sourceCursor - lineStart - ungetCursor- 1)== 0	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#newNode#?,int#2372	7.933359777866356E-4	0.0	7.933359777866356E-4		_
com.google.javascript.jscomp.parsing.JsDocInfoParser#boolean#lookAheadFor#?,char#2570	6.743088334457692E-4	0.0	6.743088334457692E-4		_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseTypeExpressionAnnotation#?,JsDocToken#1716	6.664445184938472E-4	0.0	6.664445184938472E-4		_
com.google.javascript.jscomp.parsing.JsDocInfoParser#JsDocToken#parseAnnotation#?,JsDocToken,List<ExtendedTypeInfo>#949	6.629101756712164E-4	0.0	6.629101756712164E-4		_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseAndRecordTypeNode#?,JsDocToken,int,int,boolean,boolean#1334	6.555227794166063E-4	0.0	6.555227794166063E-4		_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseAndRecordTypeNode#?,JsDocToken#1270	6.555227794166063E-4	0.0	6.555227794166063E-4		_
